"PUB_AUTHOR","PUB_YEAR","PUB_TITLE","PUB_PAGES","PUB_PARENT_BOOK_TITLE","PUB_PARENT_JOURNAL_TITLE","PUB_PARENT_ARTICLE_TITLE","PUB_PUBLICATION_DATE","PUB_PUBLISHER","PUB_FORMATTED","PUB_QUALIFICATION","PUB_TYPE","PUBLICATION_GUID","PUBLICATION_LAST_UPDATE","PARENT_PUBLICATION_GUID"
"Balss, H.","1914","Diagnosen neuer Macruren der Valdivia Expedition","592-599","","Zoologischer Anzeiger","","","","<!--MARK--><a href='../../../../publication/a61b06ba-e089-49d4-a9ea-4ba2f5a559e4' class='mouseoverHref'>Balss, H. 1914. Diagnosen neuer Macruren der Valdivia Expedition.</a> <!--MARK--><!--MARK--><a href='../../../../publication/4b894062-2782-48ef-bf96-6997840d9060' class='mouseoverHref'><em>Zoologischer Anzeiger</em></a> <strong>44</strong>: 592-599<!--MARK-->","","Article in Journal","a61b06ba-e089-49d4-a9ea-4ba2f5a559e4","20081009T05:11:37.000+0000","4b894062-2782-48ef-bf96-6997840d9060"
"Bruce, A.J.","1986","Two new species of <i>Bathypalaemonella</i> Balss (Crustacea, Decapoda, Campylonotidae) from the Australian Northwest Shelf","251-264","","Zoologica Scripta","","","","<!--MARK--><a href='../../../../publication/d2446738-d70e-4c9d-a186-573261ef55be' class='mouseoverHref'>Bruce, A.J. 1986. Two new species of <i>Bathypalaemonella</i> Balss (Crustacea, Decapoda, Campylonotidae) from the Australian Northwest Shelf.</a> <!--MARK--><!--MARK--><a href='../../../../publication/b73ec244-df8b-4acd-858a-ffc326386b1e' class='mouseoverHref'><em>Zoologica Scripta</em></a> <strong>15</strong>(3): 251-264<!--MARK-->","","Article in Journal","d2446738-d70e-4c9d-a186-573261ef55be","20081009T05:11:37.000+0000","b73ec244-df8b-4acd-858a-ffc326386b1e"
"Chace, F.A., Jr","1992","On the classification of the Caridea","70-80","","Crustaceana","","","","<!--MARK--><a href='../../../../publication/ef7d005b-f9eb-4913-a42b-2c4cf4d57d54' class='mouseoverHref'>Chace, F.A., Jr 1992. On the classification of the Caridea.</a> <!--MARK--><!--MARK--><a href='../../../../publication/b3bd1331-ba54-4715-8a3e-f79237a8af84' class='mouseoverHref'><em>Crustaceana</em></a> <strong>63</strong>(1): 70-80<!--MARK-->","","Article in Journal","ef7d005b-f9eb-4913-a42b-2c4cf4d57d54","20081009T05:11:37.000+0000","b3bd1331-ba54-4715-8a3e-f79237a8af84"
"Chace, F.A., Jr","1997","The Caridean Shrimps (Crustacea: Decapoda) of the <i>Albatross</i> Philippine Expedition, 1907-1910, Part 7: Families Atyidae, Eugonatonotidae, Rhynchocinetidae, Bathypalaemonellidae, Processidae, and Hippolytidae","i-v, 1-106","","Smithsonian Contributions to Zoology","","","","<!--MARK--><a href='../../../../publication/c37e2206-5a65-4bdc-9eb9-263cfd0e17da' class='mouseoverHref'>Chace, F.A., Jr 1997. The Caridean Shrimps (Crustacea: Decapoda) of the <i>Albatross</i> Philippine Expedition, 1907-1910, Part 7: Families Atyidae, Eugonatonotidae, Rhynchocinetidae, Bathypalaemonellidae, Processidae, and Hippolytidae.</a> <!--MARK--><!--MARK--><a href='../../../../publication/cf8b640e-574a-4713-8a6f-74b8ef9e2f2c' class='mouseoverHref'><em>Smithsonian Contributions to Zoology</em></a> <strong>No. 587</strong>: i-v, 1-106<!--MARK-->","","Article in Journal","c37e2206-5a65-4bdc-9eb9-263cfd0e17da","20081009T05:11:37.000+0000","cf8b640e-574a-4713-8a6f-74b8ef9e2f2c"
"de Saint Laurent, M.","1985","Remarques sur la distribution des Crustacés Décapodes","469-478","Peuplements profonds du Golfe de Gascogne, Campagnes Biogas","","","","","<!--MARK--><a href='../../../../publication/34ce8b12-e17b-4471-aa2b-507f8962041c' class='mouseoverHref'>de Saint Laurent, M. 1985. Remarques sur la distribution des Crustacés Décapodes. pp. 469-478</a> <!--MARK--><em>in</em> <!--MARK--><a href='../../../../publication/11203085-1a28-42c5-8e7e-b6ce0484bce7' class='mouseoverHref'>Laubier, L & Monniot, C. (eds). <em>Peuplements profonds du Golfe de Gascogne, Campagnes Biogas</em>. Brest : Institut Française de Recherche pour l'Exploration de la Mer. Ifremer Vol. 40.</a><!--MARK-->","","Chapter in Book","34ce8b12-e17b-4471-aa2b-507f8962041c","20081009T05:11:37.000+0000","11203085-1a28-42c5-8e7e-b6ce0484bce7"
"Hale, H.M.","1927","The Crustaceans of South Australia. Eumalacostraca","201 pp., 202 figs","","","","","Government Printer","<!--MARK--><a href='../../../../publication/a48793ee-20bd-44f4-9b85-cee14dbf8ef3' class='mouseoverHref'>Hale, H.M. 1927. <em>The Crustaceans of South Australia. Eumalacostraca</em>. Adelaide : Government Printer Vol. 1 201 pp., 202 figs.</a><!--MARK-->","","Book","a48793ee-20bd-44f4-9b85-cee14dbf8ef3","20081009T05:11:37.000+0000",""
"Holthuis, L.B.","1980","FAO species catalogue. Vol. 1. Shrimps and prawns of the world. An annotated catalogue of species of interest to fisheries","1-261","","Exploration du Parc National de l'Upemba. Mission G. F. de Witte","","","","<!--MARK--><a href='../../../../publication/9001a342-87ac-412c-aaf4-494c266ef990' class='mouseoverHref'>Holthuis, L.B. 1980. FAO species catalogue. Vol. 1. Shrimps and prawns of the world. An annotated catalogue of species of interest to fisheries.</a> <!--MARK--><!--MARK--><a href='../../../../publication/dac317d0-c39d-450f-b624-f63a039ee307' class='mouseoverHref'><em>Exploration du Parc National de l'Upemba. Mission G. F. de Witte</em></a> <strong>1</strong>(125): 1-261<!--MARK-->","","Article in Journal","9001a342-87ac-412c-aaf4-494c266ef990","20081009T05:11:37.000+0000","dac317d0-c39d-450f-b624-f63a039ee307"
"Holthuis, L.B.","1993","The Recent Genera of the Caridean and Stenopodidean Shrimps (Crustacea, Decapoda)","328 pp.","","","","","Ridderprint Offsetdrukkerij B.V.","<!--MARK--><a href='../../../../publication/94681b3a-df5c-4ea6-9205-f987c8a2aaeb' class='mouseoverHref'>Holthuis, L.B. 1993. <em>The Recent Genera of the Caridean and Stenopodidean Shrimps (Crustacea, Decapoda)</em>. Alblasserdam : Ridderprint Offsetdrukkerij B.V. 328 pp.</a><!--MARK-->","","Book","94681b3a-df5c-4ea6-9205-f987c8a2aaeb","20081009T05:11:37.000+0000",""
"International Commission on Zoological Nomenclature","1957","Opinion 470. Additions to the <i>Official List of Family-Group Names in Zoology</i> of the names of one hundred and two genera of Caridea (Class Crustacea, Order Decapoda) and use of the Plenary Powers for various purposes in connection therewith","129-202","","Opinions and Declarations rendered by the International Commission on Zoological Nomenclature","","","","<!--MARK--><a href='../../../../publication/4a7009ce-6422-4652-a34e-fb11fdf42085' class='mouseoverHref'>International Commission on Zoological Nomenclature 1957. Opinion 470. Additions to the <i>Official List of Family-Group Names in Zoology</i> of the names of one hundred and two genera of Caridea (Class Crustacea, Order Decapoda) and use of the Plenary Powers for various purposes in connection therewith.</a> <!--MARK--><!--MARK--><a href='../../../../publication/92d3cf78-df7b-46c8-b176-c7b0ac287b5d' class='mouseoverHref'><em>Opinions and Declarations rendered by the International Commission on Zoological Nomenclature</em></a> <strong>16</strong>: 129-202<!--MARK-->","","Article in Journal","4a7009ce-6422-4652-a34e-fb11fdf42085","20081009T05:11:37.000+0000","92d3cf78-df7b-46c8-b176-c7b0ac287b5d"
"Milne Edwards, A.","1891","Crustacés. Mission scientifique du Cap Horn","1-76","","Nouvelles Archives du Muséum d'Histoire Naturelle. Paris","","","","<!--MARK--><a href='../../../../publication/87ca6a75-3076-4b01-a134-b994c2180ea2' class='mouseoverHref'>Milne Edwards, A. 1891. Crustacés. Mission scientifique du Cap Horn.</a> <!--MARK--><!--MARK--><a href='../../../../publication/32f9675c-85d3-47c1-9d80-ec0519ac2c6d' class='mouseoverHref'><em>Nouvelles Archives du Muséum d'Histoire Naturelle. Paris</em></a> <strong>VI</strong>: 1-76<!--MARK-->","","Article in Journal","87ca6a75-3076-4b01-a134-b994c2180ea2","20190307T05:30:56.126+0000","32f9675c-85d3-47c1-9d80-ec0519ac2c6d"
