"PUB_AUTHOR","PUB_YEAR","PUB_TITLE","PUB_PAGES","PUB_PARENT_BOOK_TITLE","PUB_PARENT_JOURNAL_TITLE","PUB_PARENT_ARTICLE_TITLE","PUB_PUBLICATION_DATE","PUB_PUBLISHER","PUB_FORMATTED","PUB_QUALIFICATION","PUB_TYPE","PUBLICATION_GUID","PUBLICATION_LAST_UPDATE","PARENT_PUBLICATION_GUID"
"Balogh, J.","1958","Oribatides nouvelles de l'Afrique tropicale","1-34","","Revue de Zoologie et de Botanique Africaines","","","","<!--MARK--><a href='../../../../publication/3027ea06-0056-4134-8990-a82bd85c33a3' class='mouseoverHref'>Balogh, J. 1958. Oribatides nouvelles de l'Afrique tropicale.</a> <!--MARK--><!--MARK--><a href='../../../../publication/1d82d934-7b0c-4e56-93e8-eb7594a06062' class='mouseoverHref'><em>Revue de Zoologie et de Botanique Africaines</em></a> <strong>58</strong>: 1-34<!--MARK-->","","Article in Journal","3027ea06-0056-4134-8990-a82bd85c33a3","20081009T05:11:37.000+0000","1d82d934-7b0c-4e56-93e8-eb7594a06062"
"Balogh, J.","1960","Oribates (Acari) nouveaux de Madagascar (1re serie)","7-37","","Mémoires de l'Institut Scientifique de Madagascar","","","","<!--MARK--><a href='../../../../publication/1231d5f1-f2ed-49b1-b0c6-12574ccd85aa' class='mouseoverHref'>Balogh, J. 1960. Oribates (Acari) nouveaux de Madagascar (1re serie).</a> <!--MARK--><!--MARK--><a href='../../../../publication/9d3633d7-87ec-4d11-9d50-c061e08a2c57' class='mouseoverHref'><em>Mémoires de l'Institut Scientifique de Madagascar</em></a> A <strong>14</strong>: 7-37<!--MARK-->","","Article in Journal","1231d5f1-f2ed-49b1-b0c6-12574ccd85aa","20081009T05:11:37.000+0000","9d3633d7-87ec-4d11-9d50-c061e08a2c57"
"Balogh, J.","1961","Identification keys of world oribatid (Acari) families and genera","243-344","","Acta Zoologica Hungarica","","","","<!--MARK--><a href='../../../../publication/b95a32d5-1d4f-4709-b781-805d3158ec96' class='mouseoverHref'>Balogh, J. 1961. Identification keys of world oribatid (Acari) families and genera.</a> <!--MARK--><!--MARK--><a href='../../../../publication/a9328cd7-1131-4e41-8965-d8a5d06616d5' class='mouseoverHref'><em>Acta Zoologica Hungarica</em></a> <strong>7</strong>: 243-344<!--MARK-->","","Article in Journal","b95a32d5-1d4f-4709-b781-805d3158ec96","20081009T05:11:37.000+0000","a9328cd7-1131-4e41-8965-d8a5d06616d5"
"Balogh, J. & Balogh, P.","1983","Data to the Oribatid fauna of Australia (Acari). II","283-301","","Acta Zoologica Academiae Scientiarum Hungaricae","","","","<!--MARK--><a href='../../../../publication/f9d2199d-9f78-4f81-8198-cbdbc028b083' class='mouseoverHref'>Balogh, J. & Balogh, P. 1983. Data to the Oribatid fauna of Australia (Acari). II.</a> <!--MARK--><!--MARK--><a href='../../../../publication/50d7b97e-899c-4373-8ab9-28aa9e24e2c8' class='mouseoverHref'><em>Acta Zoologica Academiae Scientiarum Hungaricae</em></a> <strong>29</strong>: 283-301<!--MARK-->","","Article in Journal","f9d2199d-9f78-4f81-8198-cbdbc028b083","20081009T05:11:37.000+0000","50d7b97e-899c-4373-8ab9-28aa9e24e2c8"
"Balogh, J. & Balogh, P.","1983","New Oribatid mites from Australia (Acari : Oribatei)","81-105","","Acta Zoologica Academiae Scientiarum Hungaricae","","","","<!--MARK--><a href='../../../../publication/42ffbbeb-95ac-471b-a897-a65f7cdbcced' class='mouseoverHref'>Balogh, J. & Balogh, P. 1983. New Oribatid mites from Australia (Acari : Oribatei).</a> <!--MARK--><!--MARK--><a href='../../../../publication/50d7b97e-899c-4373-8ab9-28aa9e24e2c8' class='mouseoverHref'><em>Acta Zoologica Academiae Scientiarum Hungaricae</em></a> <strong>29</strong>: 81-105<!--MARK-->","","Article in Journal","42ffbbeb-95ac-471b-a897-a65f7cdbcced","20081009T05:11:37.000+0000","50d7b97e-899c-4373-8ab9-28aa9e24e2c8"
"Balogh, J. & Balogh, P.","2002","Identification Keys to the Oribatid Mites of the Extra-Holarctic Regions","","","","","","Well-Press Publishing","<!--MARK--><a href='../../../../publication/15eed8f9-cd76-4aa5-907b-435804b515ff' class='mouseoverHref'>Balogh, J. & Balogh, P. 2002. <em>Identification Keys to the Oribatid Mites of the Extra-Holarctic Regions</em>. Miskolc. : Well-Press Publishing Vol. 1, 453 pp. + Vol. 2, 504 pp.</a><!--MARK-->","","Book","15eed8f9-cd76-4aa5-907b-435804b515ff","20110810T03:40:43.718+0000",""
"Balogh, J. & Mahunka, S.","1966","New Oribatids (Acari) from South Africa","1-23","","Acta Zoologica Academiae Scientiarum Hungaricae","","","","<!--MARK--><a href='../../../../publication/b5915df1-b87a-472d-ace0-30727904019b' class='mouseoverHref'>Balogh, J. & Mahunka, S. 1966. New Oribatids (Acari) from South Africa.</a> <!--MARK--><!--MARK--><a href='../../../../publication/50d7b97e-899c-4373-8ab9-28aa9e24e2c8' class='mouseoverHref'><em>Acta Zoologica Academiae Scientiarum Hungaricae</em></a> <strong>12</strong>: 1-23<!--MARK-->","","Article in Journal","b5915df1-b87a-472d-ace0-30727904019b","20081009T05:11:37.000+0000","50d7b97e-899c-4373-8ab9-28aa9e24e2c8"
"Balogh, J. & Mahunka, S.","1978","Data to the Oribatid fauna of Australia (Acari), I","31-49","","Opuscula Zoologica","","","","<!--MARK--><a href='../../../../publication/9639efee-fbcd-43bf-b054-8a82de87e1b6' class='mouseoverHref'>Balogh, J. & Mahunka, S. 1978. Data to the Oribatid fauna of Australia (Acari), I.</a> <!--MARK--><!--MARK--><a href='../../../../publication/91eb0ad9-f6a0-4cd4-8adb-83b873c5ea90' class='mouseoverHref'><em>Opuscula Zoologica</em></a> <strong>15</strong>: 31-49<!--MARK-->","","Article in Journal","9639efee-fbcd-43bf-b054-8a82de87e1b6","20081009T05:11:37.000+0000","91eb0ad9-f6a0-4cd4-8adb-83b873c5ea90"
"Balogh, P.","1985","New oribatids from Australia (Oribatei)","49-56","","Opuscula Zoologica","","","","<!--MARK--><a href='../../../../publication/e9809cf0-c586-4824-af1d-cf94486cf220' class='mouseoverHref'>Balogh, P. 1985. New oribatids from Australia (Oribatei).</a> <!--MARK--><!--MARK--><a href='../../../../publication/91eb0ad9-f6a0-4cd4-8adb-83b873c5ea90' class='mouseoverHref'><em>Opuscula Zoologica</em></a> <strong>19-20</strong>: 49-56<!--MARK-->","","Article in Journal","e9809cf0-c586-4824-af1d-cf94486cf220","20081009T05:11:37.000+0000","91eb0ad9-f6a0-4cd4-8adb-83b873c5ea90"
"Colloff, M.J. & Halliday, R.B.","1998","Oribatid Mites: A Catalogue of the Australian Genera and Species","","","","","","CSIRO Publications","<!--MARK--><a href='../../../../publication/2a4418b3-bef9-4b85-83b3-672bf69f3e48' class='mouseoverHref'>Colloff, M.J. & Halliday, R.B. 1998. <em>Oribatid Mites: A Catalogue of the Australian Genera and Species</em>. Melbourne : CSIRO Publications.</a><!--MARK-->","","Book","2a4418b3-bef9-4b85-83b3-672bf69f3e48","20081009T05:11:37.000+0000",""
