"PUB_AUTHOR","PUB_YEAR","PUB_TITLE","PUB_PAGES","PUB_PARENT_BOOK_TITLE","PUB_PARENT_JOURNAL_TITLE","PUB_PARENT_ARTICLE_TITLE","PUB_PUBLICATION_DATE","PUB_PUBLISHER","PUB_FORMATTED","PUB_QUALIFICATION","PUB_TYPE","PUBLICATION_GUID","PUBLICATION_LAST_UPDATE","PARENT_PUBLICATION_GUID"
"Agassiz, L.","1847","Nomenclatoris zoologici index universalis, <i>continens nomina systematica classium, ordinum, familiarum et generum animalium omnium, tam viventium quam fossilium, secundum ordinem alphabeticum unicum disposita, adjectis homonymiis plantarum, nec non variis adnotationibus et emendationibus</i>","","","","","","Jent & Gassmann","<!--MARK--><a href='../../publication/09816c84-6827-4b4c-aefb-4b3d5cf2651d' class='mouseoverHref'>Agassiz, L. 1847. <em>Nomenclatoris zoologici index universalis, <i>continens nomina systematica classium, ordinum, familiarum et generum animalium omnium, tam viventium quam fossilium, secundum ordinem alphabeticum unicum disposita, adjectis homonymiis plantarum, nec non variis adnotationibus et emendationibus</i></em>. Soloduri [= Solothurn, Switzerland] : Jent & Gassmann.</a><!--MARK-->","","Book","09816c84-6827-4b4c-aefb-4b3d5cf2651d","20081009T05:11:37.000+0000",""
"Alexander, C.P.","1978","New or insufficiently known Australasian crane flies. IV (Diptera, Tipulidae)","141-175","","Studia Entomologica","","","","<!--MARK--><a href='../../publication/ccf63067-c099-4b65-95e3-fc46cbbc6a51' class='mouseoverHref'>Alexander, C.P. 1978. New or insufficiently known Australasian crane flies. IV (Diptera, Tipulidae).</a> <!--MARK--><!--MARK--><a href='../../publication/c8d94c7c-ab66-4087-89dc-2561fe72cf9a' class='mouseoverHref'><em>Studia Entomologica</em></a> <strong>20</strong>: 141-175<!--MARK-->","","Article in Journal","ccf63067-c099-4b65-95e3-fc46cbbc6a51","20081009T05:11:37.000+0000","c8d94c7c-ab66-4087-89dc-2561fe72cf9a"
"Arnaud, P.","1956","The heleid genus <i>Culicoides</i> in Japan, Korea and Ryukyu Islands (Insecta: Diptera).","84-207","","Microentomology","","","","<!--MARK--><a href='../../publication/f9cd377f-4a6e-4213-af18-a74d4ba17209' class='mouseoverHref'>Arnaud, P. 1956. The heleid genus <i>Culicoides</i> in Japan, Korea and Ryukyu Islands (Insecta: Diptera).</a> <!--MARK--><!--MARK--><a href='../../publication/411849e9-afca-4451-95ef-bef971b6036c' class='mouseoverHref'><em>Microentomology</em></a> <strong>21</strong>: 84-207<!--MARK-->","","Article in Journal","f9cd377f-4a6e-4213-af18-a74d4ba17209","20131029T03:56:25.044+0000","411849e9-afca-4451-95ef-bef971b6036c"
"Bellis, G., Dyce, A., Gopurenko, D., Yanase, T., Garros, C., Labuschagne, K. & Mitchell, A.","2013","Revision of the <i>Culicoides (Avaritia)</i> Imicola complex Khamala & Kettle (Diptera: Ceratopogonidae) from the Australasian region","401-427","","Zootaxa","","","","<!--MARK--><a href='../../publication/3ea64ff0-711e-402a-9b6c-53a602273b51' class='mouseoverHref'>Bellis, G., Dyce, A., Gopurenko, D., Yanase, T., Garros, C., Labuschagne, K. & Mitchell, A. 2013. Revision of the <i>Culicoides (Avaritia)</i> Imicola complex Khamala & Kettle (Diptera: Ceratopogonidae) from the Australasian region.</a> <!--MARK--><!--MARK--><a href='../../publication/96466227-221c-4922-ac97-1ac2dd946d0a' class='mouseoverHref'><em>Zootaxa</em></a> <strong>3768</strong>(4): 401-427<!--MARK-->","","Article in Journal","3ea64ff0-711e-402a-9b6c-53a602273b51","20140312T03:05:07.951+0000","96466227-221c-4922-ac97-1ac2dd946d0a"
"Bellis, G. & Dyce, A.","2011","<i>Marksomyia</i>, a new subgenus of <i>Culicoides</i> Latreille (Diptera: Ceratopogonidae) from the Australasian biogeographic region with descriptions of two new species","35-38","","Zootaxa","","","","<!--MARK--><a href='../../publication/5df1f86a-56c0-4f97-8aa1-e9a63196faeb' class='mouseoverHref'>Bellis, G. & Dyce, A. 2011. <i>Marksomyia</i>, a new subgenus of <i>Culicoides</i> Latreille (Diptera: Ceratopogonidae) from the Australasian biogeographic region with descriptions of two new species.</a> <!--MARK--><!--MARK--><a href='../../publication/96466227-221c-4922-ac97-1ac2dd946d0a' class='mouseoverHref'><em>Zootaxa</em></a> <strong>3014</strong>: 35-38<!--MARK-->","","Article in Journal","5df1f86a-56c0-4f97-8aa1-e9a63196faeb","20120329T04:15:00.298+0000","96466227-221c-4922-ac97-1ac2dd946d0a"
"Bellis, G. & Dyce, A.","2012","Redescription of the adults of <i>Culicoides bancrofti</i> Lee and Reye and <i>C. hornsbyensis</i> Lee and Reye (Diptera: Ceratopogonidae)","51-60","","Zootaxa","","","","<!--MARK--><a href='../../publication/5cf99c3a-1e77-4b09-a070-a80a5396180e' class='mouseoverHref'>Bellis, G. & Dyce, A. 2012. Redescription of the adults of <i>Culicoides bancrofti</i> Lee and Reye and <i>C. hornsbyensis</i> Lee and Reye (Diptera: Ceratopogonidae).</a> <!--MARK--><!--MARK--><a href='../../publication/96466227-221c-4922-ac97-1ac2dd946d0a' class='mouseoverHref'><em>Zootaxa</em></a> <strong>3566</strong>: 51-60<!--MARK-->","","Article in Journal","5cf99c3a-1e77-4b09-a070-a80a5396180e","20121205T03:10:08.681+0000","96466227-221c-4922-ac97-1ac2dd946d0a"
"Bellis, G.A., Dyce, A.L., Gopurenko, D. & Mitchell, A.","2013","Revision of the Immaculatus Group of <i>Culicoides</i> Latreille (Diptera: Ceratopogonidae) from the Australasian Region with description of two new species","15-37","","Zootaxa","","","","<!--MARK--><a href='../../publication/a7fe3128-31fc-4db5-b936-0f20d38eac47' class='mouseoverHref'>Bellis, G.A., Dyce, A.L., Gopurenko, D. & Mitchell, A. 2013. Revision of the Immaculatus Group of <i>Culicoides</i> Latreille (Diptera: Ceratopogonidae) from the Australasian Region with description of two new species.</a> <!--MARK--><!--MARK--><a href='../../publication/96466227-221c-4922-ac97-1ac2dd946d0a' class='mouseoverHref'><em>Zootaxa</em></a> <strong>3680</strong>(1): 15-37<!--MARK-->","","Article in Journal","a7fe3128-31fc-4db5-b936-0f20d38eac47","20130705T01:46:14.535+0000","96466227-221c-4922-ac97-1ac2dd946d0a"
"Bellis, G.A., Gopurenko, D., Cookson, B., Postle, A.C., Halling, L., Harris, N., Yanase, T. & Mitchell, A.","2014","Identification of incursions of <i>Culicoides</i> Latreille species (Diptera: Ceratopogonidae) in Australasia using morphological techniques and DNA barcoding","","","Austral Entomology","","","","<!--MARK--><a href='../../publication/60fa6156-54b1-4d27-95a4-dd749652760f' class='mouseoverHref'>Bellis, G.A., Gopurenko, D., Cookson, B., Postle, A.C., Halling, L., Harris, N., Yanase, T. & Mitchell, A. 2014. Identification of incursions of <i>Culicoides</i> Latreille species (Diptera: Ceratopogonidae) in Australasia using morphological techniques and DNA barcoding.</a> <!--MARK--><!--MARK--><a href='../../publication/a3a01091-89c3-445b-a732-dbb79862123d' class='mouseoverHref'><em>Austral Entomology</em></a> <!--MARK-->","","Article in Journal","60fa6156-54b1-4d27-95a4-dd749652760f","20150316T23:25:11.313+0000","a3a01091-89c3-445b-a732-dbb79862123d"
"Bellis, G.A., Halling, L. & Anderson, S.J.","2014","Pictorial key to adult female <i>Culicoides</i> Latreille, 1809 (Diptera: Ceratopogonidae) from the Northern Territory, Western Australia and South Australia","","","Austral Entomology","","","","<!--MARK--><a href='../../publication/80045b44-dfa4-4b94-be26-046070c5239e' class='mouseoverHref'>Bellis, G.A., Halling, L. & Anderson, S.J. 2014. Pictorial key to adult female <i>Culicoides</i> Latreille, 1809 (Diptera: Ceratopogonidae) from the Northern Territory, Western Australia and South Australia.</a> <!--MARK--><!--MARK--><a href='../../publication/a3a01091-89c3-445b-a732-dbb79862123d' class='mouseoverHref'><em>Austral Entomology</em></a> <!--MARK-->","","Article in Journal","80045b44-dfa4-4b94-be26-046070c5239e","20150108T21:09:27.971+0000","a3a01091-89c3-445b-a732-dbb79862123d"
"Bellis, G.A. & Dyce, A.L. in Bellis, G.A., Dyce, A.L., Gopurenko, D. & Mitchell, A.","2013","Revision of the Immaculatus Group of <i>Culicoides</i> Latreille (Diptera: Ceratopogonidae) from the Australasian Region with description of two new species","15-37","","Zootaxa","","","","<!--MARK--><a href='../../publication/4c2647e8-f108-43c1-ad2d-2519828d686a' class='mouseoverHref'>Bellis, G.A. & Dyce, A.L. <i>in</i> Bellis, G.A., Dyce, A.L., Gopurenko, D. & Mitchell, A. 2013. Revision of the Immaculatus Group of <i>Culicoides</i> Latreille (Diptera: Ceratopogonidae) from the Australasian Region with description of two new species.</a> <!--MARK--><!--MARK--><a href='../../publication/96466227-221c-4922-ac97-1ac2dd946d0a' class='mouseoverHref'><em>Zootaxa</em></a> <strong>3680</strong>(1): 15-37<!--MARK-->","","Article in Journal","4c2647e8-f108-43c1-ad2d-2519828d686a","20130705T01:55:21.246+0000","96466227-221c-4922-ac97-1ac2dd946d0a"
