"PUB_AUTHOR","PUB_YEAR","PUB_TITLE","PUB_PAGES","PUB_PARENT_BOOK_TITLE","PUB_PARENT_JOURNAL_TITLE","PUB_PARENT_ARTICLE_TITLE","PUB_PUBLICATION_DATE","PUB_PUBLISHER","PUB_FORMATTED","PUB_QUALIFICATION","PUB_TYPE","PUBLICATION_GUID","PUBLICATION_LAST_UPDATE","PARENT_PUBLICATION_GUID"
"Adolphson, H. & Kinnear, A.","2008","Acari (mite) assemblages under plantations of bluegum, <I>Eucalyptus globulus</I>, in southwestern Australia.","427-437","","Pedobiologia","","","","<!--MARK--><a href='../../../../publication/64b4b961-fae1-46e9-b7e0-1d5ed992fb05' class='mouseoverHref'>Adolphson, H. & Kinnear, A. 2008. Acari (mite) assemblages under plantations of bluegum, <I>Eucalyptus globulus</I>, in southwestern Australia.</a> <!--MARK--><!--MARK--><a href='../../../../publication/eba6b973-a2e0-493c-89d0-36c63da98a0c' class='mouseoverHref'><em>Pedobiologia</em></a> <strong>51</strong>: 427-437<!--MARK-->","","Article in Journal","64b4b961-fae1-46e9-b7e0-1d5ed992fb05","20110211T07:18:36.350+0000","eba6b973-a2e0-493c-89d0-36c63da98a0c"
"Balogh, J.","1961","Identification keys of world oribatid (Acari) families and genera","243-344","","Acta Zoologica Hungarica","","","","<!--MARK--><a href='../../../../publication/b95a32d5-1d4f-4709-b781-805d3158ec96' class='mouseoverHref'>Balogh, J. 1961. Identification keys of world oribatid (Acari) families and genera.</a> <!--MARK--><!--MARK--><a href='../../../../publication/a9328cd7-1131-4e41-8965-d8a5d06616d5' class='mouseoverHref'><em>Acta Zoologica Hungarica</em></a> <strong>7</strong>: 243-344<!--MARK-->","","Article in Journal","b95a32d5-1d4f-4709-b781-805d3158ec96","20081009T05:11:37.000+0000","a9328cd7-1131-4e41-8965-d8a5d06616d5"
"Balogh, J.","1972","The Oribatid Genera of the World","188 pp. 71 pls","","","","","Akadémiai Kiadó","<!--MARK--><a href='../../../../publication/e1e26bbb-5acb-48d9-9ade-e3ee19a22193' class='mouseoverHref'>Balogh, J. 1972. <em>The Oribatid Genera of the World</em>. Budapest : Akadémiai Kiadó 188 pp. 71 pls.</a><!--MARK-->","","Book","e1e26bbb-5acb-48d9-9ade-e3ee19a22193","20081009T05:11:37.000+0000",""
"Balogh, J. & Balogh, P.","1983","New Oribatid mites from Australia (Acari : Oribatei)","81-105","","Acta Zoologica Academiae Scientiarum Hungaricae","","","","<!--MARK--><a href='../../../../publication/42ffbbeb-95ac-471b-a897-a65f7cdbcced' class='mouseoverHref'>Balogh, J. & Balogh, P. 1983. New Oribatid mites from Australia (Acari : Oribatei).</a> <!--MARK--><!--MARK--><a href='../../../../publication/50d7b97e-899c-4373-8ab9-28aa9e24e2c8' class='mouseoverHref'><em>Acta Zoologica Academiae Scientiarum Hungaricae</em></a> <strong>29</strong>: 81-105<!--MARK-->","","Article in Journal","42ffbbeb-95ac-471b-a897-a65f7cdbcced","20081009T05:11:37.000+0000","50d7b97e-899c-4373-8ab9-28aa9e24e2c8"
"Balogh, J. & Balogh, P.","2002","Identification Keys to the Oribatid Mites of the Extra-Holarctic Regions","","","","","","Well-Press Publishing","<!--MARK--><a href='../../../../publication/15eed8f9-cd76-4aa5-907b-435804b515ff' class='mouseoverHref'>Balogh, J. & Balogh, P. 2002. <em>Identification Keys to the Oribatid Mites of the Extra-Holarctic Regions</em>. Miskolc. : Well-Press Publishing Vol. 1, 453 pp. + Vol. 2, 504 pp.</a><!--MARK-->","","Book","15eed8f9-cd76-4aa5-907b-435804b515ff","20110810T03:40:43.718+0000",""
"Balogh, J. & Mahunka, S.","1996","Unusual new oribatid mites (Acari: Oribatida) of the world, I","157-162","","Acta Zoologica Academiae Scientiarum Hungaricae","","","","<!--MARK--><a href='../../../../publication/2fafccbc-a2e1-4a6a-993f-549eb4d15514' class='mouseoverHref'>Balogh, J. & Mahunka, S. 1996. Unusual new oribatid mites (Acari: Oribatida) of the world, I.</a> <!--MARK--><!--MARK--><a href='../../../../publication/50d7b97e-899c-4373-8ab9-28aa9e24e2c8' class='mouseoverHref'><em>Acta Zoologica Academiae Scientiarum Hungaricae</em></a> <strong>42</strong>: 157-162<!--MARK-->","","Article in Journal","2fafccbc-a2e1-4a6a-993f-549eb4d15514","20081009T05:11:37.000+0000","50d7b97e-899c-4373-8ab9-28aa9e24e2c8"
"Balogh, P.","1985","Data to the oribatid fauna of Australia (Acari). III","81-96","","Acta Zoologica Hungarica","","","","<!--MARK--><a href='../../../../publication/72db1269-fd9d-4adc-9f24-33ef654da6cf' class='mouseoverHref'>Balogh, P. 1985. Data to the oribatid fauna of Australia (Acari). III.</a> <!--MARK--><!--MARK--><a href='../../../../publication/a9328cd7-1131-4e41-8965-d8a5d06616d5' class='mouseoverHref'><em>Acta Zoologica Hungarica</em></a> <strong>31</strong>: 81-96<!--MARK-->","","Article in Journal","72db1269-fd9d-4adc-9f24-33ef654da6cf","20081009T05:11:37.000+0000","a9328cd7-1131-4e41-8965-d8a5d06616d5"
"Berlese, A.","1908","Elenco di generi e specie nuove di acari","1-15","","Redia. Giornale di entomologia, Firenze","","","","<!--MARK--><a href='../../../../publication/0ef99021-1156-4186-800f-37cf2223762f' class='mouseoverHref'>Berlese, A. 1908. Elenco di generi e specie nuove di acari.</a> <!--MARK--><!--MARK--><a href='../../../../publication/116966a8-7c23-4f72-a4e3-de1b7b90f1ca' class='mouseoverHref'><em>Redia. Giornale di entomologia, Firenze</em></a> <strong>5</strong>: 1-15<!--MARK-->","","Article in Journal","0ef99021-1156-4186-800f-37cf2223762f","20081009T05:11:37.000+0000","116966a8-7c23-4f72-a4e3-de1b7b90f1ca"
"Berlese, A.","1910","Brevi diagnosi di generi e specie nuovi di Acari","346-388","","Redia. Giornale di entomologia, Firenze","","","","<!--MARK--><a href='../../../../publication/e3b9e69a-3fb8-4374-9da1-69250bcfa546' class='mouseoverHref'>Berlese, A. 1910. Brevi diagnosi di generi e specie nuovi di Acari.</a> <!--MARK--><!--MARK--><a href='../../../../publication/116966a8-7c23-4f72-a4e3-de1b7b90f1ca' class='mouseoverHref'><em>Redia. Giornale di entomologia, Firenze</em></a> <strong>6</strong>: 346-388<!--MARK-->","","Article in Journal","e3b9e69a-3fb8-4374-9da1-69250bcfa546","20081009T05:11:37.000+0000","116966a8-7c23-4f72-a4e3-de1b7b90f1ca"
"Berlese, A.","1913","Acarotheca Italica","221 pp.","","","","","Ricci","<!--MARK--><a href='../../../../publication/161f497b-ff59-44b7-8781-908ad5239a1b' class='mouseoverHref'>Berlese, A. 1913. <em>Acarotheca Italica</em>. Firenze : Ricci 221 pp.</a><!--MARK-->","","Book","161f497b-ff59-44b7-8781-908ad5239a1b","20081009T05:11:37.000+0000",""
