"PUB_AUTHOR","PUB_YEAR","PUB_TITLE","PUB_PAGES","PUB_PARENT_BOOK_TITLE","PUB_PARENT_JOURNAL_TITLE","PUB_PARENT_ARTICLE_TITLE","PUB_PUBLICATION_DATE","PUB_PUBLISHER","PUB_FORMATTED","PUB_QUALIFICATION","PUB_TYPE","PUBLICATION_GUID","PUBLICATION_LAST_UPDATE","PARENT_PUBLICATION_GUID"
"Amyot, C.J.B. & Audinet-Serville, J.G.","1843","Histoire Naturelle des Insects. Hémiptères.","676 pp.","","","","","Librairie Encyclopédique de Roret, Rue Hautefeuille 10 B13","<!--MARK--><a href='../../../../publication/79cdc79d-5ec6-4f44-9cae-b6fbe63fa288' class='mouseoverHref'>Amyot, C.J.B. & Audinet-Serville, J.G. 1843. <em>Histoire Naturelle des Insects. Hémiptères</em>. Paris : Librairie Encyclopédique de Roret, Rue Hautefeuille 10 B13 676 pp.</a><!--MARK-->","","Book","79cdc79d-5ec6-4f44-9cae-b6fbe63fa288","20110810T03:55:00.196+0000",""
"Arthurs, S., Chen, J, Dogramaci, M., Ali, A.D. & Mannion, C.","2011","Evaluation of <i>Montandoniola confusa</i> Streito and Matocq sp. nov. and <i>Orius insidiosus</i> Say (Heteroptera: Anthocoridae), for control of <i>Gynaikothrips uzeli</i> Zimmerman (Thysanoptera: Phlaeothripidae) on <i>Ficus benjamin</i>","202-207","","Biological Control","","","","<!--MARK--><a href='../../../../publication/26681c8d-6f0e-4d74-8f7d-e0a57862845a' class='mouseoverHref'>Arthurs, S., Chen, J, Dogramaci, M., Ali, A.D. & Mannion, C. 2011. Evaluation of <i>Montandoniola confusa</i> Streito and Matocq sp. nov. and <i>Orius insidiosus</i> Say (Heteroptera: Anthocoridae), for control of <i>Gynaikothrips uzeli</i> Zimmerman (Thysanoptera: Phlaeothripidae) on <i>Ficus benjamin</i>.</a> <!--MARK--><!--MARK--><a href='../../../../publication/09653e18-e7a3-41ba-b1a8-09853477b149' class='mouseoverHref'><em>Biological Control</em></a> <strong>57</strong>: 202-207<!--MARK-->","","Article in Journal","26681c8d-6f0e-4d74-8f7d-e0a57862845a","20120514T01:45:32.853+0000","09653e18-e7a3-41ba-b1a8-09853477b149"
"Bergroth, E.","1916","New and little-known heteropterous Hemiptera in the United States National Museum","215-239","","Proceedings of the United States National Museum","","","","<!--MARK--><a href='../../../../publication/24489ab8-7199-4767-b080-860d08fac0a3' class='mouseoverHref'>Bergroth, E. 1916. New and little-known heteropterous Hemiptera in the United States National Museum.</a> <!--MARK--><!--MARK--><a href='../../../../publication/0e32c453-4bc6-48a2-a3a2-d40281874533' class='mouseoverHref'><em>Proceedings of the United States National Museum</em></a> <strong>51</strong>(2150): 215-239<!--MARK-->","","Article in Journal","24489ab8-7199-4767-b080-860d08fac0a3","20081009T05:11:37.000+0000","0e32c453-4bc6-48a2-a3a2-d40281874533"
"Bergroth, E.","1927","Hemiptera Heteroptera from New Zealand","671-684","","Transactions and Proceedings of the New Zealand Institute","","","","<!--MARK--><a href='../../../../publication/273cfa16-9fae-47f3-92d6-d466d990d7ca' class='mouseoverHref'>Bergroth, E. 1927. Hemiptera Heteroptera from New Zealand.</a> <!--MARK--><!--MARK--><a href='../../../../publication/1239e775-d001-4004-92de-dd69134353b7' class='mouseoverHref'><em>Transactions and Proceedings of the New Zealand Institute</em></a> <strong>57</strong>: 671-684<!--MARK-->","","Article in Journal","273cfa16-9fae-47f3-92d6-d466d990d7ca","20081009T05:11:37.000+0000","1239e775-d001-4004-92de-dd69134353b7"
"Blanford, W.T.","1903","Sokotra","199-201","","Nature (London)","","","","<!--MARK--><a href='../../../../publication/6cd82d6d-4858-4835-a842-fbb0fc6725c5' class='mouseoverHref'>Blanford, W.T. 1903. Sokotra.</a> <!--MARK--><!--MARK--><a href='../../../../publication/aab1f7cf-1d0d-4aba-9298-9d6b3cd8d739' class='mouseoverHref'><em>Nature (London)</em></a> <strong>69</strong>: 199-201<!--MARK-->","","Article in Journal","6cd82d6d-4858-4835-a842-fbb0fc6725c5","20081009T05:11:37.000+0000","aab1f7cf-1d0d-4aba-9298-9d6b3cd8d739"
"Breddin, G.","1905","Rhynchota Heteroptera aus Java, gesammelt von Prof. K. Kraepelin 1904","109-159","","Mitteilungen aus dem Naturhistorischen Museum in Hamburg","","","","<!--MARK--><a href='../../../../publication/69ee86e7-1bb6-4515-9a28-610bc82a5872' class='mouseoverHref'>Breddin, G. 1905. Rhynchota Heteroptera aus Java, gesammelt von Prof. K. Kraepelin 1904.</a> <!--MARK--><!--MARK--><a href='../../../../publication/4cda25cf-3a79-4c6d-9438-24f6cf8a82de' class='mouseoverHref'><em>Mitteilungen aus dem Naturhistorischen Museum in Hamburg</em></a> <strong>22</strong>: 109-159<!--MARK-->","","Article in Journal","69ee86e7-1bb6-4515-9a28-610bc82a5872","20081009T05:11:37.000+0000","4cda25cf-3a79-4c6d-9438-24f6cf8a82de"
"Cambero-Campos, Jh,. Valenzuela-Garcia, R., Carvajal-Cazola, C., Rios-Velasco, C. & Garcia-Martinez, O.","2010","New records for Mexico: <i>Gynaikothrips uzeli</i>, <i>Andrithrips ramachandrai</i> (Thysanoptera: Phlaeothripidae) and <i>Montandiola confusa</i> (Hemiptera: Anthocoridae)","470-472","","Florida Entomologist","","","","<!--MARK--><a href='../../../../publication/ace6ea48-05e8-4986-b241-3b72aadc4d38' class='mouseoverHref'>Cambero-Campos, Jh,. Valenzuela-Garcia, R., Carvajal-Cazola, C., Rios-Velasco, C. & Garcia-Martinez, O. 2010. New records for Mexico: <i>Gynaikothrips uzeli</i>, <i>Andrithrips ramachandrai</i> (Thysanoptera: Phlaeothripidae) and <i>Montandiola confusa</i> (Hemiptera: Anthocoridae).</a> <!--MARK--><!--MARK--><a href='../../../../publication/e42df428-4c19-49a2-9cde-43421ad8e565' class='mouseoverHref'><em>Florida Entomologist</em></a> <strong>93</strong>(3): 470-472<!--MARK-->","","Article in Journal","ace6ea48-05e8-4986-b241-3b72aadc4d38","20120508T02:05:21.614+0000","e42df428-4c19-49a2-9cde-43421ad8e565"
"Carayon, J.","1961","Hemiptera (Heteroptera): Anthocoridae","533-557","South African Animal Life. Results of the Lund University Expedition in 1950-1951","","","","","<!--MARK--><a href='../../../../publication/8be609a8-c9b2-4095-a65d-a8a132123ff5' class='mouseoverHref'>Carayon, J. 1961. Hemiptera (Heteroptera): Anthocoridae. pp. 533-557</a> <!--MARK--><em>in</em> <!--MARK--><a href='../../../../publication/23cb461b-29de-4b3a-9cb3-2a6859232ad6' class='mouseoverHref'>Hanström, B., Brinch, P. & Rudebeck, G. (eds). <em>South African Animal Life. Results of the Lund University Expedition in 1950-1951</em>. Stockholm : Almqvist & Wiksell Vol. 8.</a><!--MARK-->","","Chapter in Book","8be609a8-c9b2-4095-a65d-a8a132123ff5","20081009T05:11:37.000+0000","23cb461b-29de-4b3a-9cb3-2a6859232ad6"
"Carayon, J.","1972","Caractères systématiques et classification des Anthocoridae [Hemipt.]","309-349","","Annales de la Société Entomologique de France","","","","<!--MARK--><a href='../../../../publication/6ea5b9c6-e638-4a44-a6fd-ce3bc6792643' class='mouseoverHref'>Carayon, J. 1972. Caractères systématiques et classification des Anthocoridae [Hemipt.].</a> <!--MARK--><!--MARK--><a href='../../../../publication/6462279b-2aaf-46a3-a434-cab7d8a2c33d' class='mouseoverHref'><em>Annales de la Société Entomologique de France</em></a> ns <strong>8</strong>(2): 309-349<!--MARK-->","","Article in Journal","6ea5b9c6-e638-4a44-a6fd-ce3bc6792643","20120508T02:12:12.560+0000","6462279b-2aaf-46a3-a434-cab7d8a2c33d"
"Carayon, J. & Péricart, J.","1969","A propos de <i>Scoloposcelidea phryganophila</i> (J. Sahlberg, 1920), observations sur le genre <i>Scoloposcelis</i> (Heteroptera, Anthocoridae)","257-267","","Notulae Entomologicae","","","","<!--MARK--><a href='../../../../publication/1e073ee0-5051-4b97-ad68-d640f8e47682' class='mouseoverHref'>Carayon, J. & Péricart, J. 1969. A propos de <i>Scoloposcelidea phryganophila</i> (J. Sahlberg, 1920), observations sur le genre <i>Scoloposcelis</i> (Heteroptera, Anthocoridae).</a> <!--MARK--><!--MARK--><a href='../../../../publication/27dd8bc3-623b-4d84-921f-7e154544a242' class='mouseoverHref'><em>Notulae Entomologicae</em></a> <strong>49</strong>: 257-267<!--MARK-->","","Article in Journal","1e073ee0-5051-4b97-ad68-d640f8e47682","20081009T05:11:37.000+0000","27dd8bc3-623b-4d84-921f-7e154544a242"
