"PUB_AUTHOR","PUB_YEAR","PUB_TITLE","PUB_PAGES","PUB_PARENT_BOOK_TITLE","PUB_PARENT_JOURNAL_TITLE","PUB_PARENT_ARTICLE_TITLE","PUB_PUBLICATION_DATE","PUB_PUBLISHER","PUB_FORMATTED","PUB_QUALIFICATION","PUB_TYPE","PUBLICATION_GUID","PUBLICATION_LAST_UPDATE","PARENT_PUBLICATION_GUID"
"Bassler, R.S.","1935","Bryozoa. Generum et Genotyporum. Index et Bibliographica","1-229","Fossilium Catalogus I. Animalia","","","","","<!--MARK--><a href='nullda2dc997-f15a-4f09-b371-1bfab5449c91' class='mouseoverHref'>Bassler, R.S. 1935. Bryozoa. Generum et Genotyporum. Index et Bibliographica. pp. 1-229</a> <!--MARK--><em>in</em> <!--MARK--><a href='nullf039a560-5e97-47ae-b909-b8812dd51d60' class='mouseoverHref'>Quenstedt, W. (ed.). <em>Fossilium Catalogus I. Animalia</em>. s'Gravenhage : W.Junk.</a><!--MARK-->","","Chapter in Book","da2dc997-f15a-4f09-b371-1bfab5449c91","","f039a560-5e97-47ae-b909-b8812dd51d60"
"Bock, P.E.","1982","Bryozoans (Phylum Bryozoa)","319-394","Marine Invertebrates of Southern Australia","","","","","<!--MARK--><a href='nullb1fadf94-7264-494c-b91d-0003f41a7e0a' class='mouseoverHref'>Bock, P.E. 1982. Bryozoans (Phylum Bryozoa). pp. 319-394</a> <!--MARK--><em>in</em> <!--MARK--><a href='null0676c3be-3d74-4dae-a465-d7b1bde01087' class='mouseoverHref'>Shepherd, S.A. & Thomas, I.M. (eds). <em>Marine Invertebrates of Southern Australia</em>. <em>Handbook of the Flora and Fauna of South Australia</em> Adelaide : Government Printer Part 1 491 pp.</a><!--MARK-->","","Chapter in Book","b1fadf94-7264-494c-b91d-0003f41a7e0a","20170816T03:56:11.713+0000","0676c3be-3d74-4dae-a465-d7b1bde01087"
"Bradstock, M., & Gordon, D.P.","1983","Coral-like bryozoan growths in Tasman Bay, and their protection to conserve fish stocks","159-163","","New Zealand Journal of Marine and Freshwater Research","","","","<!--MARK--><a href='nullf52e5196-a33d-4118-8dfa-04db1b5e7f66' class='mouseoverHref'>Bradstock, M., & Gordon, D.P. 1983. Coral-like bryozoan growths in Tasman Bay, and their protection to conserve fish stocks.</a> <!--MARK--><!--MARK--><a href='null686c064a-68fc-4942-84e9-39f077c7e74e' class='mouseoverHref'><em>New Zealand Journal of Marine and Freshwater Research</em></a> <strong>17</strong>: 159-163<!--MARK-->","","Article in Journal","f52e5196-a33d-4118-8dfa-04db1b5e7f66","","686c064a-68fc-4942-84e9-39f077c7e74e"
"Brown, D.A.","1952","The Tertiary cheilostomatous Polyzoa of New Zealand","405 pp.","","","","","Trustees of the British Museum (Natural History)","<!--MARK--><a href='nullde3a62f9-e8a2-4961-9378-b6d8057f448d' class='mouseoverHref'>Brown, D.A. 1952. <em>The Tertiary cheilostomatous Polyzoa of New Zealand</em>. London : Trustees of the British Museum (Natural History) 405 pp.</a><!--MARK-->","","Book","de3a62f9-e8a2-4961-9378-b6d8057f448d","",""
"Busk, G.","1852","An account of the Polyzoa and Sertularian Zoophytes, collected in the voyage of the Rattlesnake on the coast of Australia and the Louisade Archipelago, etc.  Appendix no. IV","343-402","Narrative of the Voyage of H.M.S. Rattlesnake","","","","","<!--MARK--><a href='nulle333cb92-39c5-4ecf-84b0-6ec3a204ef32' class='mouseoverHref'>Busk, G. 1852. An account of the Polyzoa and Sertularian Zoophytes, collected in the voyage of the Rattlesnake on the coast of Australia and the Louisade Archipelago, etc.  Appendix no. IV. pp. 343-402</a> <!--MARK--><em>in</em> <!--MARK--><a href='nulleebf44ec-6e45-47a7-b6a9-0601d679eda6' class='mouseoverHref'>MacGillivray, J. (ed.). <em>Narrative of the Voyage of H.M.S. Rattlesnake</em>. London : T. & W. Boone Vol. 1.</a><!--MARK-->","","Chapter in Book","e333cb92-39c5-4ecf-84b0-6ec3a204ef32","","eebf44ec-6e45-47a7-b6a9-0601d679eda6"
"Busk, G.","1854","Catalogue of Marine Polyzoa in the collection of the British Museum, Part 2","55-120 pp.","","","","","Trustees of the British Museum","<!--MARK--><a href='null078abdb0-5a2c-405c-a347-a30f0ed5a72b' class='mouseoverHref'>Busk, G. 1854. <em>Catalogue of Marine Polyzoa in the collection of the British Museum, Part 2</em>. London : Trustees of the British Museum 55-120 pp.</a><!--MARK-->","","Book","078abdb0-5a2c-405c-a347-a30f0ed5a72b","20100110T22:36:08.382+0000",""
"Busk, G.","1881","Descriptive catalogue of the species of <i>Cellepora</i> collected on the Challenger Expedition","341-356","","Journal of the Linnean Society of London, Zoology","","","","<!--MARK--><a href='nulled5a4e52-1a12-498c-9170-bb60fc7911b1' class='mouseoverHref'>Busk, G. 1881. Descriptive catalogue of the species of <i>Cellepora</i> collected on the Challenger Expedition.</a> <!--MARK--><!--MARK--><a href='null9da0901d-c795-4d2c-b9ad-d6a85cdf1cce' class='mouseoverHref'><em>Journal of the Linnean Society of London, Zoology</em></a> <strong>15</strong>: 341-356<!--MARK-->","","Article in Journal","ed5a4e52-1a12-498c-9170-bb60fc7911b1","20100906T01:56:27.894+0000","9da0901d-c795-4d2c-b9ad-d6a85cdf1cce"
"Busk, G.","1884","Polyzoa. Pt. I. Cheilostomata","xiv, 216","","Report on the Scientific Results of the Voyage of H.M.S. Challenger 1873-1876, Zoology","","","","<!--MARK--><a href='null3312ddac-c634-4b18-9222-9749c288ba9b' class='mouseoverHref'>Busk, G. 1884. Polyzoa. Pt. I. Cheilostomata.</a> <!--MARK--><!--MARK--><a href='null1db4d8a3-1c27-4eff-aef5-d93514e06c4f' class='mouseoverHref'><em>Report on the Scientific Results of the Voyage of H.M.S. Challenger 1873-1876, Zoology</em></a> <strong>10</strong>: xiv, 216<!--MARK-->","","Article in Journal","3312ddac-c634-4b18-9222-9749c288ba9b","20130124T04:31:49.403+0000","1db4d8a3-1c27-4eff-aef5-d93514e06c4f"
"Calvet","1909","Bryozoaires","1-49","Expedition antarctique Française (1903-1905). Sciences naturelle, documents scientifiques","","","","","<!--MARK--><a href='null13d95bbe-de29-44d4-b3bc-910f6da47059' class='mouseoverHref'>Calvet 1909. Bryozoaires. pp. 1-49</a> <!--MARK--><em>in</em> <!--MARK--><a href='nulla7bbe31c-3ca2-4ad8-ac07-09314fef282e' class='mouseoverHref'>* (ed.). <em>Expedition antarctique Française (1903-1905). Sciences naturelle, documents scientifiques</em>. Paris : Masson et Cie.</a><!--MARK-->","","Chapter in Book","13d95bbe-de29-44d4-b3bc-910f6da47059","","a7bbe31c-3ca2-4ad8-ac07-09314fef282e"
"Cheetham, A.H.","1968","Morphology and systematics of the bryozoan genus <i>Metrarabdotos</i>","1-121","","Smithsonian Miscellaneous Collections","","","","<!--MARK--><a href='null8ef2a8ec-5afb-4049-993c-d1b929757d40' class='mouseoverHref'>Cheetham, A.H. 1968. Morphology and systematics of the bryozoan genus <i>Metrarabdotos</i>.</a> <!--MARK--><!--MARK--><a href='null2ad18d4c-326c-454e-bf1d-5321aee079b3' class='mouseoverHref'><em>Smithsonian Miscellaneous Collections</em></a> <strong>153</strong>: 1-121<!--MARK-->","","Article in Journal","8ef2a8ec-5afb-4049-993c-d1b929757d40","","2ad18d4c-326c-454e-bf1d-5321aee079b3"
