"PUB_AUTHOR","PUB_YEAR","PUB_TITLE","PUB_PAGES","PUB_PARENT_BOOK_TITLE","PUB_PARENT_JOURNAL_TITLE","PUB_PARENT_ARTICLE_TITLE","PUB_PUBLICATION_DATE","PUB_PUBLISHER","PUB_FORMATTED","PUB_QUALIFICATION","PUB_TYPE","PUBLICATION_GUID","PUBLICATION_LAST_UPDATE","PARENT_PUBLICATION_GUID"
"Baker, C.F.","1925","Some Lophopidae (Fulgoridea) of the Indo-Malayan and Papuan regions","271-296","","Treubia","","","","<!--MARK--><a href='null24e11b75-ad22-4e9b-9f13-4f7ef6f5861d' class='mouseoverHref'>Baker, C.F. 1925. Some Lophopidae (Fulgoridea) of the Indo-Malayan and Papuan regions.</a> <!--MARK--><!--MARK--><a href='nullbc67eed4-b10d-4199-a53d-7474be08f82a' class='mouseoverHref'><em>Treubia</em></a> <strong>6</strong>: 271-296<!--MARK-->","","Article in Journal","24e11b75-ad22-4e9b-9f13-4f7ef6f5861d","20081009T05:11:37.000+0000","bc67eed4-b10d-4199-a53d-7474be08f82a"
"Distant, W.L.","1907","Rhynchotal Notes. xli","277-295","","Annals and Magazine of Natural History","","","","<!--MARK--><a href='null79b4130f-1175-4f87-82ef-fde9a3b59016' class='mouseoverHref'>Distant, W.L. 1907. Rhynchotal Notes. xli.</a> <!--MARK--><!--MARK--><a href='nullefa8de69-3a29-4a43-8ef2-cbefda205976' class='mouseoverHref'><em>Annals and Magazine of Natural History</em></a> 7 <strong>19</strong>: 277-295<!--MARK-->","","Article in Journal","79b4130f-1175-4f87-82ef-fde9a3b59016","20081009T05:11:37.000+0000","efa8de69-3a29-4a43-8ef2-cbefda205976"
"Distant, W.L.","1909","Rhynchota Malayana. Part II","163-181","","Records of the Indian Museum","","","","<!--MARK--><a href='nullcd75caff-8b3b-40c7-8be9-c60369fe5234' class='mouseoverHref'>Distant, W.L. 1909. Rhynchota Malayana. Part II.</a> <!--MARK--><!--MARK--><a href='null6c35e896-740a-4f0a-9785-d35f1fc27b0d' class='mouseoverHref'><em>Records of the Indian Museum</em></a> <strong>3</strong>: 163-181<!--MARK-->","","Article in Journal","cd75caff-8b3b-40c7-8be9-c60369fe5234","20081009T05:11:37.000+0000","6c35e896-740a-4f0a-9785-d35f1fc27b0d"
"Gitau, C.W., Fletcher, M.J., Mitchell, A., Dewhurst, C.F. & Gurr, G.M.","2011","Review of the planthopper genus <i>Zophiuma</i> Fennah (Hemiptera: Fulgoromorpha: Lophopidae) with first description of the male of <i>Zophiuma pupillata</i> Stål","86-92","","Australian Journal of Entomology","","","","<!--MARK--><a href='null4af6238f-cf8b-4da5-94dd-a5f2b873e33c' class='mouseoverHref'>Gitau, C.W., Fletcher, M.J., Mitchell, A., Dewhurst, C.F. & Gurr, G.M. 2011. Review of the planthopper genus <i>Zophiuma</i> Fennah (Hemiptera: Fulgoromorpha: Lophopidae) with first description of the male of <i>Zophiuma pupillata</i> Stål.</a> <!--MARK--><!--MARK--><a href='null77b15fe9-6d88-4390-b074-3a3a6d3683a6' class='mouseoverHref'><em>Australian Journal of Entomology</em></a> <strong>50</strong>(1): 86-92<!--MARK-->","","Article in Journal","4af6238f-cf8b-4da5-94dd-a5f2b873e33c","20130129T02:56:11.637+0000","77b15fe9-6d88-4390-b074-3a3a6d3683a6"
"Gitau, C.W., Gurr, G.M., Dewhurst, C.F., Mitchell, A., Fletcher, M.J., Liefting, L.W. & Cowling, A.","2011","<i>Zophiuma lobulata</i> (Hemiptera: Lophopidae) causes Finschhafen disorder of coconut and oil palms","139-148","","Annals of Applied Biology","","","","<!--MARK--><a href='nulld74e5987-0a9c-4749-b4d7-c8a91fc2398a' class='mouseoverHref'>Gitau, C.W., Gurr, G.M., Dewhurst, C.F., Mitchell, A., Fletcher, M.J., Liefting, L.W. & Cowling, A. 2011. <i>Zophiuma lobulata</i> (Hemiptera: Lophopidae) causes Finschhafen disorder of coconut and oil palms.</a> <!--MARK--><!--MARK--><a href='nullcec2273e-7aca-4ec9-8c5a-85601457b14e' class='mouseoverHref'><em>Annals of Applied Biology</em></a> <strong>158</strong>(1): 139-148<!--MARK-->","","Article in Journal","d74e5987-0a9c-4749-b4d7-c8a91fc2398a","20130129T02:56:28.179+0000","cec2273e-7aca-4ec9-8c5a-85601457b14e"
"Kirby, W.F.","1891","Catalogue of the described Hemiptera Heteroptera and Homoptera of Ceylon, based on the collection formed (chiefly at Pundaloya) by Mr. E. Ernest Green","72-176 pls IV-VI","","Journal of the Linnean Society of London, Zoology","","","","<!--MARK--><a href='null9a6fce47-0571-4c29-b504-a70d35ad744a' class='mouseoverHref'>Kirby, W.F. 1891. Catalogue of the described Hemiptera Heteroptera and Homoptera of Ceylon, based on the collection formed (chiefly at Pundaloya) by Mr. E. Ernest Green.</a> <!--MARK--><!--MARK--><a href='null9da0901d-c795-4d2c-b9ad-d6a85cdf1cce' class='mouseoverHref'><em>Journal of the Linnean Society of London, Zoology</em></a> <strong>24</strong>: 72-176 pls IV-VI<!--MARK-->","","Article in Journal","9a6fce47-0571-4c29-b504-a70d35ad744a","20081009T05:11:37.000+0000","9da0901d-c795-4d2c-b9ad-d6a85cdf1cce"
"Kirkaldy, G.W.","1906","Leafhoppers and their natural enemies","271-479","","Bulletin of the Hawaiian Sugar Planters' Association Experimental Station Entomological Series","","","","<!--MARK--><a href='nulle8227547-7cdd-4e84-83a4-90fb28f1b8e9' class='mouseoverHref'>Kirkaldy, G.W. 1906. Leafhoppers and their natural enemies.</a> <!--MARK--><!--MARK--><a href='null434303ef-012d-4278-bb03-dfca5d1e6fec' class='mouseoverHref'><em>Bulletin of the Hawaiian Sugar Planters' Association Experimental Station Entomological Series</em></a> <strong>1</strong>(9): 271-479<!--MARK-->","","Article in Journal","e8227547-7cdd-4e84-83a4-90fb28f1b8e9","20081009T05:11:37.000+0000","434303ef-012d-4278-bb03-dfca5d1e6fec"
"Melichar, L.","1915","Monographie der Lophopinen","337-385","","Annales Historico-Naturales Musei Nationalis Hungarici (Zoologica)","","","","<!--MARK--><a href='null7b6d0b3b-09b7-4399-b869-a4f10d2bee43' class='mouseoverHref'>Melichar, L. 1915. Monographie der Lophopinen.</a> <!--MARK--><!--MARK--><a href='nulle6f35874-0423-4fa1-bf45-655b9047e0c2' class='mouseoverHref'><em>Annales Historico-Naturales Musei Nationalis Hungarici (Zoologica)</em></a> <strong>13</strong>: 337-385<!--MARK-->","","Article in Journal","7b6d0b3b-09b7-4399-b869-a4f10d2bee43","20081009T05:11:37.000+0000","e6f35874-0423-4fa1-bf45-655b9047e0c2"
"Soulier-Perkins, A.","1998","The Lophopidae (Hemiptera: Fulgoromorpha): Description of three new genera and key to the genera of the family","599-618","","European Journal of Entomology","","","","<!--MARK--><a href='nullbf4c8395-b060-400a-91ca-b0c61a993747' class='mouseoverHref'>Soulier-Perkins, A. 1998. The Lophopidae (Hemiptera: Fulgoromorpha): Description of three new genera and key to the genera of the family.</a> <!--MARK--><!--MARK--><a href='null8823e1b7-c40a-4a59-a8f1-4c2cf0ad430a' class='mouseoverHref'><em>European Journal of Entomology</em></a> <strong>95</strong>: 599-618<!--MARK-->","","Article in Journal","bf4c8395-b060-400a-91ca-b0c61a993747","20110411T05:40:58.973+0000","8823e1b7-c40a-4a59-a8f1-4c2cf0ad430a"
"Soulier-Perkins, A.","2008","The genus <i>Magia</i> Distant (Hemiptera: Lophopidae): review and biogeographic history","62-68","","Zootaxa","","","","<!--MARK--><a href='null86390b2b-ca72-4e00-b3cc-a62604870c04' class='mouseoverHref'>Soulier-Perkins, A. 2008. The genus <i>Magia</i> Distant (Hemiptera: Lophopidae): review and biogeographic history.</a> <!--MARK--><!--MARK--><a href='null96466227-221c-4922-ac97-1ac2dd946d0a' class='mouseoverHref'><em>Zootaxa</em></a> <strong>1870</strong>: 62-68<!--MARK-->","","Article in Journal","86390b2b-ca72-4e00-b3cc-a62604870c04","","96466227-221c-4922-ac97-1ac2dd946d0a"
"Spinola, M.","1839","Essai sur les Fulgorelles, sous-tribu de la tribu des Cicadaires, ordre des Ryngotes (suite)","339-454","","Annales de la Société Entomologique de France","","","","<!--MARK--><a href='null3ec218dc-964f-41e2-95e9-9fa89e7af2ea' class='mouseoverHref'>Spinola, M. 1839. Essai sur les Fulgorelles, sous-tribu de la tribu des Cicadaires, ordre des Ryngotes (suite).</a> <!--MARK--><!--MARK--><a href='null6462279b-2aaf-46a3-a434-cab7d8a2c33d' class='mouseoverHref'><em>Annales de la Société Entomologique de France</em></a> <strong>8</strong>: 339-454<!--MARK-->","","Article in Journal","3ec218dc-964f-41e2-95e9-9fa89e7af2ea","20081009T05:11:37.000+0000","6462279b-2aaf-46a3-a434-cab7d8a2c33d"
"Stål, C.","1855","Hemiptera fran Kafferlandet","89-100","","Öfversigt af Kongliga Svenska Vetenskaps-Akademiens Förhandlingar. Stockholm","","","","<!--MARK--><a href='nulld08c663d-30c4-48ae-b19a-4ea3f7f8ac1a' class='mouseoverHref'>Stål, C. 1855. Hemiptera fran Kafferlandet.</a> <!--MARK--><!--MARK--><a href='null97c0d48f-2d37-4345-809b-61ac64245842' class='mouseoverHref'><em>Öfversigt af Kongliga Svenska Vetenskaps-Akademiens Förhandlingar. Stockholm</em></a> <strong>12</strong>: 89-100<!--MARK-->","","Article in Journal","d08c663d-30c4-48ae-b19a-4ea3f7f8ac1a","","97c0d48f-2d37-4345-809b-61ac64245842"
"Stål, C.","1866","Hemiptera Homoptera Latr","1-276","","Hemiptera Africana","","","","<!--MARK--><a href='null76222a17-2ec7-47e9-a717-d644cdbd62eb' class='mouseoverHref'>Stål, C. 1866. Hemiptera Homoptera Latr.</a> <!--MARK--><!--MARK--><a href='null47fdb410-ba9d-4c53-a876-a7517bcf829c' class='mouseoverHref'><em>Hemiptera Africana</em></a> <strong>4</strong>: 1-276<!--MARK-->","","Article in Journal","76222a17-2ec7-47e9-a717-d644cdbd62eb","20081009T05:11:37.000+0000","47fdb410-ba9d-4c53-a876-a7517bcf829c"
"Walker, F.","1870","Catalogue of the Homopterous insects collected in the Indian Archipelago by Mr A.R. Wallace, with descriptions of new species","82-193","","Journal of the Linnean Society of London, Zoology","","","","<!--MARK--><a href='null72287a40-245d-42a7-96b1-1cc9baedd168' class='mouseoverHref'>Walker, F. 1870. Catalogue of the Homopterous insects collected in the Indian Archipelago by Mr A.R. Wallace, with descriptions of new species.</a> <!--MARK--><!--MARK--><a href='null9da0901d-c795-4d2c-b9ad-d6a85cdf1cce' class='mouseoverHref'><em>Journal of the Linnean Society of London, Zoology</em></a> <strong>10</strong>: 82-193<!--MARK-->","","Article in Journal","72287a40-245d-42a7-96b1-1cc9baedd168","20081009T05:11:37.000+0000","9da0901d-c795-4d2c-b9ad-d6a85cdf1cce"
