"PUB_AUTHOR","PUB_YEAR","PUB_TITLE","PUB_PAGES","PUB_PARENT_BOOK_TITLE","PUB_PARENT_JOURNAL_TITLE","PUB_PARENT_ARTICLE_TITLE","PUB_PUBLICATION_DATE","PUB_PUBLISHER","PUB_FORMATTED","PUB_QUALIFICATION","PUB_TYPE","PUBLICATION_GUID","PUBLICATION_LAST_UPDATE","PARENT_PUBLICATION_GUID"
"Andrews, J.R.H.","1983","The origin and evolution of host associations of <i>Sarcoptes scabiei</i> and the subfamily Sarcoptinae Murray","85-94","","Acarologia","","","","<!--MARK--><a href='../../../../publication/acf11fcd-77ee-4230-a1ae-6738eea8bc1d' class='mouseoverHref'>Andrews, J.R.H. 1983. The origin and evolution of host associations of <i>Sarcoptes scabiei</i> and the subfamily Sarcoptinae Murray.</a> <!--MARK--><!--MARK--><a href='../../../../publication/ca52b0dd-4050-4ed0-b7a9-fad0329897d3' class='mouseoverHref'><em>Acarologia</em></a> <strong>24</strong>: 85-94<!--MARK-->","","Article in Journal","acf11fcd-77ee-4230-a1ae-6738eea8bc1d","20081009T05:11:37.000+0000","ca52b0dd-4050-4ed0-b7a9-fad0329897d3"
"Bancroft, B.J.","1991","<i>Opsonyssus indicus</i> Fain (Acari : Gastronyssidae) on the eye of <i>Pteropus scapulatus</i> Peters (Chiroptera : Pteropodidae)","48","","Journal of the Australian Entomological Society","","","","<!--MARK--><a href='../../../../publication/4cccc3ee-1903-4b35-ab61-1b82b98b882f' class='mouseoverHref'>Bancroft, B.J. 1991. <i>Opsonyssus indicus</i> Fain (Acari : Gastronyssidae) on the eye of <i>Pteropus scapulatus</i> Peters (Chiroptera : Pteropodidae).</a> <!--MARK--><!--MARK--><a href='../../../../publication/c2544f9f-3978-4f18-846d-a1fd3122c9c4' class='mouseoverHref'><em>Journal of the Australian Entomological Society</em></a> <strong>30</strong>: 48<!--MARK-->","","Article in Journal","4cccc3ee-1903-4b35-ab61-1b82b98b882f","20081009T05:11:37.000+0000","c2544f9f-3978-4f18-846d-a1fd3122c9c4"
"Barrow, G.J., Domrow, R. & Derrick, E.H.","1963","Rocky Creek, an outlying focus of scrub typhus in north Queensland","166-170","","Australasian Annals of Medicine","","","","<!--MARK--><a href='../../../../publication/8bfee553-4091-4285-be50-dbfd3e04fc77' class='mouseoverHref'>Barrow, G.J., Domrow, R. & Derrick, E.H. 1963. Rocky Creek, an outlying focus of scrub typhus in north Queensland.</a> <!--MARK--><!--MARK--><a href='../../../../publication/5f502954-59fe-4e63-bf2d-3a7efa937a87' class='mouseoverHref'><em>Australasian Annals of Medicine</em></a> <strong>12</strong>: 166-170<!--MARK-->","","Article in Journal","8bfee553-4091-4285-be50-dbfd3e04fc77","20081009T05:11:37.000+0000","5f502954-59fe-4e63-bf2d-3a7efa937a87"
"Beresford-Jones, W.P., Fain, A. & Thoday, K.L.","1976","Further observations relating to <i>Trixacarus (Caviacoptes) caviae</i> Fain, Hovell and Hyatt, 1972 in guinea-pigs (Acarina : Sarcoptidae)","33-36","","Acta Zoologica et Pathologica Antverpiensia","","","","<!--MARK--><a href='../../../../publication/6d06a371-0e83-4e17-9275-de31a862b2fe' class='mouseoverHref'>Beresford-Jones, W.P., Fain, A. & Thoday, K.L. 1976. Further observations relating to <i>Trixacarus (Caviacoptes) caviae</i> Fain, Hovell and Hyatt, 1972 in guinea-pigs (Acarina : Sarcoptidae).</a> <!--MARK--><!--MARK--><a href='../../../../publication/de341f7b-7cd3-4752-aea1-101d8d83514f' class='mouseoverHref'><em>Acta Zoologica et Pathologica Antverpiensia</em></a> <strong>64</strong>: 33-36<!--MARK-->","","Article in Journal","6d06a371-0e83-4e17-9275-de31a862b2fe","20081009T05:11:37.000+0000","de341f7b-7cd3-4752-aea1-101d8d83514f"
"Berlese, A.","1897","Acari, Myriopoda et Scorpiones hucusque in Italia reperta. Ordo Cryptostigmata (Sarcoptidae)","190 pp.","","","","","Sumptibus Auctoris","<!--MARK--><a href='../../../../publication/28e38519-49ae-48c4-8c89-38ee676d99e9' class='mouseoverHref'>Berlese, A. 1897. <em>Acari, Myriopoda et Scorpiones hucusque in Italia reperta. Ordo Cryptostigmata (Sarcoptidae)</em>. Portici : Sumptibus Auctoris 190 pp.</a><!--MARK-->","","Book","28e38519-49ae-48c4-8c89-38ee676d99e9","20081009T05:11:37.000+0000",""
"Beron, P.","2011","Acarorum Catalogus. II. Acariformes: Acaridida. Listrophoroidea. Listrophoridae, Dromiciocoptidae, Myocoptidae, Chirodiscidae, Atopomelidae.","pp. 263","","","","","Pensoft","<!--MARK--><a href='../../../../publication/1f9bb20b-0315-4b6f-b757-f8840c09c4fe' class='mouseoverHref'>Beron, P. 2011. <em>Acarorum Catalogus. II. Acariformes: Acaridida. Listrophoroidea. Listrophoridae, Dromiciocoptidae, Myocoptidae, Chirodiscidae, Atopomelidae</em>. Sofia : Pensoft pp. 263.</a><!--MARK-->","","Book","1f9bb20b-0315-4b6f-b757-f8840c09c4fe","20120126T21:34:52.155+0000",""
"Beveridge, I. & Barker, I.K.","1976","The parasites of <i>Antechinus stuartii</i> Macleay from Powelltown, Victoria, with observations on seasonal and sex-related variations in numbers of helminths","265-272","","Australian Journal of Zoology","","","","<!--MARK--><a href='../../../../publication/3e28dd8e-b999-42a0-a5ca-d3b10e389efb' class='mouseoverHref'>Beveridge, I. & Barker, I.K. 1976. The parasites of <i>Antechinus stuartii</i> Macleay from Powelltown, Victoria, with observations on seasonal and sex-related variations in numbers of helminths.</a> <!--MARK--><!--MARK--><a href='../../../../publication/53c3abd8-0254-4532-a73e-d9ef6b7ac2ef' class='mouseoverHref'><em>Australian Journal of Zoology</em></a> <strong>24</strong>: 265-272<!--MARK-->","","Article in Journal","3e28dd8e-b999-42a0-a5ca-d3b10e389efb","20081009T05:11:37.000+0000","53c3abd8-0254-4532-a73e-d9ef6b7ac2ef"
"Bochkov, A.V.","2010","A review of mammal-associated Psoroptidia (Acariformes: Astigmata).","99-260","","Acarina. Russian Journal of Acarology","","","","<!--MARK--><a href='../../../../publication/e7646456-e39c-4934-b53f-9f99f47760f2' class='mouseoverHref'>Bochkov, A.V. 2010. A review of mammal-associated Psoroptidia (Acariformes: Astigmata).</a> <!--MARK--><!--MARK--><a href='../../../../publication/bc011b4b-8e3c-40bc-9bd9-53aff93d329e' class='mouseoverHref'><em>Acarina. Russian Journal of Acarology</em></a> <strong>18</strong>: 99-260<!--MARK-->","","Article in Journal","e7646456-e39c-4934-b53f-9f99f47760f2","20110516T20:28:04.696+0000","bc011b4b-8e3c-40bc-9bd9-53aff93d329e"
"Bochkov, A.V.","2012","<I>Macropodicoptes mironovi</I> n.g., n.sp. (Acariformes: Sarcoptidae), a new mange mite from <I>Wallabia bicolor</I> (Desmarest) (Diprotodonia: Macropodidae)","29-38","","Systematic Parasitology","","","","<!--MARK--><a href='../../../../publication/e9ef268f-73e1-4b0b-8c9a-e75e256ac4c9' class='mouseoverHref'>Bochkov, A.V. 2012. <I>Macropodicoptes mironovi</I> n.g., n.sp. (Acariformes: Sarcoptidae), a new mange mite from <I>Wallabia bicolor</I> (Desmarest) (Diprotodonia: Macropodidae).</a> <!--MARK--><!--MARK--><a href='../../../../publication/b0bb30a0-dfa7-4cf2-bf21-216d851b8d01' class='mouseoverHref'><em>Systematic Parasitology</em></a> <strong>83</strong>: 29-38<!--MARK-->","","Article in Journal","e9ef268f-73e1-4b0b-8c9a-e75e256ac4c9","20130506T04:21:37.541+0000","b0bb30a0-dfa7-4cf2-bf21-216d851b8d01"
"Bochkov, A.V., OConnor, B.M. & Grootaert, P.","2013","Revision of the family Listropsoralgidae Fain, 1965 (Acariformes: Sarcoptoidea) -- skin parasites of marsupials and rodents.","1-69","","Zootaxa","","","","<!--MARK--><a href='../../../../publication/1f6ac1fd-1214-4327-b76c-39e1e5c42801' class='mouseoverHref'>Bochkov, A.V., OConnor, B.M. & Grootaert, P. 2013. Revision of the family Listropsoralgidae Fain, 1965 (Acariformes: Sarcoptoidea) -- skin parasites of marsupials and rodents.</a> <!--MARK--><!--MARK--><a href='../../../../publication/96466227-221c-4922-ac97-1ac2dd946d0a' class='mouseoverHref'><em>Zootaxa</em></a> <strong>3611</strong>: 1-69<!--MARK-->","","Article in Journal","1f6ac1fd-1214-4327-b76c-39e1e5c42801","20130205T06:33:33.365+0000","96466227-221c-4922-ac97-1ac2dd946d0a"
