"PUB_AUTHOR","PUB_YEAR","PUB_TITLE","PUB_PAGES","PUB_PARENT_BOOK_TITLE","PUB_PARENT_JOURNAL_TITLE","PUB_PARENT_ARTICLE_TITLE","PUB_PUBLICATION_DATE","PUB_PUBLISHER","PUB_FORMATTED","PUB_QUALIFICATION","PUB_TYPE","PUBLICATION_GUID","PUBLICATION_LAST_UPDATE","PARENT_PUBLICATION_GUID"
"Cockerell, T.D.A.","1913","Descriptions and records of bees. LI","387-394","","Annals and Magazine of Natural History","","31/12/1913","","<!--MARK--><a href='null159e6cdd-11f9-4c36-b522-236a85001e6a' class='mouseoverHref'>Cockerell, T.D.A. 1913. Descriptions and records of bees. LI.</a> <!--MARK--><!--MARK--><a href='nullefa8de69-3a29-4a43-8ef2-cbefda205976' class='mouseoverHref'><em>Annals and Magazine of Natural History</em></a> 8 <strong>11</strong>: 387-394<!--MARK--> [Date published 31/12/1913]","","Article in Journal","159e6cdd-11f9-4c36-b522-236a85001e6a","20081009T05:11:37.000+0000","efa8de69-3a29-4a43-8ef2-cbefda205976"
"Cockerell, T.D.A.","1914","Descriptions and records of bees. LX","1-13","","Annals and Magazine of Natural History","","31/12/1914","","<!--MARK--><a href='null94e3b62b-e748-4596-8b7c-4679724ef2db' class='mouseoverHref'>Cockerell, T.D.A. 1914. Descriptions and records of bees. LX.</a> <!--MARK--><!--MARK--><a href='nullefa8de69-3a29-4a43-8ef2-cbefda205976' class='mouseoverHref'><em>Annals and Magazine of Natural History</em></a> 8 <strong>14</strong>: 1-13<!--MARK--> [Date published 31/12/1914]","","Article in Journal","94e3b62b-e748-4596-8b7c-4679724ef2db","20081009T05:11:37.000+0000","efa8de69-3a29-4a43-8ef2-cbefda205976"
"Cockerell, T.D.A.","1914","New Australian bees","197-201","","The Entomologist","","31/12/1914","","<!--MARK--><a href='null075b375b-5555-4219-8101-69ec1fc46469' class='mouseoverHref'>Cockerell, T.D.A. 1914. New Australian bees.</a> <!--MARK--><!--MARK--><a href='nullf3b5bc68-9fcf-42d6-b01d-f490d96af7e9' class='mouseoverHref'><em>The Entomologist</em></a> <strong>47</strong>: 197-201<!--MARK--> [Date published 31/12/1914]","","Article in Journal","075b375b-5555-4219-8101-69ec1fc46469","20081009T05:11:37.000+0000","f3b5bc68-9fcf-42d6-b01d-f490d96af7e9"
"Cockerell, T.D.A.","1916","Descriptions and records of bees. LXXII","428-435","","Annals and Magazine of Natural History","","31/12/1916","","<!--MARK--><a href='null8e7602ec-2c35-4c02-9021-36b08b7848e3' class='mouseoverHref'>Cockerell, T.D.A. 1916. Descriptions and records of bees. LXXII.</a> <!--MARK--><!--MARK--><a href='nullefa8de69-3a29-4a43-8ef2-cbefda205976' class='mouseoverHref'><em>Annals and Magazine of Natural History</em></a> 8 <strong>17</strong>: 428-435<!--MARK--> [Date published 31/12/1916]","","Article in Journal","8e7602ec-2c35-4c02-9021-36b08b7848e3","20081009T05:11:37.000+0000","efa8de69-3a29-4a43-8ef2-cbefda205976"
"Evans, H.E. & Matthews, R.W.","1973","Systematics and nesting behavior of Australian <i>Bembix</i> sand wasps (Hymenoptera, Sphecidae)","iv, 1-387","","Memoirs of the American Entomological Institute","","31/12/1973","","<!--MARK--><a href='nullf9f2f120-cca5-4a1d-9213-0d125395bc32' class='mouseoverHref'>Evans, H.E. & Matthews, R.W. 1973. Systematics and nesting behavior of Australian <i>Bembix</i> sand wasps (Hymenoptera, Sphecidae).</a> <!--MARK--><!--MARK--><a href='null68c5f11e-7ef5-44e0-8361-2a9052a673b6' class='mouseoverHref'><em>Memoirs of the American Entomological Institute</em></a> <strong>20</strong>: iv, 1-387<!--MARK--> [Date published 31/12/1973]","","Article in Journal","f9f2f120-cca5-4a1d-9213-0d125395bc32","20081009T05:11:37.000+0000","68c5f11e-7ef5-44e0-8361-2a9052a673b6"
"Exley, E.M.","1969","<i>Argohesma</i>--a new genus of Australian bees (Apoidea: Colletidae)","527-534","","Australian Journal of Zoology","","31/12/1969","","<!--MARK--><a href='null597c7273-fe4d-47a5-b9d8-275e07b4b6cd' class='mouseoverHref'>Exley, E.M. 1969. <i>Argohesma</i>--a new genus of Australian bees (Apoidea: Colletidae).</a> <!--MARK--><!--MARK--><a href='null53c3abd8-0254-4532-a73e-d9ef6b7ac2ef' class='mouseoverHref'><em>Australian Journal of Zoology</em></a> <strong>17</strong>: 527-534<!--MARK--> [Date published 31/12/1969]","","Article in Journal","597c7273-fe4d-47a5-b9d8-275e07b4b6cd","20081009T05:11:37.000+0000","53c3abd8-0254-4532-a73e-d9ef6b7ac2ef"
"Exley, E.M.","1969","Revision of the genus <i>Xanthesma</i> Michener (Apoidea: Colletidae)","515-526","","Australian Journal of Zoology","","31/12/1969","","<!--MARK--><a href='null417ee9a1-29fa-44c9-98f0-ccf0c47dfd50' class='mouseoverHref'>Exley, E.M. 1969. Revision of the genus <i>Xanthesma</i> Michener (Apoidea: Colletidae).</a> <!--MARK--><!--MARK--><a href='null53c3abd8-0254-4532-a73e-d9ef6b7ac2ef' class='mouseoverHref'><em>Australian Journal of Zoology</em></a> <strong>17</strong>: 515-526<!--MARK--> [Date published 31/12/1969]","","Article in Journal","417ee9a1-29fa-44c9-98f0-ccf0c47dfd50","20081009T05:11:37.000+0000","53c3abd8-0254-4532-a73e-d9ef6b7ac2ef"
"Exley, E.M.","1969","Revision of the subgenus <i>Xenohesma</i> Michener (Apoidea: Colletidae)","535-551","","Australian Journal of Zoology","","31/12/1969","","<!--MARK--><a href='nullb9960847-890a-499d-a70d-201d31bba4fa' class='mouseoverHref'>Exley, E.M. 1969. Revision of the subgenus <i>Xenohesma</i> Michener (Apoidea: Colletidae).</a> <!--MARK--><!--MARK--><a href='null53c3abd8-0254-4532-a73e-d9ef6b7ac2ef' class='mouseoverHref'><em>Australian Journal of Zoology</em></a> <strong>17</strong>: 535-551<!--MARK--> [Date published 31/12/1969]","","Article in Journal","b9960847-890a-499d-a70d-201d31bba4fa","20081009T05:11:37.000+0000","53c3abd8-0254-4532-a73e-d9ef6b7ac2ef"
"Exley, E.M.","1974","A contribution to our knowledge of the bee fauna (Colletidae: Euryglossinae) of remote areas of Australia with descriptions of new species","95-110","","Proceedings of the Royal Society of Queensland","","31/12/1974","","<!--MARK--><a href='nulldeb2714c-9f2c-4758-aca1-5bcaed8411be' class='mouseoverHref'>Exley, E.M. 1974. A contribution to our knowledge of the bee fauna (Colletidae: Euryglossinae) of remote areas of Australia with descriptions of new species.</a> <!--MARK--><!--MARK--><a href='null642ab613-813a-48d0-8bc0-42c78157f7b0' class='mouseoverHref'><em>Proceedings of the Royal Society of Queensland</em></a> <strong>85</strong>: 95-110<!--MARK--> [Date published 31/12/1974]","","Article in Journal","deb2714c-9f2c-4758-aca1-5bcaed8411be","20081009T05:11:37.000+0000","642ab613-813a-48d0-8bc0-42c78157f7b0"
"Exley, E.M.","1978","<i>Chaetohesma</i>--a new genus of Australian bees (Apoidea: Colletidae: Euryglossinae)","373-397","","Australian Journal of Zoology","","31/12/1978","","<!--MARK--><a href='null050fbf1a-b752-4a43-b2b1-ac64bc936967' class='mouseoverHref'>Exley, E.M. 1978. <i>Chaetohesma</i>--a new genus of Australian bees (Apoidea: Colletidae: Euryglossinae).</a> <!--MARK--><!--MARK--><a href='null53c3abd8-0254-4532-a73e-d9ef6b7ac2ef' class='mouseoverHref'><em>Australian Journal of Zoology</em></a> <strong>26</strong>: 373-397<!--MARK--> [Date published 31/12/1978]","","Article in Journal","050fbf1a-b752-4a43-b2b1-ac64bc936967","20081009T05:11:37.000+0000","53c3abd8-0254-4532-a73e-d9ef6b7ac2ef"
