"CAVS_CODE","CAAB_CODE","NAMES_VARIOUS","SCIENTIFIC_NAME","FAMILY","GENUS","SUBGENUS","SPECIES","SUBSPECIES","NAME_TYPE","NAME_SUBTYPE","RANK","QUALIFICATION","AUTHOR","YEAR","ORIG_COMBINATION","NAME_GUID","NAME_LAST_UPDATE","TAXON_GUID","TAXON_LAST_UPDATE","PARENT_TAXON_GUID","CONCEPT_GUID","PUB_PUB_AUTHOR","PUB_PUB_YEAR","PUB_PUB_TITLE","PUB_PUB_PAGES","PUB_PUB_PARENT_BOOK_TITLE","PUB_PUB_PARENT_JOURNAL_TITLE","PUB_PUB_PARENT_ARTICLE_TITLE","PUB_PUB_PUBLICATION_DATE","PUB_PUB_PUBLISHER","PUB_PUB_FORMATTED","PUB_PUB_QUALIFICATION","PUB_PUB_TYPE","PUBLICATION_GUID","PUBLICATION_LAST_UPDATE","PARENT_PUBLICATION_GUID"
"","","ACOETIDAE","ACOETIDAE","ACOETIDAE","","","","","Valid Name","","Family","","","","Y","a9d9efdd-51c9-4a5b-a021-359a34c824f3","20210810T02:44:50.388+0000","204fa78e-0770-426f-9215-49bcdedbbc2d","20220322T01:21:01.806+0000","de1db2b1-56b5-47f1-b4bd-68a4d9339e0d","204fa78e-0770-426f-9215-49bcdedbbc2d","","","","","","","","","","","","","","",""
"","","Polyodontes","Polyodontes Renier in Blainville, 1828","ACOETIDAE","Polyodontes","","","","Valid Name","","Genus","","Renier in Blainville","1828","Y","44c4976b-3f92-4460-b9d9-4238229cf685","20210810T02:44:50.388+0000","e708d49b-5948-4c3b-a26b-20fb15b4903c","20220322T01:21:01.806+0000","204fa78e-0770-426f-9215-49bcdedbbc2d","e708d49b-5948-4c3b-a26b-20fb15b4903c","","","","","","","","","","","","","","",""
"","","Polyodontes","Polyodontes Renier in Blainville, 1828","","Polyodontes","","","","Synonym","synonym","Genus","","Renier in Blainville","1828","Y","15b5d49c-28c6-4509-a2b2-dff9bfeff620","20210810T02:44:50.388+0000","e708d49b-5948-4c3b-a26b-20fb15b4903c","20220322T01:21:01.806+0000","","af16f27a-2d2b-49ca-8f1d-2ab615587c75","Renier, S.A. in Blaineville, H. de","1828","<i>Dictionnaire des Sciences naturelles</i>, dans lequel on traite méthodiquement des différens êtres de la nature, considérés soit en eux-mêmes ? d'après l'état actuel de nos connais sciences, soit relativement a l'utilité qu'en peuvent retirer la mediciné","","","","","","","<!--MARK--><a href='null0fc97ee9-0e63-47e0-ac8f-0d98293a1af9' class='mouseoverHref'>Renier, S.A. <i>in</i> Blaineville, H. de 1828. <i>Dictionnaire des Sciences naturelles</i>, dans lequel on traite méthodiquement des différens êtres de la nature, considérés soit en eux-mêmes ? d'après l'état actuel de nos connais sciences, soit relativement a l'utilité qu'en peuvent retirer la mediciné. Vol. 1.</a>","","Miscellaneous","0fc97ee9-0e63-47e0-ac8f-0d98293a1af9","20140713T23:42:33.939+0000",""
"","","atromarginatus","Polyodontes atromarginatus Horst, 1917","ACOETIDAE","Polyodontes","","atromarginatus","","Valid Name","","Species","","Horst","1917","Y","484a681f-26c2-4856-a876-03d1bfadec00","20210810T02:44:50.388+0000","dfdeae34-410d-48e6-97ff-892d9fceeea9","20220322T01:21:01.806+0000","e708d49b-5948-4c3b-a26b-20fb15b4903c","dfdeae34-410d-48e6-97ff-892d9fceeea9","","","","","","","","","","","","","","",""
"","","atromarginatus","Polyodontes atromarginatus Horst, 1917","","Polyodontes","","atromarginatus","","Synonym","synonym","Species","as <I>Polyodontes atro-marginatus</I>","Horst","1917","Y","2c88546f-3279-49e1-a020-e50ae02c343e","20210810T02:44:50.388+0000","dfdeae34-410d-48e6-97ff-892d9fceeea9","20220322T01:21:01.806+0000","","03fabe5f-3fc1-48a3-863b-b0f7ccf218b7","Horst, R.","1917","Polychaeta Errantia of the Siboga Expedition. Part II Aphroditidae and Chrysopetalidae","1-143","","Siboga-Expéditie Report","","","","<!--MARK--><a href='null07736ffb-562e-4f33-9dda-44b9c7faa885' class='mouseoverHref'>Horst, R. 1917. Polychaeta Errantia of the Siboga Expedition. Part II Aphroditidae and Chrysopetalidae.</a> <!--MARK--><!--MARK--><a href='null2a74a5bb-4884-4d11-8f91-b92c6e837b0a' class='mouseoverHref'><em>Siboga-Expéditie Report</em></a> <strong>24b</strong>: 1-143<!--MARK-->","","Article in Journal","07736ffb-562e-4f33-9dda-44b9c7faa885","20081009T05:11:37.000+0000","2a74a5bb-4884-4d11-8f91-b92c6e837b0a"
"","","helleri","Panthalis helleri Holly, 1934","","Panthalis","","helleri","","Synonym","synonym","Species","","Holly","1934","Y","671c0c0e-b8b4-49b5-981c-a5cc68e96d6d","20210810T02:44:50.388+0000","dfdeae34-410d-48e6-97ff-892d9fceeea9","20220322T01:21:01.806+0000","","280aa674-10a1-4476-8940-7c991bcb48a4","Holly, M.","1934","Polychaeten von den Philippinen, I","147-150","","Zoologischer Anzeiger","","","","<!--MARK--><a href='nulle1fadee6-e7b3-46cc-a794-df674f4fcf79' class='mouseoverHref'>Holly, M. 1934. Polychaeten von den Philippinen, I.</a> <!--MARK--><!--MARK--><a href='null4b894062-2782-48ef-bf96-6997840d9060' class='mouseoverHref'><em>Zoologischer Anzeiger</em></a> <strong>105</strong>: 147-150<!--MARK-->","","Article in Journal","e1fadee6-e7b3-46cc-a794-df674f4fcf79","20081009T05:11:37.000+0000","4b894062-2782-48ef-bf96-6997840d9060"
"","","adumbrata","Polyodontes adumbrata Hartman, 1939","","Polyodontes","","adumbrata","","Synonym","synonym","Species","","Hartman","1939","Y","62594b3a-72f3-4c67-85ad-c049567c114c","20210810T02:44:50.388+0000","dfdeae34-410d-48e6-97ff-892d9fceeea9","20220322T01:21:01.806+0000","","1b645048-3785-40d7-aa07-f2734ecc59f0","Hartman, O.","1939","Polychaetous annelids. Part I. Aphroditidae to Pisionidae","1-154","","Allan Hancock Pacific Expeditions","","","","<!--MARK--><a href='nullca175cab-2a33-494c-a4c1-208eb9830c77' class='mouseoverHref'>Hartman, O. 1939. Polychaetous annelids. Part I. Aphroditidae to Pisionidae.</a> <!--MARK--><!--MARK--><a href='null65abe1e1-075e-4237-a31f-35f7d153ebbc' class='mouseoverHref'><em>Allan Hancock Pacific Expeditions</em></a> <strong>7</strong>: 1-154<!--MARK-->","","Article in Journal","ca175cab-2a33-494c-a4c1-208eb9830c77","20081009T05:11:37.000+0000","65abe1e1-075e-4237-a31f-35f7d153ebbc"
"","","australiensis","Polyodontes australiensis (McIntosh, 1885)","ACOETIDAE","Polyodontes","","australiensis","","Valid Name","","Species","","McIntosh","1885","N","a5e82a09-c5ce-462e-a841-442f12f2c50b","20210810T02:44:50.388+0000","b5b53b5a-63a7-43df-91c3-2794a751366a","20220322T01:21:01.806+0000","e708d49b-5948-4c3b-a26b-20fb15b4903c","b5b53b5a-63a7-43df-91c3-2794a751366a","","","","","","","","","","","","","","",""
"","","australiensis","Eupompe australiensis McIntosh, 1885","","Eupompe","","australiensis","","Synonym","synonym","Species","","McIntosh","1885","Y","fba5bfad-f541-4cd2-8a9d-bd5744909e47","20210810T02:44:50.388+0000","b5b53b5a-63a7-43df-91c3-2794a751366a","20220322T01:21:01.806+0000","","93d6a422-7d90-4650-a4ff-c5f593020ea0","McIntosh, W.C.","1885","Report on the Annelida Polychaeta collected by H.M.S. 'Challenger' during the years 1873-76","1-554","","Report on the Scientific Results of the Voyage of H.M.S. Challenger 1873-1876, Zoology","","","","<!--MARK--><a href='nullc5ed8a78-6d24-4313-822d-d00dbff7a807' class='mouseoverHref'>McIntosh, W.C. 1885. Report on the Annelida Polychaeta collected by H.M.S. 'Challenger' during the years 1873-76.</a> <!--MARK--><!--MARK--><a href='null1db4d8a3-1c27-4eff-aef5-d93514e06c4f' class='mouseoverHref'><em>Report on the Scientific Results of the Voyage of H.M.S. Challenger 1873-1876, Zoology</em></a> <strong>12</strong>: 1-554<!--MARK-->","","Article in Journal","c5ed8a78-6d24-4313-822d-d00dbff7a807","20130124T04:31:49.403+0000","1db4d8a3-1c27-4eff-aef5-d93514e06c4f"
"","","australiensis","Polyodontes australiensis (McIntosh, 1885)","","Polyodontes","","australiensis","","Generic Combination","","Species","","McIntosh","1885","N","f584d1d9-332a-4219-8dcc-6d0445e3f080","20210810T02:44:50.388+0000","b5b53b5a-63a7-43df-91c3-2794a751366a","20220322T01:21:01.806+0000","","5d1dc4bb-cd36-4d81-827a-3be892066f24","Hutchings, P.A. & Murray, A.","1984","Taxonomy of Polychaetes from the Hawkesbury River and the southern estuaries of New South Wales, Australia","1-118","","Records of the Australian Museum, Supplement","","","","<!--MARK--><a href='null16d75e54-0720-4c55-b02e-782441bb6667' class='mouseoverHref'>Hutchings, P.A. & Murray, A. 1984. Taxonomy of Polychaetes from the Hawkesbury River and the southern estuaries of New South Wales, Australia.</a> <!--MARK--><!--MARK--><a href='null9b521238-2e20-4fb1-b587-c4c9e053bf0f' class='mouseoverHref'><em>Records of the Australian Museum, Supplement</em></a> <strong>3</strong>: 1-118<!--MARK-->","","Article in Journal","16d75e54-0720-4c55-b02e-782441bb6667","20170310T03:38:21.323+0000","9b521238-2e20-4fb1-b587-c4c9e053bf0f"
