"CAVS_CODE","CAAB_CODE","NAMES_VARIOUS","SCIENTIFIC_NAME","FAMILY","GENUS","SUBGENUS","SPECIES","SUBSPECIES","NAME_TYPE","NAME_SUBTYPE","RANK","QUALIFICATION","AUTHOR","YEAR","ORIG_COMBINATION","NAME_GUID","NAME_LAST_UPDATE","TAXON_GUID","TAXON_LAST_UPDATE","PARENT_TAXON_GUID","CONCEPT_GUID","PUB_PUB_AUTHOR","PUB_PUB_YEAR","PUB_PUB_TITLE","PUB_PUB_PAGES","PUB_PUB_PARENT_BOOK_TITLE","PUB_PUB_PARENT_JOURNAL_TITLE","PUB_PUB_PARENT_ARTICLE_TITLE","PUB_PUB_PUBLICATION_DATE","PUB_PUB_PUBLISHER","PUB_PUB_FORMATTED","PUB_PUB_QUALIFICATION","PUB_PUB_TYPE","PUBLICATION_GUID","PUBLICATION_LAST_UPDATE","PARENT_PUBLICATION_GUID"
"","","ANALGOIDEA","ANALGOIDEA Trouessart & Mégnin, 1884","","","","","","Valid Name","","Superfamily","","Trouessart & Mégnin","1884","Y","8efe7cca-5501-401b-ba8d-7e1188480376","20190716T23:06:39.241+0000","25d947e7-db10-4eeb-8079-339338e831be","20191205T03:20:53.939+0000","daf99791-e41c-472b-8f8b-750de5d71a54","25d947e7-db10-4eeb-8079-339338e831be","","","","","","","","","","","","","","",""
"","","Analgidae","Analgidae Trouessart & Mégnin, 1884","","","","","","Synonym","synonym","Superfamily","","Trouessart & Mégnin","1884","Y","3871e1a6-4a04-44a8-9e00-dfc28c2226f9","20190716T23:06:39.241+0000","25d947e7-db10-4eeb-8079-339338e831be","20191205T03:20:53.939+0000","","f97ada11-d0f8-40b2-94f8-080b77ec35a9","Trouessart, E.L. & Mégnin, P.","1884","Sur le polymorphisme sexuel et larvaire des Sarcoptides plumicoles","1319-1321","","Comptes Rendus (Hebdomadaires) des Séances de l'Academie des Sciences. Série D. Sciences Naturelles","","","","<!--MARK--><a href='../../../../publication/2084e4f6-ac4d-4e88-95af-5e557d18e333' class='mouseoverHref'>Trouessart, E.L. & Mégnin, P. 1884. Sur le polymorphisme sexuel et larvaire des Sarcoptides plumicoles.</a> <!--MARK--><!--MARK--><a href='../../../../publication/77294646-7b61-4cee-974d-0ed045692670' class='mouseoverHref'><em>Comptes Rendus (Hebdomadaires) des Séances de l'Academie des Sciences. Série D. Sciences Naturelles</em></a> <strong>97</strong>: 1319-1321<!--MARK-->","","Article in Journal","2084e4f6-ac4d-4e88-95af-5e557d18e333","20081009T05:11:37.000+0000","77294646-7b61-4cee-974d-0ed045692670"
"","","ALLOPTIDAE","ALLOPTIDAE Gaud, 1957","","","","","","Valid Name","","Family","","Gaud","1957","Y","0a67d206-5350-44c9-ab1c-0c92bf3d90e0","20190716T23:06:39.241+0000","cf1847e9-2abe-4523-b424-7bbcfe72c82c","20210920T06:39:51.390+0000","25d947e7-db10-4eeb-8079-339338e831be","cf1847e9-2abe-4523-b424-7bbcfe72c82c","","","","","","","","","","","","","","",""
"","","Alloptinae","Alloptinae Gaud, 1957","Alloptinae","","","","","Synonym","synonym","Family","","Gaud","1957","Y","0f0b32c5-e0ca-47f9-bb29-457a94bdfb00","20190716T23:06:39.241+0000","cf1847e9-2abe-4523-b424-7bbcfe72c82c","20210920T06:39:51.390+0000","","7d311204-400d-482e-94da-5c50eef8cfab","Gaud, J.","1957","Acariens plumicoles (Analgesoidea) parasites des oiseaux du Maroc","105-136","","Bulletin de la Société des Sciences Naturelles et Physiques du Maroc","","","","<!--MARK--><a href='../../../../publication/844fee9a-1853-4b95-b87f-239b745dec88' class='mouseoverHref'>Gaud, J. 1957. Acariens plumicoles (Analgesoidea) parasites des oiseaux du Maroc.</a> <!--MARK--><!--MARK--><a href='../../../../publication/cddd9bc8-d1c5-44f4-a955-62a707e08b8a' class='mouseoverHref'><em>Bulletin de la Société des Sciences Naturelles et Physiques du Maroc</em></a> <strong>37</strong>: 105-136<!--MARK-->","","Article in Journal","844fee9a-1853-4b95-b87f-239b745dec88","20081009T05:11:37.000+0000","cddd9bc8-d1c5-44f4-a955-62a707e08b8a"
"","","Hyperpedalloptes","Hyperpedalloptes Dubinin, 1955","ALLOPTIDAE","Hyperpedalloptes","","","","Valid Name","","Genus","","Dubinin","1955","Y","5948bb66-f107-44a5-adcd-7ae5c95921eb","20190721T23:00:14.478+0000","e1fcf626-7b0e-4825-a83d-0b87aa74f071","20210920T06:39:51.390+0000","cf1847e9-2abe-4523-b424-7bbcfe72c82c","e1fcf626-7b0e-4825-a83d-0b87aa74f071","","","","","","","","","","","","","","",""
"","","Hyperpedalloptes","Hyperpedalloptes Dubinin, 1955","ALLOPTIDAE","Hyperpedalloptes","","","","Synonym","synonym","Genus","","Dubinin","1955","Y","8747658c-b1c4-4f3f-845d-699253301ef7","20190721T23:07:44.332+0000","e1fcf626-7b0e-4825-a83d-0b87aa74f071","20210920T06:39:51.390+0000","","cf87d0b9-c7f0-4901-a663-f42755a57a6e","Dubinin, V.B.","1955","New genera and species of feather mites (Analgesoidea).","248-286","","Trudy Zoologicheskogo Instituta, Akademiya Nauk SSSR","","","","<!--MARK--><a href='../../../../publication/59af9bb2-0300-46b8-88ff-96275f608040' class='mouseoverHref'>Dubinin, V.B. 1955. New genera and species of feather mites (Analgesoidea).</a> <!--MARK--><!--MARK--><a href='../../../../publication/2a1ca156-64c7-4d07-a82d-60f795213426' class='mouseoverHref'><em>Trudy Zoologicheskogo Instituta, Akademiya Nauk SSSR</em></a> <strong>18</strong>: 248-286<!--MARK-->","","Article in Journal","59af9bb2-0300-46b8-88ff-96275f608040","20190721T23:07:35.665+0000","2a1ca156-64c7-4d07-a82d-60f795213426"
"","","Nealloptes","Nealloptes Gaud & Mouchet, 1957","","Nealloptes","","","","Synonym","synonym","Genus","","Gaud & Mouchet","1957","Y","6796d857-87c4-4442-944e-1d6b81e24049","20190721T23:21:26.120+0000","e1fcf626-7b0e-4825-a83d-0b87aa74f071","20210920T06:39:51.390+0000","","c92818b7-50d1-4e43-8ae9-86915e54ce8e","Gaud, J. & Mouchet, J.","1957","Acariens plumicoles (Analgesoidea) des oiseaux du Cameroun. I. Proctophyllodidae","491-546","","Annales de Parasitologie Humaine et Comparée","","","","<!--MARK--><a href='../../../../publication/32319cd0-1c11-4cd5-8770-5b68f632b54e' class='mouseoverHref'>Gaud, J. & Mouchet, J. 1957. Acariens plumicoles (Analgesoidea) des oiseaux du Cameroun. I. Proctophyllodidae.</a> <!--MARK--><!--MARK--><a href='../../../../publication/ea816730-12e3-47dc-8f86-d252a344ac74' class='mouseoverHref'><em>Annales de Parasitologie Humaine et Comparée</em></a> <strong>32</strong>: 491-546<!--MARK-->","","Article in Journal","32319cd0-1c11-4cd5-8770-5b68f632b54e","20081009T05:11:37.000+0000","ea816730-12e3-47dc-8f86-d252a344ac74"
"","","corymbophorus","Hyperpedalloptes corymbophorus (Trouessart & Neumann, 1888)","ALLOPTIDAE","Hyperpedalloptes","","corymbophorus","","Valid Name","","Species","","Trouessart & Neumann","1888","N","e34eac96-8d5b-467f-8fb1-f88b8cc16a24","20190721T23:08:16.606+0000","e72f1a4d-0014-4699-9844-8d44befde3a6","20210920T06:39:51.390+0000","e1fcf626-7b0e-4825-a83d-0b87aa74f071","e72f1a4d-0014-4699-9844-8d44befde3a6","","","","","","","","","","","","","","",""
"","","corymbophorus","Alloptes corymbophorus Trouessart & Neumann, 1888","","Alloptes","","corymbophorus","","Synonym","synonym","Species","","Trouessart & Neumann","1888","Y","ed96dbd2-5985-45e2-979a-362bfeb65196","20190721T23:08:16.606+0000","e72f1a4d-0014-4699-9844-8d44befde3a6","20210920T06:39:51.390+0000","","76c5e5f2-11f9-42ad-8c7f-526b31d064cf","Trouessart, E.L. & Neumann, G.","1888","Diagnoses d'espèces nouvelles de Sarcoptides plumicoles (Analgesinae)","325-380 pls XXII-XXVII","","Bulletin Scientifique de la France et de la Belgique","","","","<!--MARK--><a href='../../../../publication/37227075-efc0-4e3a-9401-076be5b54c95' class='mouseoverHref'>Trouessart, E.L. & Neumann, G. 1888. Diagnoses d'espèces nouvelles de Sarcoptides plumicoles (Analgesinae).</a> <!--MARK--><!--MARK--><a href='../../../../publication/fa0471d5-134d-4df6-9617-c85ab96a3e60' class='mouseoverHref'><em>Bulletin Scientifique de la France et de la Belgique</em></a> <strong>19</strong>: 325-380 pls XXII-XXVII<!--MARK-->","","Article in Journal","37227075-efc0-4e3a-9401-076be5b54c95","20081009T05:11:37.000+0000","fa0471d5-134d-4df6-9617-c85ab96a3e60"
"","","Alloptoides","Alloptoides Gaud, 1961","ALLOPTIDAE","Alloptoides","","","","Valid Name","","Genus","","Gaud","1961","Y","cdcfa6c3-d467-4984-925e-25111095aab0","20190716T23:06:39.241+0000","7a9ec9fc-bdde-4289-b1d4-040126cd0ef8","20210920T06:39:51.390+0000","cf1847e9-2abe-4523-b424-7bbcfe72c82c","7a9ec9fc-bdde-4289-b1d4-040126cd0ef8","","","","","","","","","","","","","","",""
