"CAVS_CODE","CAAB_CODE","NAMES_VARIOUS","SCIENTIFIC_NAME","FAMILY","GENUS","SUBGENUS","SPECIES","SUBSPECIES","NAME_TYPE","NAME_SUBTYPE","RANK","QUALIFICATION","AUTHOR","YEAR","ORIG_COMBINATION","NAME_GUID","NAME_LAST_UPDATE","TAXON_GUID","TAXON_LAST_UPDATE","PARENT_TAXON_GUID","CONCEPT_GUID","PUB_PUB_AUTHOR","PUB_PUB_YEAR","PUB_PUB_TITLE","PUB_PUB_PAGES","PUB_PUB_PARENT_BOOK_TITLE","PUB_PUB_PARENT_JOURNAL_TITLE","PUB_PUB_PARENT_ARTICLE_TITLE","PUB_PUB_PUBLICATION_DATE","PUB_PUB_PUBLISHER","PUB_PUB_FORMATTED","PUB_PUB_QUALIFICATION","PUB_PUB_TYPE","PUBLICATION_GUID","PUBLICATION_LAST_UPDATE","PARENT_PUBLICATION_GUID"
"","","Arrade","Arrade Walker, 1863","EREBIDAE","Arrade","","","","Valid Name","","Genus","","Walker","1863","Y","4472537e-41e9-43d9-afbd-e48451da8b87","20200820T05:58:11.042+0000","0b711972-fb1e-4f33-8db3-ac2e7c9cfb7a","20220808T05:05:46.347+0000","fb2e7035-4e48-424f-8ba9-e87d3d0bd305","0b711972-fb1e-4f33-8db3-ac2e7c9cfb7a","","","","","","","","","","","","","","",""
"","","Arrade","Arrade Walker, 1863","","Arrade","","","","Synonym","synonym","Genus","","Walker","1863","Y","09b26ae5-8ea7-4e8e-8c37-33de828a2e5a","20200820T05:58:11.042+0000","0b711972-fb1e-4f33-8db3-ac2e7c9cfb7a","20220808T05:05:46.347+0000","","527c6195-ee2a-4a0f-8b64-5f47563eb2de","Walker, F.","1863","Crambites & Tortricites","1-286","","List of the Specimens of Lepidopterous Insects in the Collection of the British Museum","","","","<!--MARK--><a href='../../../../publication/dab9c274-672c-4ed8-9844-45970e16886d' class='mouseoverHref'>Walker, F. 1863. Crambites & Tortricites.</a> <!--MARK--><!--MARK--><a href='../../../../publication/642c8f2c-b31c-4c9f-9ca3-4c940f907155' class='mouseoverHref'><em>List of the Specimens of Lepidopterous Insects in the Collection of the British Museum</em></a> <strong>27</strong>: 1-286<!--MARK-->","","Article in Journal","dab9c274-672c-4ed8-9844-45970e16886d","20081009T05:11:37.000+0000","642c8f2c-b31c-4c9f-9ca3-4c940f907155"
"","","Madoce","Madoce Walker, 1863","","Madoce","","","","Synonym","synonym","Genus","","Walker","1863","Y","dba3647a-79bc-4ce2-9489-96a66b429541","20200820T05:58:11.042+0000","0b711972-fb1e-4f33-8db3-ac2e7c9cfb7a","20220808T05:05:46.347+0000","","","","","","","","","","","","","","","","",""
"","","Larassa","Larassa Walker, 1866","","Larassa","","","","Synonym","synonym","Genus","","Walker","1866","Y","39bd8014-eae1-48c4-bc2a-2dfd8c7c1190","20200820T05:58:11.042+0000","0b711972-fb1e-4f33-8db3-ac2e7c9cfb7a","20220808T05:05:46.347+0000","","","","","","","","","","","","","","","","",""
"","","Lophocraspedon","Lophocraspedon Hampson, 1893","","Lophocraspedon","","","","Synonym","synonym","Genus","","Hampson","1893","Y","657d9ec4-358d-413a-994c-77f75d054b67","20200820T05:58:11.042+0000","0b711972-fb1e-4f33-8db3-ac2e7c9cfb7a","20220808T05:05:46.347+0000","","","","","","","","","","","","","","","","",""
"","","cristatum","Arrade cristatum (Hampson, 1893)","EREBIDAE","Arrade","","cristatum","","Valid Name","","Species","","Hampson","1893","N","3c656586-3293-4e09-b46e-71f4f10f51e4","20200820T05:58:11.042+0000","8a2f5f88-229d-42c3-8575-3060543410c6","20220808T05:05:46.347+0000","0b711972-fb1e-4f33-8db3-ac2e7c9cfb7a","8a2f5f88-229d-42c3-8575-3060543410c6","","","","","","","","","","","","","","",""
"","","cristatum","Lophocraspedon cristatum Hampson, 1893","","Lophocraspedon","","cristatum","","Synonym","synonym","Species","","Hampson","1893","Y","69ff1679-43f1-4911-901e-537e19c4a183","20200820T05:58:11.042+0000","8a2f5f88-229d-42c3-8575-3060543410c6","20220808T05:05:46.347+0000","","49493945-3711-4bbd-9ee9-9f1c732a1fe0","Hampson, G.F.","1893","Illustrations of Typical Specimens of Lepidoptera Heterocera in the British Museum. The Macrolepidoptera Heterocera of Ceylon","v 182 pp., 20 pls","","","","","Taylor & Francis","<!--MARK--><a href='../../../../publication/c658a369-273b-43c2-8b45-be763f9056d5' class='mouseoverHref'>Hampson, G.F. 1893. <em>Illustrations of Typical Specimens of Lepidoptera Heterocera in the British Museum. The Macrolepidoptera Heterocera of Ceylon</em>. London : Taylor & Francis Vol. 9 v 182 pp., 20 pls.</a><!--MARK-->","","Book","c658a369-273b-43c2-8b45-be763f9056d5","20081009T05:11:37.000+0000",""
"","","destituta","Arrade destituta (Walker, 1865)","EREBIDAE","Arrade","","destituta","","Valid Name","","Species","","Walker","1865","N","edb6c1b6-c793-4522-a0c3-4f8ce5c1b4d2","20200820T05:58:11.042+0000","65f229c4-0c7f-47f9-9a38-74002fa463b5","20220808T05:05:46.347+0000","0b711972-fb1e-4f33-8db3-ac2e7c9cfb7a","65f229c4-0c7f-47f9-9a38-74002fa463b5","","","","","","","","","","","","","","",""
"","","destituta","Erastria destituta Walker, 1865","","Erastria","","destituta","","Synonym","synonym","Species","","Walker","1865","Y","71b11659-ca50-4049-a11a-48542e7fcc5a","20200820T05:58:11.042+0000","65f229c4-0c7f-47f9-9a38-74002fa463b5","20220808T05:05:46.347+0000","","4cd7fe90-1f45-4772-aab6-81db7466a5b7","Walker, F.","1865","Supplement 3","707-1120","","List of the Specimens of Lepidopterous Insects in the Collection of the British Museum","","","","<!--MARK--><a href='../../../../publication/a5f0020f-8e3c-4f67-b6a2-928b94a0ac94' class='mouseoverHref'>Walker, F. 1865. Supplement 3.</a> <!--MARK--><!--MARK--><a href='../../../../publication/642c8f2c-b31c-4c9f-9ca3-4c940f907155' class='mouseoverHref'><em>List of the Specimens of Lepidopterous Insects in the Collection of the British Museum</em></a> <strong>33</strong>: 707-1120<!--MARK-->","","Article in Journal","a5f0020f-8e3c-4f67-b6a2-928b94a0ac94","","642c8f2c-b31c-4c9f-9ca3-4c940f907155"
"","","erebusalis","Arrade erebusalis Walker, 1863","EREBIDAE","Arrade","","erebusalis","","Valid Name","","Species","","Walker","1863","Y","c0e6f7dd-bb91-4a51-a08f-1d935fd40072","20200820T05:58:11.042+0000","d44644cb-f81e-4dd9-a7da-c5a535f0b758","20220808T05:05:46.347+0000","0b711972-fb1e-4f33-8db3-ac2e7c9cfb7a","d44644cb-f81e-4dd9-a7da-c5a535f0b758","","","","","","","","","","","","","","",""
