"CAVS_CODE","CAAB_CODE","NAMES_VARIOUS","SCIENTIFIC_NAME","FAMILY","GENUS","SUBGENUS","SPECIES","SUBSPECIES","NAME_TYPE","NAME_SUBTYPE","RANK","QUALIFICATION","AUTHOR","YEAR","ORIG_COMBINATION","NAME_GUID","NAME_LAST_UPDATE","TAXON_GUID","TAXON_LAST_UPDATE","PARENT_TAXON_GUID","CONCEPT_GUID","PUB_PUB_AUTHOR","PUB_PUB_YEAR","PUB_PUB_TITLE","PUB_PUB_PAGES","PUB_PUB_PARENT_BOOK_TITLE","PUB_PUB_PARENT_JOURNAL_TITLE","PUB_PUB_PARENT_ARTICLE_TITLE","PUB_PUB_PUBLICATION_DATE","PUB_PUB_PUBLISHER","PUB_PUB_FORMATTED","PUB_PUB_QUALIFICATION","PUB_PUB_TYPE","PUBLICATION_GUID","PUBLICATION_LAST_UPDATE","PARENT_PUBLICATION_GUID"
"","","CRANGONOIDEA","CRANGONOIDEA Haworth, 1825","","","","","","Valid Name","","Superfamily","","Haworth","1825","Y","b586872d-f37e-46fc-9b9d-d0482e84f77c","20220504T01:21:58.041+0000","fd77a149-481f-4be5-b7ea-fa293f51b3f6","20220510T08:28:17.473+0000","b95c43ac-8125-4a42-b042-76e48ac71db0","fd77a149-481f-4be5-b7ea-fa293f51b3f6","","","","","","","","","","","","","","",""
"","","CRANGONIDAE","CRANGONIDAE Haworth, 1825","","","","","","Valid Name","","Family","","Haworth","1825","Y","8bceb060-8800-4ec9-a665-1824a4b233d8","20220504T01:21:58.041+0000","df658333-79ba-412c-92dd-1f3346d2e936","20220510T08:28:17.473+0000","fd77a149-481f-4be5-b7ea-fa293f51b3f6","df658333-79ba-412c-92dd-1f3346d2e936","","","","","","","","","","","","","","",""
"","","Crangonidae","Crangonidae Haworth, 1825","Crangonidae","","","","","Synonym","synonym","Family","name, as Crangonidae White, 1847, placed on the Official List of Family-Group Names in Zoology, see International Commission on Zoological Nomenclature 1955. Opinion 334. Validation, under the Plenary Powers, of the generic names <I>Crangon</I> Fabricius, 1798, and <I>Alpheus</I> Fabricius, 1798 (Class Crustacea, Order Decapoda). <em>Opinions and Declarations rendered by the International Commission on Zoological Nomenclature</em> <strong>10</strong>: 1-44, but corrected in 1987, in Official Lists: 11","Haworth","1825","Y","27d3fc13-afb4-4a93-9d95-0e5dead0a4ca","20220504T01:21:58.041+0000","df658333-79ba-412c-92dd-1f3346d2e936","20220510T08:28:17.473+0000","","14723ae5-7235-4984-b42d-08136e04ab14","Haworth, A.H.","1825","A new binary arrangement of the macrurus Crustacea","183-184","","Philosophical Magazine and Journal","","","","<!--MARK--><a href='null9c96911b-eda0-45eb-a042-4e2515ce3aac' class='mouseoverHref'>Haworth, A.H. 1825. A new binary arrangement of the macrurus Crustacea.</a> <!--MARK--><!--MARK--><a href='nullc740616d-59bf-4f3c-9bf5-a6bad76f8652' class='mouseoverHref'><em>Philosophical Magazine and Journal</em></a> <strong>65</strong>: 183-184<!--MARK-->","","Article in Journal","9c96911b-eda0-45eb-a042-4e2515ce3aac","20081009T05:11:37.000+0000","c740616d-59bf-4f3c-9bf5-a6bad76f8652"
"","","Pontocaridinae","Pontocaridinae Christofferson, 1988","Pontocaridinae","","","","","Synonym","synonym","Family","","Christofferson","1988","Y","3489a74f-522b-4bf3-b979-b8fdb5ff17de","20220504T01:21:58.041+0000","df658333-79ba-412c-92dd-1f3346d2e936","20220510T08:28:17.473+0000","","40b38c54-199c-4c3e-b85f-52c2559a3404","Christofferson, M.L.","1988","Genealogy and phylogenetic classification of the world Crangonidae (Crustacea, Caridea), with a new species and new records of the south western Atlantic","43-59, illustrated","","Revista Nordestina de Biologia","","","","<!--MARK--><a href='nullb3f362bf-5d27-433b-8c40-214d5997e4b8' class='mouseoverHref'>Christofferson, M.L. 1988. Genealogy and phylogenetic classification of the world Crangonidae (Crustacea, Caridea), with a new species and new records of the south western Atlantic.</a> <!--MARK--><!--MARK--><a href='null9b00a9c0-9b90-46b1-9ff9-4062440f6a90' class='mouseoverHref'><em>Revista Nordestina de Biologia</em></a> <strong>6</strong>(1): 43-59, illustrated<!--MARK-->","","Article in Journal","b3f362bf-5d27-433b-8c40-214d5997e4b8","20081009T05:11:37.000+0000","9b00a9c0-9b90-46b1-9ff9-4062440f6a90"
"","","Philocherinae","Philocherinae Christofferson, 1988","Philocherinae","","","","","Synonym","synonym","Family","","Christofferson","1988","Y","70235464-637f-42de-8afc-3f53f26195df","20220504T01:21:58.041+0000","df658333-79ba-412c-92dd-1f3346d2e936","20220510T08:28:17.473+0000","","f2313688-e77e-41d8-a46f-7ca3d69808a6","Christofferson, M.L.","1988","Genealogy and phylogenetic classification of the world Crangonidae (Crustacea, Caridea), with a new species and new records of the south western Atlantic","43-59, illustrated","","Revista Nordestina de Biologia","","","","<!--MARK--><a href='nullb3f362bf-5d27-433b-8c40-214d5997e4b8' class='mouseoverHref'>Christofferson, M.L. 1988. Genealogy and phylogenetic classification of the world Crangonidae (Crustacea, Caridea), with a new species and new records of the south western Atlantic.</a> <!--MARK--><!--MARK--><a href='null9b00a9c0-9b90-46b1-9ff9-4062440f6a90' class='mouseoverHref'><em>Revista Nordestina de Biologia</em></a> <strong>6</strong>(1): 43-59, illustrated<!--MARK-->","","Article in Journal","b3f362bf-5d27-433b-8c40-214d5997e4b8","20081009T05:11:37.000+0000","9b00a9c0-9b90-46b1-9ff9-4062440f6a90"
"","","Pontophilinae","Pontophilinae Christofferson, 1988","Pontophilinae","","","","","Synonym","synonym","Family","","Christofferson","1988","Y","b11e49b1-aa29-4cfe-b55e-44cfa324606b","20220504T01:21:58.041+0000","df658333-79ba-412c-92dd-1f3346d2e936","20220510T08:28:17.473+0000","","bebc13a8-0040-40a5-a76e-3a449058ac26","Christofferson, M.L.","1988","Genealogy and phylogenetic classification of the world Crangonidae (Crustacea, Caridea), with a new species and new records of the south western Atlantic","43-59, illustrated","","Revista Nordestina de Biologia","","","","<!--MARK--><a href='nullb3f362bf-5d27-433b-8c40-214d5997e4b8' class='mouseoverHref'>Christofferson, M.L. 1988. Genealogy and phylogenetic classification of the world Crangonidae (Crustacea, Caridea), with a new species and new records of the south western Atlantic.</a> <!--MARK--><!--MARK--><a href='null9b00a9c0-9b90-46b1-9ff9-4062440f6a90' class='mouseoverHref'><em>Revista Nordestina de Biologia</em></a> <strong>6</strong>(1): 43-59, illustrated<!--MARK-->","","Article in Journal","b3f362bf-5d27-433b-8c40-214d5997e4b8","20081009T05:11:37.000+0000","9b00a9c0-9b90-46b1-9ff9-4062440f6a90"
"","","Paracrangonidae","Paracrangonidae Christofferson, 1988","Paracrangonidae","","","","","Synonym","synonym","Family","","Christofferson","1988","Y","86deef91-dbe5-49f8-b747-1ca0f323a467","20220504T01:21:58.041+0000","df658333-79ba-412c-92dd-1f3346d2e936","20220510T08:28:17.473+0000","","657e9bec-9802-47f1-9b77-23bcdb8ca80d","Christofferson, M.L.","1988","Genealogy and phylogenetic classification of the world Crangonidae (Crustacea, Caridea), with a new species and new records of the south western Atlantic","43-59, illustrated","","Revista Nordestina de Biologia","","","","<!--MARK--><a href='nullb3f362bf-5d27-433b-8c40-214d5997e4b8' class='mouseoverHref'>Christofferson, M.L. 1988. Genealogy and phylogenetic classification of the world Crangonidae (Crustacea, Caridea), with a new species and new records of the south western Atlantic.</a> <!--MARK--><!--MARK--><a href='null9b00a9c0-9b90-46b1-9ff9-4062440f6a90' class='mouseoverHref'><em>Revista Nordestina de Biologia</em></a> <strong>6</strong>(1): 43-59, illustrated<!--MARK-->","","Article in Journal","b3f362bf-5d27-433b-8c40-214d5997e4b8","20081009T05:11:37.000+0000","9b00a9c0-9b90-46b1-9ff9-4062440f6a90"
"","","Parapontocaris","Parapontocaris Alcock, 1901","CRANGONIDAE","Parapontocaris","","","","Valid Name","","Genus","","Alcock","1901","Y","f420d7c8-aabb-43cf-b4dd-c044e546434d","20220504T01:21:58.041+0000","25fc755e-c629-4dd3-b554-ae123ac9fe12","20220510T08:28:17.473+0000","df658333-79ba-412c-92dd-1f3346d2e936","25fc755e-c629-4dd3-b554-ae123ac9fe12","","","","","","","","","","","","","","",""
"","","Parapontocaris","Parapontocaris Alcock, 1901","CRANGONIDAE","Parapontocaris","","","","Synonym","synonym","Genus","","Alcock","1901","Y","cac8cb6d-17f8-4a9e-b753-337692d14b36","20220504T01:21:58.041+0000","25fc755e-c629-4dd3-b554-ae123ac9fe12","20220510T08:28:17.473+0000","","4ca0cfb0-3e87-4f51-b555-068ed881c2f1","Alcock, A.","1901","A Descriptive Catalogue of the Indian Deep-sea Crustacea Decapoda Macrura and Anomura in the Indian Museum<i>. Being a revised account of the deep-sea species collected by the Royal Indian marine survey ship Investigator</i>","286 pp. 3 pls","","","","","Indian Museum","<!--MARK--><a href='nullb694fd3b-06f4-49e7-a886-e2f460cecc6c' class='mouseoverHref'>Alcock, A. 1901. <em>A Descriptive Catalogue of the Indian Deep-sea Crustacea Decapoda Macrura and Anomura in the Indian Museum<i>. Being a revised account of the deep-sea species collected by the Royal Indian marine survey ship Investigator</i></em>. Calcutta : Indian Museum Vol. 4 286 pp. 3 pls.</a><!--MARK-->","","Book","b694fd3b-06f4-49e7-a886-e2f460cecc6c","20120222T20:40:51.443+0000",""
"","","levigata","Parapontocaris levigata Chace, 1984","CRANGONIDAE","Parapontocaris","","levigata","","Valid Name","","Species","","Chace","1984","Y","1b017bf8-e1de-495e-86c5-085fdf07eb5f","20220504T01:21:58.041+0000","b3ebc6b1-ae56-4b78-b780-5ff47952d1d7","20220510T08:28:17.473+0000","25fc755e-c629-4dd3-b554-ae123ac9fe12","b3ebc6b1-ae56-4b78-b780-5ff47952d1d7","","","","","","","","","","","","","","",""
