"CAVS_CODE","CAAB_CODE","NAMES_VARIOUS","SCIENTIFIC_NAME","FAMILY","GENUS","SUBGENUS","SPECIES","SUBSPECIES","NAME_TYPE","NAME_SUBTYPE","RANK","QUALIFICATION","AUTHOR","YEAR","ORIG_COMBINATION","NAME_GUID","NAME_LAST_UPDATE","TAXON_GUID","TAXON_LAST_UPDATE","PARENT_TAXON_GUID","CONCEPT_GUID","PUB_PUB_AUTHOR","PUB_PUB_YEAR","PUB_PUB_TITLE","PUB_PUB_PAGES","PUB_PUB_PARENT_BOOK_TITLE","PUB_PUB_PARENT_JOURNAL_TITLE","PUB_PUB_PARENT_ARTICLE_TITLE","PUB_PUB_PUBLICATION_DATE","PUB_PUB_PUBLISHER","PUB_PUB_FORMATTED","PUB_PUB_QUALIFICATION","PUB_PUB_TYPE","PUBLICATION_GUID","PUBLICATION_LAST_UPDATE","PARENT_PUBLICATION_GUID"
"","","CUCUJIDAE","CUCUJIDAE","","","","","","Valid Name","","Family","","","","Y","a88fedca-1ddf-4927-9589-70303b31af78","20210610T23:46:33.837+0000","4429200c-567b-410d-a6ba-e2a2864161f8","20210804T05:38:27.173+0000","c1b07a2e-53da-4ce9-9b3c-2327fc3395b8","4429200c-567b-410d-a6ba-e2a2864161f8","","","","","","","","","","","","","","",""
"","","Pediacus","Pediacus Shuckard, 1839","CUCUJIDAE","Pediacus","","","","Valid Name","","Genus","","Shuckard","1839","Y","3d552a6b-6904-4650-bceb-c1797e452d2e","20210610T23:46:33.837+0000","66345da7-d48f-4f5b-ba0d-36af05f5da41","20210804T05:38:27.173+0000","4429200c-567b-410d-a6ba-e2a2864161f8","66345da7-d48f-4f5b-ba0d-36af05f5da41","","","","","","","","","","","","","","",""
"","","Pediacus","Pediacus Shuckard, 1839","CUCUJIDAE","Pediacus","","","","Synonym","synonym","Genus","","Shuckard","1839","Y","17118d2f-697a-4cd1-87c5-757b26e32ad4","20210610T23:46:33.837+0000","66345da7-d48f-4f5b-ba0d-36af05f5da41","20210804T05:38:27.173+0000","","7e0b02ab-fe63-4e48-8305-fb6470ffeb90","Shuckard, W.E.","1839","Elements of British entomology: containing a general introduction ... Part I","240 pp.","","","","","Bailliere","<!--MARK--><a href='nullbd6f1fd5-4c98-4e9d-ac35-3fe0855529e4' class='mouseoverHref'>Shuckard, W.E. 1839. <em>Elements of British entomology: containing a general introduction ... Part I</em>. London : Bailliere 240 pp.</a><!--MARK-->","","Book","bd6f1fd5-4c98-4e9d-ac35-3fe0855529e4","20110214T22:14:49.111+0000",""
"","","australis","Pediacus australis Marris & ?lipi?ski, 2014","CUCUJIDAE","Pediacus","","australis","","Valid Name","","Species","","Marris & ?lipi?ski","2014","Y","f8ac7f70-3976-49df-a41d-533d17a3104f","20210610T23:46:33.837+0000","13e14bfc-fd8b-4eb2-acf9-c1993ba7b948","20210804T05:38:27.173+0000","66345da7-d48f-4f5b-ba0d-36af05f5da41","13e14bfc-fd8b-4eb2-acf9-c1993ba7b948","","","","","","","","","","","","","","",""
"","","australis","Pediacus australis Marris & ?lipi?ski, 2014","CUCUJIDAE","Pediacus","","australis","","Synonym","synonym","Species","","Marris & ?lipi?ski","2014","Y","f7f921d7-9472-4503-a6b5-4436b4bb0b9f","20210610T23:46:33.837+0000","13e14bfc-fd8b-4eb2-acf9-c1993ba7b948","20210804T05:38:27.173+0000","","27084009-4803-4dc7-8ea4-ac7b2d3d9e3e","Marris, J.W.M. & ?lipi?ski, A.","2014","A revision of the <i>Pediacus</i> Shuckard 1839 (Coleoptera: Cucujidae) of Asia and Australasia","32-58","","Zootaxa","","","","<!--MARK--><a href='null3c77eed4-c04a-4323-ad6a-c7bcba9ff8b8' class='mouseoverHref'>Marris, J.W.M. & ?lipi?ski, A. 2014. A revision of the <i>Pediacus</i> Shuckard 1839 (Coleoptera: Cucujidae) of Asia and Australasia.</a> <!--MARK--><!--MARK--><a href='null96466227-221c-4922-ac97-1ac2dd946d0a' class='mouseoverHref'><em>Zootaxa</em></a> <strong>3754</strong>(1): 32-58<!--MARK-->","","Article in Journal","3c77eed4-c04a-4323-ad6a-c7bcba9ff8b8","20170706T04:20:37.279+0000","96466227-221c-4922-ac97-1ac2dd946d0a"
"","","Platisus","Platisus Erichson, 1842","CUCUJIDAE","Platisus","","","","Valid Name","","Genus","","Erichson","1842","Y","20b27b00-03aa-48f2-8a26-e7562bc2616a","20210804T05:38:27.173+0000","6470ecd5-2258-4950-ad34-9eb4975b01a8","20210804T05:38:27.173+0000","4429200c-567b-410d-a6ba-e2a2864161f8","6470ecd5-2258-4950-ad34-9eb4975b01a8","","","","","","","","","","","","","","",""
"","","Platisus","Platisus Erichson, 1842","CUCUJIDAE","Platisus","","","","Synonym","synonym","Genus","","Erichson","1842","Y","1093bf5e-6543-42da-a030-5b9995bb7e55","20210610T23:46:33.837+0000","6470ecd5-2258-4950-ad34-9eb4975b01a8","20210804T05:38:27.173+0000","","9d167e3f-e4f4-4816-af24-7e0fa12ecf03","Erichson, W.F.","1842","Beitrag zur Insecten-fauna von Vandiemensland, mit besonderer Berucksichtigung der geographischen Verbreitung der Insecten","83-287, pls 4, 5","","Archiv für Naturgeschichte","","","","<!--MARK--><a href='null2ae5a27f-fd1b-4bb9-b72e-a5997ccf96b3' class='mouseoverHref'>Erichson, W.F. 1842. Beitrag zur Insecten-fauna von Vandiemensland, mit besonderer Berucksichtigung der geographischen Verbreitung der Insecten.</a> <!--MARK--><!--MARK--><a href='nullf5b5f7c7-fc53-4502-951d-1c96b680d874' class='mouseoverHref'><em>Archiv für Naturgeschichte</em></a> <strong>8</strong>(1): 83-287, pls 4, 5<!--MARK-->","","Article in Journal","2ae5a27f-fd1b-4bb9-b72e-a5997ccf96b3","20120514T22:59:43.847+0000","f5b5f7c7-fc53-4502-951d-1c96b680d874"
"","","Ipsaphes","Ipsaphes Pascoe, 1863","","Ipsaphes","","","","Synonym","synonym","Genus","","Pascoe","1863","Y","a35b60a7-6aab-4a39-a56e-968f104659e8","20210610T23:46:33.837+0000","6470ecd5-2258-4950-ad34-9eb4975b01a8","20210804T05:38:27.173+0000","","938d3244-39e5-4c4c-a804-86db518db6c4","Pascoe, F.P.","1863","Notices of new or little-known genera and species of Coleoptera. Part IV","26-56 pls ii-iii","","Journal of Entomology","","Jan. 1863","","<!--MARK--><a href='null2d295ab9-11f2-4a20-b182-445c408e9dae' class='mouseoverHref'>Pascoe, F.P. 1863. Notices of new or little-known genera and species of Coleoptera. Part IV.</a> <!--MARK--><!--MARK--><a href='null594ca738-5ec4-4752-84d7-686b8074e352' class='mouseoverHref'><em>Journal of Entomology</em></a> <strong>2</strong>: 26-56 pls ii-iii<!--MARK--> [Date published Jan. 1863]","","Article in Journal","2d295ab9-11f2-4a20-b182-445c408e9dae","20120111T21:43:15.308+0000","594ca738-5ec4-4752-84d7-686b8074e352"
"","","vespertinus","Platisus vespertinus Marris, 2016","CUCUJIDAE","Platisus","","vespertinus","","Valid Name","","Species","","Marris","2016","Y","fe0630ca-ea11-4307-9890-26ba9c51fe98","20210610T23:46:33.837+0000","7fd14d2b-d208-4239-97d7-8a4b2f08f0f8","20210804T05:38:27.173+0000","6470ecd5-2258-4950-ad34-9eb4975b01a8","7fd14d2b-d208-4239-97d7-8a4b2f08f0f8","","","","","","","","","","","","","","",""
"","","vespertinus","Platisus vespertinus Marris, 2016","","Platisus","","vespertinus","","Synonym","synonym","Species","http://zoobank.org/urn:lsid:zoobank.org:act:6D656BA3-ADFD-438A-884F-DDE601C10AB4","Marris","2016","Y","8e6cf2e6-ad10-4d59-9fe2-ac1aef9e4bca","20210610T23:46:33.837+0000","7fd14d2b-d208-4239-97d7-8a4b2f08f0f8","20210804T05:38:27.173+0000","","a558da0c-0fcf-49de-abe2-85c246fda712","Marris, J.W.M.","2016","A revision of the flat bark beetle genus <i>Platisus</i> Erichson, 1842 (Coleoptera: Cucujidae)","","","Austral Entomology","","","","<!--MARK--><a href='null0c3a6d4a-77de-4545-99dc-3640c0ea5dbe' class='mouseoverHref'>Marris, J.W.M. 2016. A revision of the flat bark beetle genus <i>Platisus</i> Erichson, 1842 (Coleoptera: Cucujidae).</a> <!--MARK--><!--MARK--><a href='nulla3a01091-89c3-445b-a732-dbb79862123d' class='mouseoverHref'><em>Austral Entomology</em></a> <!--MARK-->","","Article in Journal","0c3a6d4a-77de-4545-99dc-3640c0ea5dbe","20170308T04:43:09.124+0000","a3a01091-89c3-445b-a732-dbb79862123d"
