"CAVS_CODE","CAAB_CODE","NAMES_VARIOUS","SCIENTIFIC_NAME","FAMILY","GENUS","SUBGENUS","SPECIES","SUBSPECIES","NAME_TYPE","NAME_SUBTYPE","RANK","QUALIFICATION","AUTHOR","YEAR","ORIG_COMBINATION","NAME_GUID","NAME_LAST_UPDATE","TAXON_GUID","TAXON_LAST_UPDATE","PARENT_TAXON_GUID","CONCEPT_GUID","PUB_PUB_AUTHOR","PUB_PUB_YEAR","PUB_PUB_TITLE","PUB_PUB_PAGES","PUB_PUB_PARENT_BOOK_TITLE","PUB_PUB_PARENT_JOURNAL_TITLE","PUB_PUB_PARENT_ARTICLE_TITLE","PUB_PUB_PUBLICATION_DATE","PUB_PUB_PUBLISHER","PUB_PUB_FORMATTED","PUB_PUB_QUALIFICATION","PUB_PUB_TYPE","PUBLICATION_GUID","PUBLICATION_LAST_UPDATE","PARENT_PUBLICATION_GUID"
"","","Corneolabiini","Corneolabiini","STAPHYLINIDAE","","","","","Valid Name","","Tribe","","","","Y","e1f1116e-ceec-485c-8e22-138e85e4897f","20220527T01:29:56.022+0000","b5d34c51-6b2b-4767-ae9e-027c4d8fc184","20220607T09:04:37.812+0000","b3c44795-d3a1-4781-bb4c-9bd2ab16a791","b5d34c51-6b2b-4767-ae9e-027c4d8fc184","","","","","","","","","","","","","","",""
"","","Metacorneolabium","Metacorneolabium Steel, 1950","STAPHYLINIDAE","Metacorneolabium","","","","Valid Name","","Genus","","Steel","1950","Y","850f31df-4a00-465b-a1ab-c95dc96f3c77","20220527T01:29:56.022+0000","c8365a4b-acc7-4a66-ab5e-6abd8e219593","20220607T09:04:37.812+0000","b5d34c51-6b2b-4767-ae9e-027c4d8fc184","c8365a4b-acc7-4a66-ab5e-6abd8e219593","","","","","","","","","","","","","","",""
"","","Metacorneolabium","Metacorneolabium Steel, 1950","","Metacorneolabium","","","","Synonym","synonym","Genus","","Steel","1950","Y","2da84e51-2065-45f4-a141-7e5f3bc70df0","20220527T01:29:56.022+0000","c8365a4b-acc7-4a66-ab5e-6abd8e219593","20220607T09:04:37.812+0000","","7bcf48db-c7ec-44e8-92e2-1c848e39a524","Steel, W.O.","1950","Notes on the Omaliinae (Col., Staphylinidae). (3) A new tribe and three new genera from New Zealand","54-64","","Entomologist's Monthly Magazine","","","","<!--MARK--><a href='null76fab684-405c-4701-b6e7-462870407dfc' class='mouseoverHref'>Steel, W.O. 1950. Notes on the Omaliinae (Col., Staphylinidae). (3) A new tribe and three new genera from New Zealand.</a> <!--MARK--><!--MARK--><a href='nullcbd5c497-64d0-4fae-97ee-22719c3ca286' class='mouseoverHref'><em>Entomologist's Monthly Magazine</em></a> <strong>86</strong>: 54-64<!--MARK-->","","Article in Journal","76fab684-405c-4701-b6e7-462870407dfc","20130129T04:15:45.458+0000","cbd5c497-64d0-4fae-97ee-22719c3ca286"
"","","alulatum","Metacorneolabium alulatum Thayer, 1985","STAPHYLINIDAE","Metacorneolabium","","alulatum","","Valid Name","","Species","","Thayer","1985","Y","cce58e64-7ed8-4bd6-bb19-f04b9d499a3e","20220527T01:29:56.022+0000","50a8d49a-d475-4ff2-87c2-1e223faf62ed","20220607T09:04:37.812+0000","c8365a4b-acc7-4a66-ab5e-6abd8e219593","50a8d49a-d475-4ff2-87c2-1e223faf62ed","","","","","","","","","","","","","","",""
"","","alulatum","Metacorneolabium alulatum Thayer, 1985","","Metacorneolabium","","alulatum","","Synonym","synonym","Species","","Thayer","1985","Y","6488fb91-9f77-4f0d-9939-98934a7dbbd0","20220527T01:29:56.022+0000","50a8d49a-d475-4ff2-87c2-1e223faf62ed","20220607T09:04:37.812+0000","","9aef56ef-9e72-4a91-8308-a6ced068dfaf","Thayer, M.K.","1985","Revision, phylogeny and biogeography of the austral genus <i>Metacorneolabium</i> Steel (Coleoptera: Staphylinidae: Omaliinae)","pp. 113-179","Taxonomy, Phylogeny and Zoogeography of Beetles and Ants. A Volume Dedicated to the Memory of Philip Jackson Darlington, Jr 1904-1983 (Series Entomologia 33)","","","","","<!--MARK--><a href='nulleb01375d-1b09-439b-a33c-4ab3e3b04842' class='mouseoverHref'>Thayer, M.K. 1985. Revision, phylogeny and biogeography of the austral genus <i>Metacorneolabium</i> Steel (Coleoptera: Staphylinidae: Omaliinae). pp. 113-179</a> <!--MARK--><em>in</em> <!--MARK--><a href='null0c90641d-e6f1-4a42-b6d1-1ee60f7c7344' class='mouseoverHref'>Ball, G.E. (ed.). <em>Taxonomy, Phylogeny and Zoogeography of Beetles and Ants. A Volume Dedicated to the Memory of Philip Jackson Darlington, Jr 1904-1983 (Series Entomologia 33)</em>. Dordrecht : Dr W. Junk.</a><!--MARK-->","","Chapter in Book","eb01375d-1b09-439b-a33c-4ab3e3b04842","20111219T04:06:27.212+0000","0c90641d-e6f1-4a42-b6d1-1ee60f7c7344"
"","","darlingtoni","Metacorneolabium darlingtoni Thayer, 1985","STAPHYLINIDAE","Metacorneolabium","","darlingtoni","","Valid Name","","Species","","Thayer","1985","Y","92088c87-576c-4a49-94b1-111b9d054b2c","20220527T01:29:56.022+0000","37fdd581-40c1-4fed-b66b-ea08e3665fe1","20220607T09:04:37.812+0000","c8365a4b-acc7-4a66-ab5e-6abd8e219593","37fdd581-40c1-4fed-b66b-ea08e3665fe1","","","","","","","","","","","","","","",""
"","","darlingtoni","Metacorneolabium darlingtoni Thayer, 1985","","Metacorneolabium","","darlingtoni","","Synonym","synonym","Species","","Thayer","1985","Y","74dfcc18-4c64-4866-83e0-a1c2a269d1bd","20220527T01:29:56.022+0000","37fdd581-40c1-4fed-b66b-ea08e3665fe1","20220607T09:04:37.812+0000","","9ea1fe22-eafb-4df6-9c25-c31d6394bd19","Thayer, M.K.","1985","Revision, phylogeny and biogeography of the austral genus <i>Metacorneolabium</i> Steel (Coleoptera: Staphylinidae: Omaliinae)","pp. 113-179","Taxonomy, Phylogeny and Zoogeography of Beetles and Ants. A Volume Dedicated to the Memory of Philip Jackson Darlington, Jr 1904-1983 (Series Entomologia 33)","","","","","<!--MARK--><a href='nulleb01375d-1b09-439b-a33c-4ab3e3b04842' class='mouseoverHref'>Thayer, M.K. 1985. Revision, phylogeny and biogeography of the austral genus <i>Metacorneolabium</i> Steel (Coleoptera: Staphylinidae: Omaliinae). pp. 113-179</a> <!--MARK--><em>in</em> <!--MARK--><a href='null0c90641d-e6f1-4a42-b6d1-1ee60f7c7344' class='mouseoverHref'>Ball, G.E. (ed.). <em>Taxonomy, Phylogeny and Zoogeography of Beetles and Ants. A Volume Dedicated to the Memory of Philip Jackson Darlington, Jr 1904-1983 (Series Entomologia 33)</em>. Dordrecht : Dr W. Junk.</a><!--MARK-->","","Chapter in Book","eb01375d-1b09-439b-a33c-4ab3e3b04842","20111219T04:06:27.212+0000","0c90641d-e6f1-4a42-b6d1-1ee60f7c7344"
"","","echidna","Metacorneolabium echidna Thayer, 1985","STAPHYLINIDAE","Metacorneolabium","","echidna","","Valid Name","","Species","","Thayer","1985","Y","83027b4f-4522-494c-8fca-0240a3cca5ca","20220527T01:29:56.022+0000","91177d58-600b-4f27-869d-20dbd098fee7","20220607T09:04:37.812+0000","c8365a4b-acc7-4a66-ab5e-6abd8e219593","91177d58-600b-4f27-869d-20dbd098fee7","","","","","","","","","","","","","","",""
"","","echidna","Metacorneolabium echidna Thayer, 1985","","Metacorneolabium","","echidna","","Synonym","synonym","Species","","Thayer","1985","Y","2252d48c-3f54-43b0-ac62-8f994159df5a","20220527T01:29:56.022+0000","91177d58-600b-4f27-869d-20dbd098fee7","20220607T09:04:37.812+0000","","c2fc79c4-ab05-4c3c-844b-105bfe568fca","Thayer, M.K.","1985","Revision, phylogeny and biogeography of the austral genus <i>Metacorneolabium</i> Steel (Coleoptera: Staphylinidae: Omaliinae)","pp. 113-179","Taxonomy, Phylogeny and Zoogeography of Beetles and Ants. A Volume Dedicated to the Memory of Philip Jackson Darlington, Jr 1904-1983 (Series Entomologia 33)","","","","","<!--MARK--><a href='nulleb01375d-1b09-439b-a33c-4ab3e3b04842' class='mouseoverHref'>Thayer, M.K. 1985. Revision, phylogeny and biogeography of the austral genus <i>Metacorneolabium</i> Steel (Coleoptera: Staphylinidae: Omaliinae). pp. 113-179</a> <!--MARK--><em>in</em> <!--MARK--><a href='null0c90641d-e6f1-4a42-b6d1-1ee60f7c7344' class='mouseoverHref'>Ball, G.E. (ed.). <em>Taxonomy, Phylogeny and Zoogeography of Beetles and Ants. A Volume Dedicated to the Memory of Philip Jackson Darlington, Jr 1904-1983 (Series Entomologia 33)</em>. Dordrecht : Dr W. Junk.</a><!--MARK-->","","Chapter in Book","eb01375d-1b09-439b-a33c-4ab3e3b04842","20111219T04:06:27.212+0000","0c90641d-e6f1-4a42-b6d1-1ee60f7c7344"
"","","logor","Metacorneolabium logor Thayer, 1985","STAPHYLINIDAE","Metacorneolabium","","logor","","Valid Name","","Species","","Thayer","1985","Y","df3c673f-4438-450e-a736-29b0d3b72a4c","20220527T01:29:56.022+0000","64ecc01e-b123-47c4-b372-29e67d20d953","20220607T09:04:37.812+0000","c8365a4b-acc7-4a66-ab5e-6abd8e219593","64ecc01e-b123-47c4-b372-29e67d20d953","","","","","","","","","","","","","","",""
