"CAVS_CODE","CAAB_CODE","NAMES_VARIOUS","SCIENTIFIC_NAME","FAMILY","GENUS","SUBGENUS","SPECIES","SUBSPECIES","NAME_TYPE","NAME_SUBTYPE","RANK","QUALIFICATION","AUTHOR","YEAR","ORIG_COMBINATION","NAME_GUID","NAME_LAST_UPDATE","TAXON_GUID","TAXON_LAST_UPDATE","PARENT_TAXON_GUID","CONCEPT_GUID","PUB_PUB_AUTHOR","PUB_PUB_YEAR","PUB_PUB_TITLE","PUB_PUB_PAGES","PUB_PUB_PARENT_BOOK_TITLE","PUB_PUB_PARENT_JOURNAL_TITLE","PUB_PUB_PARENT_ARTICLE_TITLE","PUB_PUB_PUBLICATION_DATE","PUB_PUB_PUBLISHER","PUB_PUB_FORMATTED","PUB_PUB_QUALIFICATION","PUB_PUB_TYPE","PUBLICATION_GUID","PUBLICATION_LAST_UPDATE","PARENT_PUBLICATION_GUID"
"","","EREMAEOZETOIDEA","EREMAEOZETOIDEA Piffl, 1972","","","","","","Valid Name","","Superfamily","","Piffl","1972","Y","d7240c6e-1489-4a3f-ad20-75e041a7e2b5","20190716T23:06:39.241+0000","c68ee388-5a3f-4d67-9c2b-211b92bc6445","20191205T03:20:53.939+0000","cc686a71-5976-4383-83eb-c409159a9ad6","c68ee388-5a3f-4d67-9c2b-211b92bc6445","","","","","","","","","","","","","","",""
"","","Eremaeozetidae","Eremaeozetidae Piffl, 1972","","","","","","Synonym","synonym","Superfamily","","Piffl","1972","Y","e3471ccb-5e5e-42b4-8a3c-0b040d67fb75","20190716T23:06:39.241+0000","c68ee388-5a3f-4d67-9c2b-211b92bc6445","20191205T03:20:53.939+0000","","df3643cf-f1a1-47b1-b24e-047035f3d5c0","Piffl, E.","1972","Zur systematik der Oribatiden (Acari) (Neue Oribatiden aus Nepal, Costa Rica und Brasilien ergeben eine neue Familie der Unduloribatidae und erweitern die Polypterozetidae um die Gattungen <i>Podopterotegaeus, Nodocepheus, Eremaeozetes</i> und <i>Tumerozet</i>","269-314","","Ergebnisse des Forschungsunternehmens Nepal Himalaya. Khumbu Himal","","","","<!--MARK--><a href='nulled9a875e-ddff-4830-92fc-6c3ef41d9a1d' class='mouseoverHref'>Piffl, E. 1972. Zur systematik der Oribatiden (Acari) (Neue Oribatiden aus Nepal, Costa Rica und Brasilien ergeben eine neue Familie der Unduloribatidae und erweitern die Polypterozetidae um die Gattungen <i>Podopterotegaeus, Nodocepheus, Eremaeozetes</i> und <i>Tumerozet</i>.</a> <!--MARK--><!--MARK--><a href='nulle290f36e-2553-4d0c-8c3f-dbcf4f47d175' class='mouseoverHref'><em>Ergebnisse des Forschungsunternehmens Nepal Himalaya. Khumbu Himal</em></a> <strong>4</strong>: 269-314<!--MARK-->","","Article in Journal","ed9a875e-ddff-4830-92fc-6c3ef41d9a1d","20081009T05:11:37.000+0000","e290f36e-2553-4d0c-8c3f-dbcf4f47d175"
"","","EREMAEOZETIDAE","EREMAEOZETIDAE Piffl, 1972","","","","","","Valid Name","","Family","","Piffl","1972","Y","d623eec4-6775-431e-8c5f-d0e7c94d2d62","20190716T23:06:39.241+0000","d3358b07-94f1-4a69-9804-0d606ae649cb","20210920T06:39:51.390+0000","c68ee388-5a3f-4d67-9c2b-211b92bc6445","d3358b07-94f1-4a69-9804-0d606ae649cb","","","","","","","","","","","","","","",""
"","","Eremaeozetidae","Eremaeozetidae Piffl, 1972","","","","","","Synonym","synonym","Family","","Piffl","1972","Y","39b33d46-88a2-471d-9db1-3073512b8717","20190716T23:06:39.241+0000","d3358b07-94f1-4a69-9804-0d606ae649cb","20210920T06:39:51.390+0000","","e13d9f7c-2fb8-4f2e-8178-47fcc54ec8ac","Piffl, E.","1972","Zur systematik der Oribatiden (Acari) (Neue Oribatiden aus Nepal, Costa Rica und Brasilien ergeben eine neue Familie der Unduloribatidae und erweitern die Polypterozetidae um die Gattungen <i>Podopterotegaeus, Nodocepheus, Eremaeozetes</i> und <i>Tumerozet</i>","269-314","","Ergebnisse des Forschungsunternehmens Nepal Himalaya. Khumbu Himal","","","","<!--MARK--><a href='nulled9a875e-ddff-4830-92fc-6c3ef41d9a1d' class='mouseoverHref'>Piffl, E. 1972. Zur systematik der Oribatiden (Acari) (Neue Oribatiden aus Nepal, Costa Rica und Brasilien ergeben eine neue Familie der Unduloribatidae und erweitern die Polypterozetidae um die Gattungen <i>Podopterotegaeus, Nodocepheus, Eremaeozetes</i> und <i>Tumerozet</i>.</a> <!--MARK--><!--MARK--><a href='nulle290f36e-2553-4d0c-8c3f-dbcf4f47d175' class='mouseoverHref'><em>Ergebnisse des Forschungsunternehmens Nepal Himalaya. Khumbu Himal</em></a> <strong>4</strong>: 269-314<!--MARK-->","","Article in Journal","ed9a875e-ddff-4830-92fc-6c3ef41d9a1d","20081009T05:11:37.000+0000","e290f36e-2553-4d0c-8c3f-dbcf4f47d175"
"","","Eremaeozetes","Eremaeozetes Berlese, 1913","EREMAEOZETIDAE","Eremaeozetes","","","","Valid Name","","Genus","","Berlese","1913","Y","78bcd909-e3f4-472f-92c9-c1c5e49c780c","20190716T23:06:39.241+0000","fc328715-9513-42a2-8060-3e743a168660","20210920T06:39:51.390+0000","d3358b07-94f1-4a69-9804-0d606ae649cb","fc328715-9513-42a2-8060-3e743a168660","","","","","","","","","","","","","","",""
"","","Eremaeozetes","Eremaeozetes Berlese, 1913","","Eremaeozetes","","","","Synonym","synonym","Genus","","Berlese","1913","Y","f8e69ddf-cf59-4f0f-831d-a93094d80ea1","20190716T23:06:39.241+0000","fc328715-9513-42a2-8060-3e743a168660","20210920T06:39:51.390+0000","","1bad5751-f43a-481d-856e-d125547df49d","Berlese, A.","1913","Acari nuovi. Manipoli VII-VIII","77-111 pls I-VIII","","Redia. Giornale di entomologia, Firenze","","","","<!--MARK--><a href='null90b09984-20e9-495e-a16b-96382cd79db9' class='mouseoverHref'>Berlese, A. 1913. Acari nuovi. Manipoli VII-VIII.</a> <!--MARK--><!--MARK--><a href='null116966a8-7c23-4f72-a4e3-de1b7b90f1ca' class='mouseoverHref'><em>Redia. Giornale di entomologia, Firenze</em></a> <strong>9</strong>: 77-111 pls I-VIII<!--MARK-->","","Article in Journal","90b09984-20e9-495e-a16b-96382cd79db9","20081009T05:11:37.000+0000","116966a8-7c23-4f72-a4e3-de1b7b90f1ca"
"","","malleensis","Eremaeozetes malleensis Colloff, 2012","EREMAEOZETIDAE","Eremaeozetes","","malleensis","","Valid Name","","Species","","Colloff","2012","Y","0925ee2a-d0d1-427f-ae9e-5ef0847aa95a","20190716T23:06:39.241+0000","f2301927-bcb1-478b-9c2d-01b565bdb8a2","20210920T06:39:51.390+0000","fc328715-9513-42a2-8060-3e743a168660","f2301927-bcb1-478b-9c2d-01b565bdb8a2","","","","","","","","","","","","","","",""
"","","malleensis","Eremaeozetes malleensis Colloff, 2012","","Eremaeozetes","","malleensis","","Synonym","synonym","Species","","Colloff","2012","Y","844ec1b5-bfd2-42c1-8212-fc894c20fe5b","20190716T23:06:39.241+0000","f2301927-bcb1-478b-9c2d-01b565bdb8a2","20210920T06:39:51.390+0000","","58bb5fb4-f602-478d-b2cf-09f07093a375","Colloff, M.J.","2012","New eremaeozetid mites (Acari: Oribatida: Eremaeozetoidea) from the south-western Pacific region and the taxonomic status of the Eremaeozetidae and Idiozetidae.","1-39","","Zootaxa","","","","<!--MARK--><a href='null2ac452ad-a28c-426d-b242-48d11fd6ff60' class='mouseoverHref'>Colloff, M.J. 2012. New eremaeozetid mites (Acari: Oribatida: Eremaeozetoidea) from the south-western Pacific region and the taxonomic status of the Eremaeozetidae and Idiozetidae.</a> <!--MARK--><!--MARK--><a href='null96466227-221c-4922-ac97-1ac2dd946d0a' class='mouseoverHref'><em>Zootaxa</em></a> <strong>3435</strong>: 1-39<!--MARK-->","","Article in Journal","2ac452ad-a28c-426d-b242-48d11fd6ff60","20130506T04:24:20.564+0000","96466227-221c-4922-ac97-1ac2dd946d0a"
"","","darwinensis","Eremaeozetes darwinensis Colloff, 2012","EREMAEOZETIDAE","Eremaeozetes","","darwinensis","","Valid Name","","Species","","Colloff","2012","Y","65b8a0d1-0f48-4cc6-b969-395e5b80884c","20190716T23:06:39.241+0000","b3400421-516b-4a27-9855-dbc20eb0213d","20210920T06:39:51.390+0000","fc328715-9513-42a2-8060-3e743a168660","b3400421-516b-4a27-9855-dbc20eb0213d","","","","","","","","","","","","","","",""
"","","darwinensis","Eremaeozetes darwinensis Colloff, 2012","","Eremaeozetes","","darwinensis","","Synonym","synonym","Species","","Colloff","2012","Y","0c7d939d-44b9-4cb8-a997-61991fe90be9","20190716T23:06:39.241+0000","b3400421-516b-4a27-9855-dbc20eb0213d","20210920T06:39:51.390+0000","","e33756a4-c2ea-4a02-bf9d-b2458111a288","Colloff, M.J.","2012","New eremaeozetid mites (Acari: Oribatida: Eremaeozetoidea) from the south-western Pacific region and the taxonomic status of the Eremaeozetidae and Idiozetidae.","1-39","","Zootaxa","","","","<!--MARK--><a href='null2ac452ad-a28c-426d-b242-48d11fd6ff60' class='mouseoverHref'>Colloff, M.J. 2012. New eremaeozetid mites (Acari: Oribatida: Eremaeozetoidea) from the south-western Pacific region and the taxonomic status of the Eremaeozetidae and Idiozetidae.</a> <!--MARK--><!--MARK--><a href='null96466227-221c-4922-ac97-1ac2dd946d0a' class='mouseoverHref'><em>Zootaxa</em></a> <strong>3435</strong>: 1-39<!--MARK-->","","Article in Journal","2ac452ad-a28c-426d-b242-48d11fd6ff60","20130506T04:24:20.564+0000","96466227-221c-4922-ac97-1ac2dd946d0a"
