"CAVS_CODE","CAAB_CODE","NAMES_VARIOUS","SCIENTIFIC_NAME","FAMILY","GENUS","SUBGENUS","SPECIES","SUBSPECIES","NAME_TYPE","NAME_SUBTYPE","RANK","QUALIFICATION","AUTHOR","YEAR","ORIG_COMBINATION","NAME_GUID","NAME_LAST_UPDATE","TAXON_GUID","TAXON_LAST_UPDATE","PARENT_TAXON_GUID","CONCEPT_GUID","PUB_PUB_AUTHOR","PUB_PUB_YEAR","PUB_PUB_TITLE","PUB_PUB_PAGES","PUB_PUB_PARENT_BOOK_TITLE","PUB_PUB_PARENT_JOURNAL_TITLE","PUB_PUB_PARENT_ARTICLE_TITLE","PUB_PUB_PUBLICATION_DATE","PUB_PUB_PUBLISHER","PUB_PUB_FORMATTED","PUB_PUB_QUALIFICATION","PUB_PUB_TYPE","PUBLICATION_GUID","PUBLICATION_LAST_UPDATE","PARENT_PUBLICATION_GUID"
"","","HOLOGNATHIDAE","HOLOGNATHIDAE Thomson, 1904","HOLOGNATHIDAE","","","","","Valid Name","","Family","","Thomson","1904","Y","6feedb24-8bcd-4134-a09a-64305924db16","20220517T07:26:19.100+0000","7cee1e7d-8331-47cd-a621-45e7e6622dc9","20220805T05:46:39.537+0000","514b0651-344b-4c58-b8e8-5d4e3d756229","7cee1e7d-8331-47cd-a621-45e7e6622dc9","","","","","","","","","","","","","","",""
"","","Zenobianopsis","Zenobianopsis Hale, 1946","HOLOGNATHIDAE","Zenobianopsis","","","","Valid Name","","Genus","","Hale","1946","Y","a34b9600-4bb1-41b8-8103-c5c67b6f3554","20220517T07:26:19.100+0000","aab9c3e9-60c1-4c0c-b16b-27fe04eb2045","20220805T05:46:39.537+0000","7cee1e7d-8331-47cd-a621-45e7e6622dc9","aab9c3e9-60c1-4c0c-b16b-27fe04eb2045","","","","","","","","","","","","","","",""
"","","Zenobianopsis","Zenobianopsis Hale, 1946","HOLOGNATHIDAE","Zenobianopsis","","","","Synonym","synonym","Genus","","Hale","1946","Y","99945a26-4f14-4b24-87a7-4767b961460c","20220517T07:26:19.100+0000","aab9c3e9-60c1-4c0c-b16b-27fe04eb2045","20220805T05:46:39.537+0000","","56f5a9e2-6901-4a74-9d1d-4d5f12631dbe","Hale, H.M.","1946","Isopoda-Valvifera","163-212","","Report of the British, Australian and New Zealand Antarctic Research Expedition","","","","<!--MARK--><a href='null141ceceb-9805-4943-ab2e-15a8759413cc' class='mouseoverHref'>Hale, H.M. 1946. Isopoda-Valvifera.</a> <!--MARK--><!--MARK--><a href='null916bebbc-aa99-4fd2-a52b-09048c4117e4' class='mouseoverHref'><em>Report of the British, Australian and New Zealand Antarctic Research Expedition</em></a> B <strong>5</strong>: 163-212<!--MARK-->","","Article in Journal","141ceceb-9805-4943-ab2e-15a8759413cc","20081009T05:11:37.000+0000","916bebbc-aa99-4fd2-a52b-09048c4117e4"
"","","cidaris","Zenobianopsis cidaris Poore, 2012","HOLOGNATHIDAE","Zenobianopsis","","cidaris","","Valid Name","","Species","","Poore","2012","Y","b7b04df2-de99-4a95-b781-97e27d25696f","20220517T07:26:19.100+0000","59b36e95-7a29-4f1e-a194-64b18a16d8e5","20220805T05:46:39.537+0000","aab9c3e9-60c1-4c0c-b16b-27fe04eb2045","59b36e95-7a29-4f1e-a194-64b18a16d8e5","","","","","","","","","","","","","","",""
"","","cidaris","Zenobianopsis cidaris Poore, 2012","HOLOGNATHIDAE","Zenobianopsis","","cidaris","","Synonym","synonym","Species","","Poore","2012","Y","fe7cd139-4398-4c11-af8d-37adcdad1a9d","20220517T07:26:19.100+0000","59b36e95-7a29-4f1e-a194-64b18a16d8e5","20220805T05:46:39.537+0000","","fb7f82e2-3f4d-4231-8030-f833a32b51fb","Poore, G.C.B.","2012","Four new valviferan isopods from diverse tropical Australian habitats (Crustacea: Isopoda: Holognathidae and Idoteidae)","327-340","","Memoirs of Museum Victoria","","","","<!--MARK--><a href='null20003f0a-e81b-472a-a6e8-8dc459b9660e' class='mouseoverHref'>Poore, G.C.B. 2012. Four new valviferan isopods from diverse tropical Australian habitats (Crustacea: Isopoda: Holognathidae and Idoteidae).</a> <!--MARK--><!--MARK--><a href='null5c22a8d1-7456-4f8c-9384-1246ecbf15a6' class='mouseoverHref'><em>Memoirs of Museum Victoria</em></a> <strong>69</strong>: 327-340<!--MARK-->","","Article in Journal","20003f0a-e81b-472a-a6e8-8dc459b9660e","20130422T05:27:24.069+0000","5c22a8d1-7456-4f8c-9384-1246ecbf15a6"
"","","Cleantioides","Cleantioides Kensley & Kaufman, 1978","HOLOGNATHIDAE","Cleantioides","","","","Valid Name","","Genus","","Kensley & Kaufman","1978","Y","4dbd937c-74bc-4bfe-b9ac-550c0a1bada7","20220517T07:26:19.100+0000","e73f1fc4-95a9-4b09-a3a4-274619426fb1","20220805T05:46:39.537+0000","7cee1e7d-8331-47cd-a621-45e7e6622dc9","e73f1fc4-95a9-4b09-a3a4-274619426fb1","","","","","","","","","","","","","","",""
"","","Cleantioides","Cleantioides Kensley & Kaufman, 1978","","Cleantioides","","","","Synonym","synonym","Genus","","Kensley & Kaufman","1978","Y","85edd350-c1b4-4244-966a-ade71d557d60","20220517T07:26:19.100+0000","e73f1fc4-95a9-4b09-a3a4-274619426fb1","20220805T05:46:39.537+0000","","2c774992-2d54-454c-98af-3133aa55af82","Kensley, B. & Kaufman, H.W.","1978","<i>Cleantioides</i>, a new idoteid isopod genus from Baja California and Panama","658-665","","Proceedings of the Biological Society of Washington","","","","<!--MARK--><a href='null7524c593-2e8a-4c26-b989-8b09b070a58e' class='mouseoverHref'>Kensley, B. & Kaufman, H.W. 1978. <i>Cleantioides</i>, a new idoteid isopod genus from Baja California and Panama.</a> <!--MARK--><!--MARK--><a href='null4153f314-120d-40d7-987b-b5ba47399aec' class='mouseoverHref'><em>Proceedings of the Biological Society of Washington</em></a> <strong>91</strong>: 658-665<!--MARK-->","","Article in Journal","7524c593-2e8a-4c26-b989-8b09b070a58e","20081009T05:11:37.000+0000","4153f314-120d-40d7-987b-b5ba47399aec"
"","","Miratidotea","Miratidotea Kensley, 1987","","Miratidotea","","","","Synonym","synonym","Genus","","Kensley","1987","Y","7044a33e-ab20-4f6a-98c8-9e90d8ffcdf1","20220517T07:26:19.100+0000","e73f1fc4-95a9-4b09-a3a4-274619426fb1","20220805T05:46:39.537+0000","","667f1e93-1553-4ca6-a456-f4f723d2a881","Kensley, B.","1987","Further records of marine isopod crustaceans from the Caribbean","559-577","","Proceedings of the Biological Society of Washington","","","","<!--MARK--><a href='null664e79aa-63ef-4110-862c-7e9276fcd52a' class='mouseoverHref'>Kensley, B. 1987. Further records of marine isopod crustaceans from the Caribbean.</a> <!--MARK--><!--MARK--><a href='null4153f314-120d-40d7-987b-b5ba47399aec' class='mouseoverHref'><em>Proceedings of the Biological Society of Washington</em></a> <strong>100</strong>: 559-577<!--MARK-->","","Article in Journal","664e79aa-63ef-4110-862c-7e9276fcd52a","20081009T05:11:37.000+0000","4153f314-120d-40d7-987b-b5ba47399aec"
"","","carpentaria","Cleantioides carpentaria Poore, 2012","HOLOGNATHIDAE","Cleantioides","","carpentaria","","Valid Name","","Species","","Poore","2012","Y","26472ca5-b87a-4b18-8e64-2e521ea7a316","20220517T07:26:19.100+0000","c3337fc3-0552-451d-bbfa-2be492c471de","20220805T05:46:39.537+0000","e73f1fc4-95a9-4b09-a3a4-274619426fb1","c3337fc3-0552-451d-bbfa-2be492c471de","","","","","","","","","","","","","","",""
"","","carpentaria","Cleantioides carpentaria Poore, 2012","","Cleantioides","","carpentaria","","Synonym","synonym","Species","","Poore","2012","Y","866a1ab9-71c0-40b6-bcd4-f2ce63c0f3e7","20220517T07:26:19.100+0000","c3337fc3-0552-451d-bbfa-2be492c471de","20220805T05:46:39.537+0000","","a0605c05-9c18-4f53-9d66-6b8570f35829","Poore, G.C.B.","2012","Four new valviferan isopods from diverse tropical Australian habitats (Crustacea: Isopoda: Holognathidae and Idoteidae)","327-340","","Memoirs of Museum Victoria","","","","<!--MARK--><a href='null20003f0a-e81b-472a-a6e8-8dc459b9660e' class='mouseoverHref'>Poore, G.C.B. 2012. Four new valviferan isopods from diverse tropical Australian habitats (Crustacea: Isopoda: Holognathidae and Idoteidae).</a> <!--MARK--><!--MARK--><a href='null5c22a8d1-7456-4f8c-9384-1246ecbf15a6' class='mouseoverHref'><em>Memoirs of Museum Victoria</em></a> <strong>69</strong>: 327-340<!--MARK-->","","Article in Journal","20003f0a-e81b-472a-a6e8-8dc459b9660e","20130422T05:27:24.069+0000","5c22a8d1-7456-4f8c-9384-1246ecbf15a6"
