"CAVS_CODE","CAAB_CODE","NAMES_VARIOUS","SCIENTIFIC_NAME","FAMILY","GENUS","SUBGENUS","SPECIES","SUBSPECIES","NAME_TYPE","NAME_SUBTYPE","RANK","QUALIFICATION","AUTHOR","YEAR","ORIG_COMBINATION","NAME_GUID","NAME_LAST_UPDATE","TAXON_GUID","TAXON_LAST_UPDATE","PARENT_TAXON_GUID","CONCEPT_GUID","PUB_PUB_AUTHOR","PUB_PUB_YEAR","PUB_PUB_TITLE","PUB_PUB_PAGES","PUB_PUB_PARENT_BOOK_TITLE","PUB_PUB_PARENT_JOURNAL_TITLE","PUB_PUB_PARENT_ARTICLE_TITLE","PUB_PUB_PUBLICATION_DATE","PUB_PUB_PUBLISHER","PUB_PUB_FORMATTED","PUB_PUB_QUALIFICATION","PUB_PUB_TYPE","PUBLICATION_GUID","PUBLICATION_LAST_UPDATE","PARENT_PUBLICATION_GUID"
"","","INGOLFIELLOIDEA","INGOLFIELLOIDEA Hansen, 1903","","","","","","Valid Name","","Suborder","","Hansen","1903","Y","dc815d44-751a-4a15-b6c8-fe760de692d9","20220517T07:26:19.100+0000","862a0ed3-f45e-41bd-9e2e-1d7aaa9ceecd","20220805T05:46:39.537+0000","08618386-0efb-4254-a130-1a172447b2e0","862a0ed3-f45e-41bd-9e2e-1d7aaa9ceecd","","","","","","","","","","","","","","",""
"","","INGOLFIELLIDAE","INGOLFIELLIDAE Hansen, 1903","INGOLFIELLIDAE","","","","","Valid Name","","Family","","Hansen","1903","Y","ec944f6e-e94f-41a1-8cff-b364de9a9acc","20220517T07:26:19.100+0000","83dcb6f0-9535-4e76-a1d6-ae23b1d8fdad","20220805T05:46:39.537+0000","862a0ed3-f45e-41bd-9e2e-1d7aaa9ceecd","83dcb6f0-9535-4e76-a1d6-ae23b1d8fdad","","","","","","","","","","","","","","",""
"","","Ingolfiella","Ingolfiella Hansen, 1903","INGOLFIELLIDAE","Ingolfiella","","","","Valid Name","","Genus","","Hansen","1903","Y","22fb5545-597e-4a72-a830-675a1971cce9","20220517T07:26:19.100+0000","338c95fb-9ba5-440e-9966-2c73fa59272a","20220805T05:46:39.537+0000","83dcb6f0-9535-4e76-a1d6-ae23b1d8fdad","338c95fb-9ba5-440e-9966-2c73fa59272a","","","","","","","","","","","","","","",""
"","","Ingolfiella","Ingolfiella Hansen, 1903","","Ingolfiella","","","","Synonym","synonym","Genus","","Hansen","1903","Y","e4f6acde-78a1-4f82-999e-aa71255890a1","20220517T07:26:19.100+0000","338c95fb-9ba5-440e-9966-2c73fa59272a","20220805T05:46:39.537+0000","","27d19d84-406b-4c75-8599-9e0e97be42bd","Hansen, H.J.","1903","The <i>Ingolfiellidae</i>, fam.n., a new type of Amphipoda","117-133, 2 pls","","Journal of the Linnean Society of London, Zoology","","","","<!--MARK--><a href='nulldf5ffeaf-4fe9-475c-8ab0-c4b1ca322bed' class='mouseoverHref'>Hansen, H.J. 1903. The <i>Ingolfiellidae</i>, fam.n., a new type of Amphipoda.</a> <!--MARK--><!--MARK--><a href='null9da0901d-c795-4d2c-b9ad-d6a85cdf1cce' class='mouseoverHref'><em>Journal of the Linnean Society of London, Zoology</em></a> <strong>26</strong>(188): 117-133, 2 pls<!--MARK-->","","Article in Journal","df5ffeaf-4fe9-475c-8ab0-c4b1ca322bed","20081009T05:11:37.000+0000","9da0901d-c795-4d2c-b9ad-d6a85cdf1cce"
"","","quokka","Ingolfiella quokka Gallego-Martinez & Poore, 2003","INGOLFIELLIDAE","Ingolfiella","","quokka","","Valid Name","","Species","","Gallego-Martinez & Poore","2003","Y","4249e918-0806-4d0f-b652-62f01af52caa","20220517T07:26:19.100+0000","50956028-f1d1-4637-a109-dd9e30fb4d4e","20220805T05:46:39.537+0000","338c95fb-9ba5-440e-9966-2c73fa59272a","50956028-f1d1-4637-a109-dd9e30fb4d4e","","","","","","","","","","","","","","",""
"","","quokka","Ingolfiella quokka Gallego-Martinez & Poore, 2003","","Ingolfiella","","quokka","","Synonym","synonym","Species","","Gallego-Martinez & Poore","2003","Y","e7172cce-0a5b-4b72-a3c4-27724561e1ab","20220517T07:26:19.100+0000","50956028-f1d1-4637-a109-dd9e30fb4d4e","20220805T05:46:39.537+0000","","44527369-fe4c-4061-94c3-c82a5e3f5857","Gallego Martinez, S. & Poore, G.C.B.","2003","A new species of ingolfiellid amphipod (Crustacea: Amphipoda) from Western Australia","75-80","","Records of the Western Australian Museum","","","","<!--MARK--><a href='null9d28a13c-14c2-4a69-8a9c-18b52aa61c72' class='mouseoverHref'>Gallego Martinez, S. & Poore, G.C.B. 2003. A new species of ingolfiellid amphipod (Crustacea: Amphipoda) from Western Australia.</a> <!--MARK--><!--MARK--><a href='nulla2cbd1fb-97d5-493a-a1d7-c2b99709890b' class='mouseoverHref'><em>Records of the Western Australian Museum</em></a> <strong>22</strong>: 75-80<!--MARK-->","","Article in Journal","9d28a13c-14c2-4a69-8a9c-18b52aa61c72","20100517T01:53:38.801+0000","a2cbd1fb-97d5-493a-a1d7-c2b99709890b"
"","","australiana","Ingolfiella australiana Lowry & Poore, 1989","INGOLFIELLIDAE","Ingolfiella","","australiana","","Valid Name","","Species","","Lowry & Poore","1989","Y","c63491ad-1255-48f9-a955-1c41d7bbc6c9","20220517T07:26:19.100+0000","5a60ded9-f6ad-4828-8290-886dcda7e381","20220805T05:46:39.537+0000","338c95fb-9ba5-440e-9966-2c73fa59272a","5a60ded9-f6ad-4828-8290-886dcda7e381","","","","","","","","","","","","","","",""
"","","australiana","Ingolfiella australiana Lowry & Poore, 1989","","Ingolfiella","","australiana","","Synonym","synonym","Species","","Lowry & Poore","1989","Y","9ac6353f-79eb-47f5-bd52-f453e04a658f","20220517T07:26:19.100+0000","5a60ded9-f6ad-4828-8290-886dcda7e381","20220805T05:46:39.537+0000","","c42ba3da-d633-45f3-9c56-16efff642b0a","Lowry, J.K. & Poore, G.C.B.","1989","First ingolfiellids from the Southwest Pacific (Crustacea: Amphipoda) with a discussion of their systematics","933-946","","Proceedings of the Biological Society of Washington","","","","<!--MARK--><a href='null6a5b86a3-a195-4296-a1f1-79620b5b78a1' class='mouseoverHref'>Lowry, J.K. & Poore, G.C.B. 1989. First ingolfiellids from the Southwest Pacific (Crustacea: Amphipoda) with a discussion of their systematics.</a> <!--MARK--><!--MARK--><a href='null4153f314-120d-40d7-987b-b5ba47399aec' class='mouseoverHref'><em>Proceedings of the Biological Society of Washington</em></a> <strong>102</strong>(4): 933-946<!--MARK-->","","Article in Journal","6a5b86a3-a195-4296-a1f1-79620b5b78a1","20081009T05:11:37.000+0000","4153f314-120d-40d7-987b-b5ba47399aec"
"","","bassiana","Ingolfiella bassiana Lowry & Poore, 1989","INGOLFIELLIDAE","Ingolfiella","","bassiana","","Valid Name","","Species","","Lowry & Poore","1989","Y","2a664ff2-35c5-4515-98a9-3b573b6e46ea","20220517T07:26:19.100+0000","b3662a60-ae9a-45ee-b1b5-2556dc4fcb9d","20220805T05:46:39.537+0000","338c95fb-9ba5-440e-9966-2c73fa59272a","b3662a60-ae9a-45ee-b1b5-2556dc4fcb9d","","","","","","","","","","","","","","",""
"","","bassiana","Ingolfiella bassiana Lowry & Poore, 1989","","Ingolfiella","","bassiana","","Synonym","synonym","Species","","Lowry & Poore","1989","Y","86cda0d4-8dad-41e6-acc3-c7c9bbb58c4e","20220517T07:26:19.100+0000","b3662a60-ae9a-45ee-b1b5-2556dc4fcb9d","20220805T05:46:39.537+0000","","634c5871-1b95-40b0-8db5-12a8d49dc1ca","Lowry, J.K. & Poore, G.C.B.","1989","First ingolfiellids from the Southwest Pacific (Crustacea: Amphipoda) with a discussion of their systematics","933-946","","Proceedings of the Biological Society of Washington","","","","<!--MARK--><a href='null6a5b86a3-a195-4296-a1f1-79620b5b78a1' class='mouseoverHref'>Lowry, J.K. & Poore, G.C.B. 1989. First ingolfiellids from the Southwest Pacific (Crustacea: Amphipoda) with a discussion of their systematics.</a> <!--MARK--><!--MARK--><a href='null4153f314-120d-40d7-987b-b5ba47399aec' class='mouseoverHref'><em>Proceedings of the Biological Society of Washington</em></a> <strong>102</strong>(4): 933-946<!--MARK-->","","Article in Journal","6a5b86a3-a195-4296-a1f1-79620b5b78a1","20081009T05:11:37.000+0000","4153f314-120d-40d7-987b-b5ba47399aec"
