"CAVS_CODE","CAAB_CODE","NAMES_VARIOUS","SCIENTIFIC_NAME","FAMILY","GENUS","SUBGENUS","SPECIES","SUBSPECIES","NAME_TYPE","NAME_SUBTYPE","RANK","QUALIFICATION","AUTHOR","YEAR","ORIG_COMBINATION","NAME_GUID","NAME_LAST_UPDATE","TAXON_GUID","TAXON_LAST_UPDATE","PARENT_TAXON_GUID","CONCEPT_GUID","PUB_PUB_AUTHOR","PUB_PUB_YEAR","PUB_PUB_TITLE","PUB_PUB_PAGES","PUB_PUB_PARENT_BOOK_TITLE","PUB_PUB_PARENT_JOURNAL_TITLE","PUB_PUB_PARENT_ARTICLE_TITLE","PUB_PUB_PUBLICATION_DATE","PUB_PUB_PUBLISHER","PUB_PUB_FORMATTED","PUB_PUB_QUALIFICATION","PUB_PUB_TYPE","PUBLICATION_GUID","PUBLICATION_LAST_UPDATE","PARENT_PUBLICATION_GUID"
"","","LABROIDEI","LABROIDEI","","","","","","Valid Name","","Suborder","","","","Y","f169e276-899a-41b6-8c86-cd5a23dfe7f6","20170727T03:28:43.023+0000","e1e9e020-6016-4eb2-a3e5-d44f031158d9","20170727T04:09:21.978+0000","e3fda0ff-4705-4a40-8991-1dfabdadcfae","e1e9e020-6016-4eb2-a3e5-d44f031158d9","","","","","","","","","","","","","","",""
"","37384000","LABRIDAE","LABRIDAE","LABRIDAE","","","","","Valid Name","","Family","","","","Y","8c7a66b1-0daa-4ecc-b2c1-5842eb88485e","20170703T06:21:48.659+0000","7284d0c8-5041-43ab-850d-dbb487ab353f","20191112T04:07:11.323+0000","e1e9e020-6016-4eb2-a3e5-d44f031158d9","7284d0c8-5041-43ab-850d-dbb487ab353f","","","","","","","","","","","","","","",""
"","","Cales","","","","","","","Common Name","General","Family","","","","","b1008340-a9a5-4975-a77f-06349a2af3d3","20120913T07:13:04.975+0000","7284d0c8-5041-43ab-850d-dbb487ab353f","20191112T04:07:11.323+0000","","eb0d0381-5662-448a-9c76-2111e300a019","Kuiter, R.H.","1993","Coastal Fishes of South-eastern Australia","437 pp.","","","","","Crawford House Press","<!--MARK--><a href='nulld0313ee8-4b77-440f-9cba-b7a89fb90f15' class='mouseoverHref'>Kuiter, R.H. 1993. <em>Coastal Fishes of South-eastern Australia</em>. Bathurst : Crawford House Press 437 pp.</a><!--MARK-->","","Book","d0313ee8-4b77-440f-9cba-b7a89fb90f15","20081009T05:11:37.000+0000",""
"","","Rock Whitings","","","","","","","Common Name","General","Family","","","","","f33be2b4-bb7c-4175-beec-997bcee86822","20120913T07:13:04.975+0000","7284d0c8-5041-43ab-850d-dbb487ab353f","20191112T04:07:11.323+0000","","","","","","","","","","","","","","","","",""
"","","Weed Whitings","","","","","","","Common Name","General","Family","","","","","2aa834e3-6b7b-40be-bcb9-d3c84d04d823","20120913T07:13:04.975+0000","7284d0c8-5041-43ab-850d-dbb487ab353f","20191112T04:07:11.323+0000","","3368206c-382c-4d8d-8b11-c709a9fe30ac","Kuiter, R.H.","1993","Coastal Fishes of South-eastern Australia","437 pp.","","","","","Crawford House Press","<!--MARK--><a href='nulld0313ee8-4b77-440f-9cba-b7a89fb90f15' class='mouseoverHref'>Kuiter, R.H. 1993. <em>Coastal Fishes of South-eastern Australia</em>. Bathurst : Crawford House Press 437 pp.</a><!--MARK-->","","Book","d0313ee8-4b77-440f-9cba-b7a89fb90f15","20081009T05:11:37.000+0000",""
"","","Wrasses","","","","","","","Common Name","General","Family","","","","","ddaefbc5-b9c2-4c6c-94dc-04426d88d2a3","20120913T07:13:04.975+0000","7284d0c8-5041-43ab-850d-dbb487ab353f","20191112T04:07:11.323+0000","","","","","","","","","","","","","","","","",""
"","37384000","Labrinae","Labrinae","LABRIDAE","","","","","Valid Name","","Subfamily","","","","Y","cc702833-a067-43d2-93a4-6face8b9401e","20191112T04:07:11.323+0000","e65a7133-2a2c-4e93-bb5b-4bae8c3cce47","20191112T04:07:11.323+0000","7284d0c8-5041-43ab-850d-dbb487ab353f","e65a7133-2a2c-4e93-bb5b-4bae8c3cce47","","","","","","","","","","","","","","",""
"","","Cales","","","","","","","Common Name","General","Subfamily","","","","","687fdfb5-d499-46ab-8b3d-0f6be867bc55","20170627T08:04:34.765+0000","e65a7133-2a2c-4e93-bb5b-4bae8c3cce47","20191112T04:07:11.323+0000","","f8554ad8-fd55-40c4-9c10-fa86f6b889e8","Kuiter, R.H.","1993","Coastal Fishes of South-eastern Australia","437 pp.","","","","","Crawford House Press","<!--MARK--><a href='nulld0313ee8-4b77-440f-9cba-b7a89fb90f15' class='mouseoverHref'>Kuiter, R.H. 1993. <em>Coastal Fishes of South-eastern Australia</em>. Bathurst : Crawford House Press 437 pp.</a><!--MARK-->","","Book","d0313ee8-4b77-440f-9cba-b7a89fb90f15","20081009T05:11:37.000+0000",""
"","","Rock Whitings","","","","","","","Common Name","General","Subfamily","","","","","6b691ca9-b432-4bce-ba4d-f1de291261c6","20170627T08:04:34.765+0000","e65a7133-2a2c-4e93-bb5b-4bae8c3cce47","20191112T04:07:11.323+0000","","","","","","","","","","","","","","","","",""
"","","Weed Whitings","","","","","","","Common Name","General","Subfamily","","","","","829dc0af-8d03-4446-afe0-3755e2336fcd","20170627T08:04:34.765+0000","e65a7133-2a2c-4e93-bb5b-4bae8c3cce47","20191112T04:07:11.323+0000","","50c784c1-485e-4019-8b33-18d21718d3fa","Kuiter, R.H.","1993","Coastal Fishes of South-eastern Australia","437 pp.","","","","","Crawford House Press","<!--MARK--><a href='nulld0313ee8-4b77-440f-9cba-b7a89fb90f15' class='mouseoverHref'>Kuiter, R.H. 1993. <em>Coastal Fishes of South-eastern Australia</em>. Bathurst : Crawford House Press 437 pp.</a><!--MARK-->","","Book","d0313ee8-4b77-440f-9cba-b7a89fb90f15","20081009T05:11:37.000+0000",""
