"CAVS_CODE","CAAB_CODE","NAMES_VARIOUS","SCIENTIFIC_NAME","FAMILY","GENUS","SUBGENUS","SPECIES","SUBSPECIES","NAME_TYPE","NAME_SUBTYPE","RANK","QUALIFICATION","AUTHOR","YEAR","ORIG_COMBINATION","NAME_GUID","NAME_LAST_UPDATE","TAXON_GUID","TAXON_LAST_UPDATE","PARENT_TAXON_GUID","CONCEPT_GUID","PUB_PUB_AUTHOR","PUB_PUB_YEAR","PUB_PUB_TITLE","PUB_PUB_PAGES","PUB_PUB_PARENT_BOOK_TITLE","PUB_PUB_PARENT_JOURNAL_TITLE","PUB_PUB_PARENT_ARTICLE_TITLE","PUB_PUB_PUBLICATION_DATE","PUB_PUB_PUBLISHER","PUB_PUB_FORMATTED","PUB_PUB_QUALIFICATION","PUB_PUB_TYPE","PUBLICATION_GUID","PUBLICATION_LAST_UPDATE","PARENT_PUBLICATION_GUID"
"","","LIVIIDAE","LIVIIDAE","","","","","","Valid Name","","Family","","","","Y","c1075956-923e-4f92-9d15-755a917ca6b5","20141208T02:46:31.655+0000","68d65564-4857-47be-bb27-9c843f64a919","20200910T08:34:56.363+0000","3c5b4a09-968d-4561-8c0e-87d4aae9bf84","68d65564-4857-47be-bb27-9c843f64a919","","","","","","","","","","","","","","",""
"","","Euphyllurinae","Euphyllurinae","LIVIIDAE","","","","","Valid Name","","Subfamily","","","","Y","4246c861-6cd2-497a-bae8-8165eaaa9d6b","20141208T02:46:31.655+0000","021d0318-1526-4d6a-b0e3-5d28fb4d6ba8","20141208T03:12:43.849+0000","68d65564-4857-47be-bb27-9c843f64a919","021d0318-1526-4d6a-b0e3-5d28fb4d6ba8","","","","","","","","","","","","","","",""
"","","Diaphorinini","Diaphorinini","LIVIIDAE","","","","","Valid Name","","Tribe","","","","Y","c3b19501-ee77-47ac-ba4f-53b147a0d885","20141208T02:46:31.655+0000","b1e547e1-7f80-49c5-87ff-04babcf5ad10","20200910T08:34:56.363+0000","021d0318-1526-4d6a-b0e3-5d28fb4d6ba8","b1e547e1-7f80-49c5-87ff-04babcf5ad10","","","","","","","","","","","","","","",""
"","","Psyllopsis","Psyllopsis Löw, 1879","PSYLLIDAE","Psyllopsis","","","","Valid Name","","Genus","","Löw","1879","Y","9c551deb-e5cb-40ef-bbec-ea7978d639c4","20141208T02:46:31.655+0000","021c3b7f-065b-4b27-bbc8-afe4d3ae91eb","20200910T08:08:11.149+0000","b1e547e1-7f80-49c5-87ff-04babcf5ad10","021c3b7f-065b-4b27-bbc8-afe4d3ae91eb","","","","","","","","","","","","","","",""
"","","Psyllopsis","Psyllopsis Löw, 1879","","Psyllopsis","","","","Synonym","synonym","Genus","gender feminine","Löw","1879","Y","500544b7-8f99-4227-97bf-e665fc86855f","20141208T02:46:31.655+0000","021c3b7f-065b-4b27-bbc8-afe4d3ae91eb","20200910T08:08:11.149+0000","","a1a82406-ffb1-4d4b-ae24-7d4b697ed756","Löw, F.","1879","Zur Systematik der Psylloden","585-610","","Verhandlungen der Kaiserlich-Königlichen Zoologisch-Botanischen Gesellschaft in Wien","","","","<!--MARK--><a href='../../../../publication/5fee1a09-6529-485e-b2d0-1e50c3e3704f' class='mouseoverHref'>Löw, F. 1879. Zur Systematik der Psylloden.</a> <!--MARK--><!--MARK--><a href='../../../../publication/04643168-c24d-442d-a674-92644cd7d4ae' class='mouseoverHref'><em>Verhandlungen der Kaiserlich-Königlichen Zoologisch-Botanischen Gesellschaft in Wien</em></a> <strong>28</strong>: 585-610<!--MARK-->","","Article in Journal","5fee1a09-6529-485e-b2d0-1e50c3e3704f","20081009T05:11:37.000+0000","04643168-c24d-442d-a674-92644cd7d4ae"
"","","fraxini","Psyllopsis fraxini (Linnaeus, 1758)","PSYLLIDAE","Psyllopsis","","fraxini","","Valid Name","","Species","","Linnaeus","1758","N","2726d4b0-3442-4587-9866-361584438907","20211016T13:15:38.778+0000","e77f4bc9-aee3-4fec-8a82-bb51b3762684","20211016T13:15:38.778+0000","021c3b7f-065b-4b27-bbc8-afe4d3ae91eb","e77f4bc9-aee3-4fec-8a82-bb51b3762684","","","","","","","","","","","","","","",""
"","","fraxini","Chermes fraxini Linnaeus, 1758","","Chermes","","fraxini","","Synonym","synonym","Species","","Linnaeus","1758","Y","9ddb7463-4a64-4c7d-8007-ef596020a9f5","20141208T02:46:31.655+0000","e77f4bc9-aee3-4fec-8a82-bb51b3762684","20211016T13:15:38.778+0000","","e9110dcd-0806-40ab-9aba-072cf7f063d1","Linnaeus, C.","1758","Systema naturae per regna tria naturae, secundem classes, ordines, genera, species, cum characteribus, differentis, synonymis, locis. Editio decima, reformata","824","","","","","Laurentii Salvii","<!--MARK--><a href='../../../../publication/95f7aebe-acdc-4241-a7a8-403bf099042e' class='mouseoverHref'>Linnaeus, C. 1758. <em>Systema naturae per regna tria naturae, secundem classes, ordines, genera, species, cum characteribus, differentis, synonymis, locis. Editio decima, reformata</em>. Holmiae : Laurentii Salvii Tomus I 824 pp.</a><!--MARK-->","","Book","95f7aebe-acdc-4241-a7a8-403bf099042e","20171116T23:58:37.127+0000",""
"","","fraxinicola","Psyllopsis fraxinicola (Förster, 1848)","PSYLLIDAE","Psyllopsis","","fraxinicola","","Valid Name","","Species","","Förster","1848","N","5ca4ddd2-a059-41e7-ad27-261a19d515d1","20211016T13:15:38.778+0000","42121b96-1b2f-4190-b236-8adc5796b614","20211016T13:15:38.778+0000","021c3b7f-065b-4b27-bbc8-afe4d3ae91eb","42121b96-1b2f-4190-b236-8adc5796b614","","","","","","","","","","","","","","",""
"","","fraxinicola","Psylla fraxinicola Förster, 1848","","Psylla","","fraxinicola","","Synonym","synonym","Species","","Förster","1848","Y","3a899ddd-00db-46b9-8e8f-2784f522bd4e","20141208T02:46:31.655+0000","42121b96-1b2f-4190-b236-8adc5796b614","20211016T13:15:38.778+0000","","d574427a-fe4a-4bb0-9941-b4ab9b4182c5","Förster, A.","1848","Uebersicht der Gattungen und Arten in der Familie der Psylloden","65-94","","Verhandlungen des Naturhistorischen Vereins der Preussischen Rheinlande und Westfalens","","","","<!--MARK--><a href='../../../../publication/b3f9d862-77bb-4bb5-9842-814bd72a8f97' class='mouseoverHref'>Förster, A. 1848. Uebersicht der Gattungen und Arten in der Familie der Psylloden.</a> <!--MARK--><!--MARK--><a href='../../../../publication/10d2aa7b-ea13-48ea-9e2a-ef9cc86f474f' class='mouseoverHref'><em>Verhandlungen des Naturhistorischen Vereins der Preussischen Rheinlande und Westfalens</em></a> <strong>5</strong>: 65-94<!--MARK-->","","Article in Journal","b3f9d862-77bb-4bb5-9842-814bd72a8f97","20081009T05:11:37.000+0000","10d2aa7b-ea13-48ea-9e2a-ef9cc86f474f"
"","","Diaphorina","Diaphorina Löw, 1880","PSYLLIDAE","Diaphorina","","","","Valid Name","","Genus","","Löw","1880","Y","87936d78-6595-4515-9d39-3fd90c0e1e08","20141208T02:46:31.655+0000","468c50ac-8c76-4ee8-9519-35d40311a9d5","20200910T08:08:11.149+0000","b1e547e1-7f80-49c5-87ff-04babcf5ad10","468c50ac-8c76-4ee8-9519-35d40311a9d5","","","","","","","","","","","","","","",""
