"CAVS_CODE","CAAB_CODE","NAMES_VARIOUS","SCIENTIFIC_NAME","FAMILY","GENUS","SUBGENUS","SPECIES","SUBSPECIES","NAME_TYPE","NAME_SUBTYPE","RANK","QUALIFICATION","AUTHOR","YEAR","ORIG_COMBINATION","NAME_GUID","NAME_LAST_UPDATE","TAXON_GUID","TAXON_LAST_UPDATE","PARENT_TAXON_GUID","CONCEPT_GUID","PUB_PUB_AUTHOR","PUB_PUB_YEAR","PUB_PUB_TITLE","PUB_PUB_PAGES","PUB_PUB_PARENT_BOOK_TITLE","PUB_PUB_PARENT_JOURNAL_TITLE","PUB_PUB_PARENT_ARTICLE_TITLE","PUB_PUB_PUBLICATION_DATE","PUB_PUB_PUBLISHER","PUB_PUB_FORMATTED","PUB_PUB_QUALIFICATION","PUB_PUB_TYPE","PUBLICATION_GUID","PUBLICATION_LAST_UPDATE","PARENT_PUBLICATION_GUID"
"","","Listroderini","Listroderini LeConte, 1876","CURCULIONIDAE","","","","","Valid Name","","Tribe","","LeConte","1876","Y","6282034e-b9f9-40e8-9ce3-2c07a73820e1","20220606T03:24:46.885+0000","8c9d8228-8049-4e4c-9f42-7e799dd57130","20220616T08:53:57.456+0000","d99f299a-2a9d-477c-b29e-1a58d8077b41","8c9d8228-8049-4e4c-9f42-7e799dd57130","","","","","","","","","","","","","","",""
"","","Steriphus","Steriphus Erichson, 1842","CURCULIONIDAE","Steriphus","","","","Valid Name","","Genus","","Erichson","1842","Y","4befe4bf-7265-4e00-9117-87ebe23a36d8","20220606T03:24:46.885+0000","8a5ce6ca-af80-4f23-9455-c70c3b253c87","20220616T08:53:57.456+0000","8c9d8228-8049-4e4c-9f42-7e799dd57130","8a5ce6ca-af80-4f23-9455-c70c3b253c87","","","","","","","","","","","","","","",""
"","","Steriphus","Steriphus Erichson, 1842","","Steriphus","","","","Synonym","synonym","Genus","","Erichson","1842","Y","f9b37aec-9ec1-4ce9-9b14-5768202e432a","20220606T03:24:46.885+0000","8a5ce6ca-af80-4f23-9455-c70c3b253c87","20220616T08:53:57.456+0000","","96934267-8d59-4e8a-9345-eb424f620afe","Erichson, W.F.","1842","Beitrag zur Insecten-fauna von Vandiemensland, mit besonderer Berucksichtigung der geographischen Verbreitung der Insecten","83-287, pls 4, 5","","Archiv für Naturgeschichte","","","","<!--MARK--><a href='../../../../publication/2ae5a27f-fd1b-4bb9-b72e-a5997ccf96b3' class='mouseoverHref'>Erichson, W.F. 1842. Beitrag zur Insecten-fauna von Vandiemensland, mit besonderer Berucksichtigung der geographischen Verbreitung der Insecten.</a> <!--MARK--><!--MARK--><a href='../../../../publication/f5b5f7c7-fc53-4502-951d-1c96b680d874' class='mouseoverHref'><em>Archiv für Naturgeschichte</em></a> <strong>8</strong>(1): 83-287, pls 4, 5<!--MARK-->","","Article in Journal","2ae5a27f-fd1b-4bb9-b72e-a5997ccf96b3","20120514T22:59:43.847+0000","f5b5f7c7-fc53-4502-951d-1c96b680d874"
"","","Desiantha","Desiantha Pascoe, 1870","","Desiantha","","","","Synonym","subjective synonym","Genus","","Pascoe","1870","Y","93a564a2-772e-4c34-a156-178a4d0d037a","20220606T03:24:46.885+0000","8a5ce6ca-af80-4f23-9455-c70c3b253c87","20220616T08:53:57.456+0000","","12899b3c-973a-41bd-a685-742c49d7ca6e","Pascoe, F.P.","1870","Descriptions of some genera and species of Australian Curculionidae","181-209, pl. 5; 445-484, pl. 7","","Transactions of the Entomological Society of London","","","","<!--MARK--><a href='../../../../publication/5fc381a7-a6c5-40b0-8b50-9fc7553ec3bf' class='mouseoverHref'>Pascoe, F.P. 1870. Descriptions of some genera and species of Australian Curculionidae.</a> <!--MARK--><!--MARK--><a href='../../../../publication/5cf355b3-abc5-451e-9abc-ed3282d7811a' class='mouseoverHref'><em>Transactions of the Entomological Society of London</em></a> <strong>18</strong>(2): 181-209, pl. 5; 445-484, pl. 7<!--MARK-->","","Article in Journal","5fc381a7-a6c5-40b0-8b50-9fc7553ec3bf","20150316T20:32:18.762+0000","5cf355b3-abc5-451e-9abc-ed3282d7811a"
"","","Brexius","Brexius Pascoe, 1870","","Brexius","","","","Synonym","subjective synonym","Genus","","Pascoe","1870","Y","c8c863c5-68b3-4dd0-b81d-afeac2d2a5cf","20220606T03:24:46.885+0000","8a5ce6ca-af80-4f23-9455-c70c3b253c87","20220616T08:53:57.456+0000","","6da712e4-e0bb-4a81-a0d7-4385921d6baa","Pascoe, F.P.","1870","Descriptions of some genera and species of Australian Curculionidae","181-209, pl. 5; 445-484, pl. 7","","Transactions of the Entomological Society of London","","","","<!--MARK--><a href='../../../../publication/5fc381a7-a6c5-40b0-8b50-9fc7553ec3bf' class='mouseoverHref'>Pascoe, F.P. 1870. Descriptions of some genera and species of Australian Curculionidae.</a> <!--MARK--><!--MARK--><a href='../../../../publication/5cf355b3-abc5-451e-9abc-ed3282d7811a' class='mouseoverHref'><em>Transactions of the Entomological Society of London</em></a> <strong>18</strong>(2): 181-209, pl. 5; 445-484, pl. 7<!--MARK-->","","Article in Journal","5fc381a7-a6c5-40b0-8b50-9fc7553ec3bf","20150316T20:32:18.762+0000","5cf355b3-abc5-451e-9abc-ed3282d7811a"
"","","Dryopais","Dryopais Broun, 1885","","Dryopais","","","","Synonym","subjective synonym","Genus","","Broun","1885","Y","29933ea3-7b47-4500-b74a-b095eece04c8","20220606T03:24:46.885+0000","8a5ce6ca-af80-4f23-9455-c70c3b253c87","20220616T08:53:57.456+0000","","6bbd3a23-403f-4eb5-8748-28aa76c2775e","Broun, T.","1885","Abstract of paper on New Zealand Scydmaenidae.","384-387","","New Zealand Journal of Science","","31-III-1885","","<!--MARK--><a href='../../../../publication/be684ad9-fe11-4c79-affd-ca205ae3e411' class='mouseoverHref'>Broun, T. 1885. Abstract of paper on New Zealand Scydmaenidae.</a> <!--MARK--><!--MARK--><a href='../../../../publication/7ed29f42-7cc6-4afd-8b74-710847db4a17' class='mouseoverHref'><em>New Zealand Journal of Science</em></a> <strong>2</strong>(8): 384-387<!--MARK--> [Date published 31-III-1885]","","Article in Journal","be684ad9-fe11-4c79-affd-ca205ae3e411","20110829T05:51:23.458+0000","7ed29f42-7cc6-4afd-8b74-710847db4a17"
"","","Xerostygnus","Xerostygnus Broun, 1903","","Xerostygnus","","","","Synonym","subjective synonym","Genus","","Broun","1903","Y","3a877a3e-109e-4769-bb76-666c5fdf6597","20220606T03:24:46.885+0000","8a5ce6ca-af80-4f23-9455-c70c3b253c87","20220616T08:53:57.456+0000","","144cd4b3-ae65-4d7f-932e-9870f30ef687","Broun, T.","1903","Descriptions of new genera and species of New Zealand Coleoptera (Concluded).","69-86","","Annals and Magazine of Natural History","","VII-1903","","<!--MARK--><a href='../../../../publication/8f041631-514c-4747-be18-65d90d7c7aed' class='mouseoverHref'>Broun, T. 1903. Descriptions of new genera and species of New Zealand Coleoptera (Concluded).</a> <!--MARK--><!--MARK--><a href='../../../../publication/efa8de69-3a29-4a43-8ef2-cbefda205976' class='mouseoverHref'><em>Annals and Magazine of Natural History</em></a> 7 <strong>12</strong>(67): 69-86<!--MARK--> [Date published VII-1903]","","Article in Journal","8f041631-514c-4747-be18-65d90d7c7aed","20110829T06:01:17.267+0000","efa8de69-3a29-4a43-8ef2-cbefda205976"
"","","abjectus","Steriphus abjectus (Lea, 1899)","CURCULIONIDAE","Steriphus","","abjectus","","Valid Name","","Species","","Lea","1899","N","bdcf2d25-e25b-4a49-a955-6d6c2d25cf3e","20220606T03:24:46.885+0000","bcfec154-e0ae-4a7b-b7af-72b3cf1f1ebf","20220616T08:53:57.456+0000","8a5ce6ca-af80-4f23-9455-c70c3b253c87","bcfec154-e0ae-4a7b-b7af-72b3cf1f1ebf","","","","","","","","","","","","","","",""
"","","abjectus","Anorthorhinus abjectus Lea, 1899","","Anorthorhinus","","abjectus","","Synonym","synonym","Species","","Lea","1899","Y","68392b7d-39f4-41df-bfd1-7941f84d0931","20220606T03:24:46.885+0000","bcfec154-e0ae-4a7b-b7af-72b3cf1f1ebf","20220616T08:53:57.456+0000","","2b59908b-2b61-4618-b1f3-02699404c4af","Lea, A.M.","1899","Descriptions of Australian Curculionidae with notes on previously described species. Part I.","137-197","","Transactions of the Royal Society of South Australia","","","","<!--MARK--><a href='../../../../publication/94f7d011-a3ff-45bb-8d7c-d286c903158e' class='mouseoverHref'>Lea, A.M. 1899. Descriptions of Australian Curculionidae with notes on previously described species. Part I.</a> <!--MARK--><!--MARK--><a href='../../../../publication/8b48b0a3-dd7a-4aea-be0d-10a223710ebc' class='mouseoverHref'><em>Transactions of the Royal Society of South Australia</em></a> <strong>23</strong>: 137-197<!--MARK-->","","Article in Journal","94f7d011-a3ff-45bb-8d7c-d286c903158e","","8b48b0a3-dd7a-4aea-be0d-10a223710ebc"
"","","abjectus","Steriphus abjectus (Lea, 1899)","","Steriphus","","abjectus","","Generic Combination","","Species","","Lea","1899","N","857168fb-479e-4c91-b984-4405a029dca8","20220606T03:24:46.885+0000","bcfec154-e0ae-4a7b-b7af-72b3cf1f1ebf","20220616T08:53:57.456+0000","","9e3b294c-b27a-4ef6-90b5-b2f68acd8131","Pullen, K.R., Jennings, D. & Oberprieler, R.G.","2014","Annotated catalogue of Australian weevils (Coleoptera: Curculionoidea)","1-481","","Zootaxa","","","","<!--MARK--><a href='../../../../publication/6ad89c32-5a10-449f-b213-92f4917f13b4' class='mouseoverHref'>Pullen, K.R., Jennings, D. & Oberprieler, R.G. 2014. Annotated catalogue of Australian weevils (Coleoptera: Curculionoidea).</a> <!--MARK--><!--MARK--><a href='../../../../publication/96466227-221c-4922-ac97-1ac2dd946d0a' class='mouseoverHref'><em>Zootaxa</em></a> <strong>3896</strong>(1): 1-481<!--MARK-->","","Article in Journal","6ad89c32-5a10-449f-b213-92f4917f13b4","20150120T05:00:38.021+0000","96466227-221c-4922-ac97-1ac2dd946d0a"
