"CAVS_CODE","CAAB_CODE","NAMES_VARIOUS","SCIENTIFIC_NAME","FAMILY","GENUS","SUBGENUS","SPECIES","SUBSPECIES","NAME_TYPE","NAME_SUBTYPE","RANK","QUALIFICATION","AUTHOR","YEAR","ORIG_COMBINATION","NAME_GUID","NAME_LAST_UPDATE","TAXON_GUID","TAXON_LAST_UPDATE","PARENT_TAXON_GUID","CONCEPT_GUID","PUB_PUB_AUTHOR","PUB_PUB_YEAR","PUB_PUB_TITLE","PUB_PUB_PAGES","PUB_PUB_PARENT_BOOK_TITLE","PUB_PUB_PARENT_JOURNAL_TITLE","PUB_PUB_PARENT_ARTICLE_TITLE","PUB_PUB_PUBLICATION_DATE","PUB_PUB_PUBLISHER","PUB_PUB_FORMATTED","PUB_PUB_QUALIFICATION","PUB_PUB_TYPE","PUBLICATION_GUID","PUBLICATION_LAST_UPDATE","PARENT_PUBLICATION_GUID"
"","","Lithilaria","Lithilaria Rosenstock, 1885","EREBIDAE","Lithilaria","","","","Valid Name","","Genus","","Rosenstock","1885","Y","36819621-6ab1-4261-b97b-0da0d8b248dc","20200820T05:58:11.042+0000","b4868093-26ee-4d1c-ac8b-2ef10548f8be","20220808T05:05:46.347+0000","7f81417c-5f74-4674-87aa-ad63b1a8bcec","b4868093-26ee-4d1c-ac8b-2ef10548f8be","","","","","","","","","","","","","","",""
"","","Lithilaria","Lithilaria Rosenstock, 1885","","Lithilaria","","","","Synonym","synonym","Genus","","Rosenstock","1885","Y","0aacc2f9-8703-4867-a600-1795ff2a821a","20200820T05:58:11.042+0000","b4868093-26ee-4d1c-ac8b-2ef10548f8be","20220808T05:05:46.347+0000","","8cc77862-2617-4b3c-8d29-76c6dc9331da","Rosenstock, R.","1885","Notes on Australian Lepidoptera, with descriptions of new species","376-385, 421-443","","Annals and Magazine of Natural History","","","","<!--MARK--><a href='null0ce7fd7d-fdaa-4621-95c6-7768e3d6be99' class='mouseoverHref'>Rosenstock, R. 1885. Notes on Australian Lepidoptera, with descriptions of new species.</a> <!--MARK--><!--MARK--><a href='nullefa8de69-3a29-4a43-8ef2-cbefda205976' class='mouseoverHref'><em>Annals and Magazine of Natural History</em></a> 5 <strong>16</strong>: 376-385, 421-443<!--MARK-->","","Article in Journal","0ce7fd7d-fdaa-4621-95c6-7768e3d6be99","20110414T03:32:21.513+0000","efa8de69-3a29-4a43-8ef2-cbefda205976"
"","","Hyperaucha","Hyperaucha Meyrick, 1897","","Hyperaucha","","","","Synonym","synonym","Genus","","Meyrick","1897","Y","afff8d6d-7546-4a8a-9848-71c5abd0a6c6","20200820T05:58:11.042+0000","b4868093-26ee-4d1c-ac8b-2ef10548f8be","20220808T05:05:46.347+0000","","5be3a8d9-a097-4a30-85f7-5cbd8a87a386","Meyrick, E.","1897","Descriptions of new Lepidoptera from Australia and New Zealand","367-390","","Transactions of the Entomological Society of London","","","","<!--MARK--><a href='null330ae97b-7163-4875-ab85-3a81856cb546' class='mouseoverHref'>Meyrick, E. 1897. Descriptions of new Lepidoptera from Australia and New Zealand.</a> <!--MARK--><!--MARK--><a href='null5cf355b3-abc5-451e-9abc-ed3282d7811a' class='mouseoverHref'><em>Transactions of the Entomological Society of London</em></a> <strong>1897</strong>: 367-390<!--MARK-->","","Article in Journal","330ae97b-7163-4875-ab85-3a81856cb546","20081009T05:11:37.000+0000","5cf355b3-abc5-451e-9abc-ed3282d7811a"
"","","anomozancla","Lithilaria anomozancla (Turner, 1944)","EREBIDAE","Lithilaria","","anomozancla","","Valid Name","","Species","","Turner","1944","N","514ddd2d-96db-401d-a347-1e0acba8efac","20200820T05:58:11.042+0000","36ab6be2-60bf-4e3f-b959-9db842754196","20220808T05:05:46.347+0000","b4868093-26ee-4d1c-ac8b-2ef10548f8be","36ab6be2-60bf-4e3f-b959-9db842754196","","","","","","","","","","","","","","",""
"","","anomozancla","Artigisa anomozancla Turner, 1944","","Artigisa","","anomozancla","","Synonym","synonym","Species","","Turner","1944","Y","9a52f0a1-85b2-498a-9abb-52f3b982cf5c","20200820T05:58:11.042+0000","36ab6be2-60bf-4e3f-b959-9db842754196","20220808T05:05:46.347+0000","","517837ac-7bf9-43e8-811b-8f0aff6d0a4d","Turner, A.J.","1944","Studies in Australian Lepidoptera","3-17","","Transactions of the Royal Society of South Australia","","","","<!--MARK--><a href='nulla5031dee-aa28-4c1f-8b6d-9d2c3a7a16a4' class='mouseoverHref'>Turner, A.J. 1944. Studies in Australian Lepidoptera.</a> <!--MARK--><!--MARK--><a href='null8b48b0a3-dd7a-4aea-be0d-10a223710ebc' class='mouseoverHref'><em>Transactions of the Royal Society of South Australia</em></a> <strong>68</strong>: 3-17<!--MARK-->","","Article in Journal","a5031dee-aa28-4c1f-8b6d-9d2c3a7a16a4","20081009T05:11:37.000+0000","8b48b0a3-dd7a-4aea-be0d-10a223710ebc"
"","","melanostrotum","Lithilaria melanostrotum (Turner, 1906)","EREBIDAE","Lithilaria","","melanostrotum","","Valid Name","","Species","","Turner","1906","N","a49647be-13ee-4ca3-a99c-0b2ce38c954f","20200820T05:58:11.042+0000","e732bf0e-76e2-4023-aab7-7e396c4279d4","20220808T05:05:46.347+0000","b4868093-26ee-4d1c-ac8b-2ef10548f8be","e732bf0e-76e2-4023-aab7-7e396c4279d4","","","","","","","","","","","","","","",""
"","","melanostrotum","Bracharthron melanostrotum Turner, 1906","","Bracharthron","","melanostrotum","","Synonym","synonym","Species","","Turner","1906","Y","25e4052e-8fbd-4383-a7ef-11d79e3629b6","20200820T05:58:11.042+0000","e732bf0e-76e2-4023-aab7-7e396c4279d4","20220808T05:05:46.347+0000","","d319d51e-307b-4c80-a99f-471c4d80f773","Turner, A.J.","1906","New Australian Lepidoptera, with synonymic and other notes","118-142","","Transactions of the Royal Society of South Australia","","","","<!--MARK--><a href='nulla56b9378-e5e0-41ec-a256-60095b65cf00' class='mouseoverHref'>Turner, A.J. 1906. New Australian Lepidoptera, with synonymic and other notes.</a> <!--MARK--><!--MARK--><a href='null8b48b0a3-dd7a-4aea-be0d-10a223710ebc' class='mouseoverHref'><em>Transactions of the Royal Society of South Australia</em></a> <strong>30</strong>: 118-142<!--MARK-->","","Article in Journal","a56b9378-e5e0-41ec-a256-60095b65cf00","20081009T05:11:37.000+0000","8b48b0a3-dd7a-4aea-be0d-10a223710ebc"
"","","ossicolor","Lithilaria ossicolor Rosenstock, 1885","EREBIDAE","Lithilaria","","ossicolor","","Valid Name","","Species","","Rosenstock","1885","Y","c67b412c-5b89-40a5-b63e-bd7aa7d62fe5","20200820T05:58:11.042+0000","1b487284-a116-493d-9a70-e16237951fcf","20220808T05:05:46.347+0000","b4868093-26ee-4d1c-ac8b-2ef10548f8be","1b487284-a116-493d-9a70-e16237951fcf","","","","","","","","","","","","","","",""
"","","ossicolor","Lithilaria ossicolor Rosenstock, 1885","","Lithilaria","","ossicolor","","Synonym","synonym","Species","","Rosenstock","1885","Y","16cc7d0b-8b51-4046-a989-beb57b05cd97","20200820T05:58:11.042+0000","1b487284-a116-493d-9a70-e16237951fcf","20220808T05:05:46.347+0000","","39d1e84a-a673-45c8-bdc9-10c59497fdbf","Rosenstock, R.","1885","Notes on Australian Lepidoptera, with descriptions of new species","376-385, 421-443","","Annals and Magazine of Natural History","","","","<!--MARK--><a href='null0ce7fd7d-fdaa-4621-95c6-7768e3d6be99' class='mouseoverHref'>Rosenstock, R. 1885. Notes on Australian Lepidoptera, with descriptions of new species.</a> <!--MARK--><!--MARK--><a href='nullefa8de69-3a29-4a43-8ef2-cbefda205976' class='mouseoverHref'><em>Annals and Magazine of Natural History</em></a> 5 <strong>16</strong>: 376-385, 421-443<!--MARK-->","","Article in Journal","0ce7fd7d-fdaa-4621-95c6-7768e3d6be99","20110414T03:32:21.513+0000","efa8de69-3a29-4a43-8ef2-cbefda205976"
"","","multitricha","Hypoena multitricha T.P. Lucas, 1895","","Hypoena","","multitricha","","Synonym","synonym","Species","","T.P. Lucas","1895","Y","72a72c27-0ebd-4019-9220-bd51786f1092","20200820T05:58:11.042+0000","1b487284-a116-493d-9a70-e16237951fcf","20220808T05:05:46.347+0000","","","","","","","","","","","","","","","","",""
