"CAVS_CODE","CAAB_CODE","NAMES_VARIOUS","SCIENTIFIC_NAME","FAMILY","GENUS","SUBGENUS","SPECIES","SUBSPECIES","NAME_TYPE","NAME_SUBTYPE","RANK","QUALIFICATION","AUTHOR","YEAR","ORIG_COMBINATION","NAME_GUID","NAME_LAST_UPDATE","TAXON_GUID","TAXON_LAST_UPDATE","PARENT_TAXON_GUID","CONCEPT_GUID","PUB_PUB_AUTHOR","PUB_PUB_YEAR","PUB_PUB_TITLE","PUB_PUB_PAGES","PUB_PUB_PARENT_BOOK_TITLE","PUB_PUB_PARENT_JOURNAL_TITLE","PUB_PUB_PARENT_ARTICLE_TITLE","PUB_PUB_PUBLICATION_DATE","PUB_PUB_PUBLISHER","PUB_PUB_FORMATTED","PUB_PUB_QUALIFICATION","PUB_PUB_TYPE","PUBLICATION_GUID","PUBLICATION_LAST_UPDATE","PARENT_PUBLICATION_GUID"
"","","MONOPORELLOIDEA","MONOPORELLOIDEA Ostrovsky, 2013","","","","","","Valid Name","","Superfamily","","Ostrovsky","2013","Y","15c3cf00-f58b-4aac-87d7-051a94f5516e","20190711T01:13:05.826+0000","bab4a714-9a38-41a0-84dc-de676c3f2e25","20190711T04:05:54.657+0000","5ad0644f-8f42-4607-a0f0-77a799106972","bab4a714-9a38-41a0-84dc-de676c3f2e25","","","","","","","","","","","","","","",""
"","","MACROPORIDAE","MACROPORIDAE Uttley, 1949","","","","","","Valid Name","","Family","","Uttley","1949","Y","d921a5e9-a75a-4e0e-8787-d570c1437ebb","20190711T01:13:54.351+0000","f779b56f-92e4-45fb-accf-a58b22ce0653","20190711T04:05:54.657+0000","bab4a714-9a38-41a0-84dc-de676c3f2e25","f779b56f-92e4-45fb-accf-a58b22ce0653","","","","","","","","","","","","","","",""
"","","Macropora","Macropora MacGillivray, 1895","MACROPORIDAE","Macropora","","","","Valid Name","","Genus","","MacGillivray","1895","Y","512cd459-76cd-4f4a-baf6-f18896003e77","20190711T01:13:54.351+0000","4669fea2-4278-41df-ab47-f2b8186b4e22","20190711T04:05:54.657+0000","f779b56f-92e4-45fb-accf-a58b22ce0653","4669fea2-4278-41df-ab47-f2b8186b4e22","","","","","","","","","","","","","","",""
"","","Macropora","Macropora MacGillivray, 1895","MACROPORIDAE","Macropora","","","","Synonym","synonym","Genus","","MacGillivray","1895","Y","45f9df70-88ed-4354-8aea-a2fd7421a989","20190711T01:13:54.351+0000","4669fea2-4278-41df-ab47-f2b8186b4e22","20190711T04:05:54.657+0000","","2ab7ecbc-9dc7-400e-a7e5-b887ea1a27ab","Macgillivray, P.H.","1895","A monograph of the Tertiary Polyzoa of Victoria","1-166","","Transactions of the Royal Society of Victoria","","","","<!--MARK--><a href='../../../../publication/f26b5134-6a2e-402e-87dc-19ddd9dd4b27' class='mouseoverHref'>Macgillivray, P.H. 1895. A monograph of the Tertiary Polyzoa of Victoria.</a> <!--MARK--><!--MARK--><a href='../../../../publication/ab4e677f-c151-45fb-ad9a-363a77743023' class='mouseoverHref'><em>Transactions of the Royal Society of Victoria</em></a> ns <strong>4</strong>: 1-166<!--MARK-->","","Article in Journal","f26b5134-6a2e-402e-87dc-19ddd9dd4b27","","ab4e677f-c151-45fb-ad9a-363a77743023"
"","","carlosi","Macropora carlosi Gordon & Taylor, 2008","MACROPORIDAE","Macropora","","carlosi","","Valid Name","","Species","","Gordon & Taylor","2008","Y","c1605b08-d3bb-4feb-9f92-6f330b558a68","20190711T01:13:54.351+0000","211f9485-f16e-4c87-87d6-95ed579525ac","20190711T04:05:54.657+0000","4669fea2-4278-41df-ab47-f2b8186b4e22","211f9485-f16e-4c87-87d6-95ed579525ac","","","","","","","","","","","","","","",""
"","","carlosi","Macropora carlosi Gordon & Taylor, 2008","MACROPORIDAE","Macropora","","carlosi","","Synonym","synonym","Species","","Gordon & Taylor","2008","Y","0e71cd73-eca1-4dba-a105-daaed230bdb8","20190711T01:13:54.351+0000","211f9485-f16e-4c87-87d6-95ed579525ac","20190711T04:05:54.657+0000","","32f398ac-6621-484e-85fc-28ca5b27a234","Gordon, D.P. & Taylor, P.D.","2008","Systematics of the bryozoan genus <i>Macropora</i> (Cheilostomata)","115-146","","Zoological Journal of the Linnean Society","","","","<!--MARK--><a href='../../../../publication/0594b7e6-4b72-4132-a82c-ce6c4015aa97' class='mouseoverHref'>Gordon, D.P. & Taylor, P.D. 2008. Systematics of the bryozoan genus <i>Macropora</i> (Cheilostomata).</a> <!--MARK--><!--MARK--><a href='../../../../publication/e67d43a6-f920-4532-a90d-d3a5ee2662ea' class='mouseoverHref'><em>Zoological Journal of the Linnean Society</em></a> Zoological Journal of the Linnean Society <strong>153</strong>: 115-146<!--MARK-->","","Article in Journal","0594b7e6-4b72-4132-a82c-ce6c4015aa97","20110124T04:02:55.257+0000","e67d43a6-f920-4532-a90d-d3a5ee2662ea"
"","","MONOPORELLIDAE","MONOPORELLIDAE Hincks, 1882","","","","","","Valid Name","","Family","","Hincks","1882","Y","16f4fb15-e65f-4978-9e8d-a4e7bff38dc2","20190711T01:13:54.351+0000","0180b67f-b5a2-478b-9317-5c738caa41d1","20190711T04:05:54.657+0000","bab4a714-9a38-41a0-84dc-de676c3f2e25","0180b67f-b5a2-478b-9317-5c738caa41d1","","","","","","","","","","","","","","",""
"","","Monoporellidae","Monoporellidae Hincks, 1882","Monoporellidae","","","","","Synonym","synonym","Family","","Hincks","1882","Y","a408b5e5-2340-416a-bb21-4fcb7cc46443","20190711T01:13:54.351+0000","0180b67f-b5a2-478b-9317-5c738caa41d1","20190711T04:05:54.657+0000","","","","","","","","","","","","","","","","",""
"","","Monoporella","Monoporella Hincks, 1881","MONOPORELLIDAE","Monoporella","","","","Valid Name","","Genus","","Hincks","1881","Y","77e776c3-9a2a-4293-a928-a9577481ba89","20190711T01:13:54.351+0000","ecb4406a-958d-4d16-b367-60427940ba95","20190711T04:05:54.657+0000","0180b67f-b5a2-478b-9317-5c738caa41d1","ecb4406a-958d-4d16-b367-60427940ba95","","","","","","","","","","","","","","",""
"","","Monoporella","Monoporella Hincks, 1881","","Monoporella","","","","Synonym","synonym","Genus","<I>nom. nov.</I> for <I>Haploporella </I>Hincks, 1881","Hincks","1881","Y","4155aa34-a1bf-4835-b4d3-fdb3c9e4b650","20190711T01:13:54.351+0000","ecb4406a-958d-4d16-b367-60427940ba95","20190711T04:05:54.657+0000","","6051eac1-35f2-45f9-9667-c5409f7bd9e8","Hincks, T.","1881","Contributions towards a general history of the marine Polyzoa. VI. Polyzoa from Bass's Straits","1-14, 122-128","","Annals and Magazine of Natural History","","","","<!--MARK--><a href='../../../../publication/8ddb92a8-c9eb-41a8-8ca5-5c4c353966db' class='mouseoverHref'>Hincks, T. 1881. Contributions towards a general history of the marine Polyzoa. VI. Polyzoa from Bass's Straits.</a> <!--MARK--><!--MARK--><a href='../../../../publication/efa8de69-3a29-4a43-8ef2-cbefda205976' class='mouseoverHref'><em>Annals and Magazine of Natural History</em></a> 5 <strong>8</strong>: 1-14, 122-128<!--MARK-->","","Article in Journal","8ddb92a8-c9eb-41a8-8ca5-5c4c353966db","","efa8de69-3a29-4a43-8ef2-cbefda205976"
"","","Haploporella","Haploporella Hincks, 1881","","Haploporella","","","","Synonym","synonym","Genus","junior homonym of <I>TAXON</I> AUTHOR, YEAR","Hincks","1881","Y","671dc962-bf1e-4a63-860e-b33471fc2307","20190711T01:13:54.351+0000","ecb4406a-958d-4d16-b367-60427940ba95","20190711T04:05:54.657+0000","","be6201c0-8958-4b17-ac68-d86fc16189ad","Hincks, T.","1881","Contributions towards a general history of the marine Polyzoa. VI. Polyzoa from Bass's Straits","1-14, 122-128","","Annals and Magazine of Natural History","","","","<!--MARK--><a href='../../../../publication/8ddb92a8-c9eb-41a8-8ca5-5c4c353966db' class='mouseoverHref'>Hincks, T. 1881. Contributions towards a general history of the marine Polyzoa. VI. Polyzoa from Bass's Straits.</a> <!--MARK--><!--MARK--><a href='../../../../publication/efa8de69-3a29-4a43-8ef2-cbefda205976' class='mouseoverHref'><em>Annals and Magazine of Natural History</em></a> 5 <strong>8</strong>: 1-14, 122-128<!--MARK-->","","Article in Journal","8ddb92a8-c9eb-41a8-8ca5-5c4c353966db","","efa8de69-3a29-4a43-8ef2-cbefda205976"
"","","nodulifera","Monoporella nodulifera (Hincks, 1881)","MONOPORELLIDAE","Monoporella","","nodulifera","","Valid Name","","Species","","Hincks","1881","N","68bd09f0-0b4e-4c0e-b5c8-9121c79d7e15","20190711T01:13:54.351+0000","9868f8d7-87e4-423b-a4b8-a383039500cf","20190711T04:05:54.657+0000","ecb4406a-958d-4d16-b367-60427940ba95","9868f8d7-87e4-423b-a4b8-a383039500cf","","","","","","","","","","","","","","",""
"","","nodulifera","Haploporella nodulifera Hincks, 1881","","Haploporella","","nodulifera","","Synonym","synonym","Species","","Hincks","1881","Y","cc92ca27-f1c3-48a0-a957-7ccf6e08db22","20190711T01:13:54.351+0000","9868f8d7-87e4-423b-a4b8-a383039500cf","20190711T04:05:54.657+0000","","37a89373-7a78-4633-a954-16f0074496f9","Hincks, T.","1881","Contributions towards a general history of the marine Polyzoa. VI. Polyzoa from Bass's Straits","1-14, 122-128","","Annals and Magazine of Natural History","","","","<!--MARK--><a href='../../../../publication/8ddb92a8-c9eb-41a8-8ca5-5c4c353966db' class='mouseoverHref'>Hincks, T. 1881. Contributions towards a general history of the marine Polyzoa. VI. Polyzoa from Bass's Straits.</a> <!--MARK--><!--MARK--><a href='../../../../publication/efa8de69-3a29-4a43-8ef2-cbefda205976' class='mouseoverHref'><em>Annals and Magazine of Natural History</em></a> 5 <strong>8</strong>: 1-14, 122-128<!--MARK-->","","Article in Journal","8ddb92a8-c9eb-41a8-8ca5-5c4c353966db","","efa8de69-3a29-4a43-8ef2-cbefda205976"
