"CAVS_CODE","CAAB_CODE","NAMES_VARIOUS","SCIENTIFIC_NAME","FAMILY","GENUS","SUBGENUS","SPECIES","SUBSPECIES","NAME_TYPE","NAME_SUBTYPE","RANK","QUALIFICATION","AUTHOR","YEAR","ORIG_COMBINATION","NAME_GUID","NAME_LAST_UPDATE","TAXON_GUID","TAXON_LAST_UPDATE","PARENT_TAXON_GUID","CONCEPT_GUID","PUB_PUB_AUTHOR","PUB_PUB_YEAR","PUB_PUB_TITLE","PUB_PUB_PAGES","PUB_PUB_PARENT_BOOK_TITLE","PUB_PUB_PARENT_JOURNAL_TITLE","PUB_PUB_PARENT_ARTICLE_TITLE","PUB_PUB_PUBLICATION_DATE","PUB_PUB_PUBLISHER","PUB_PUB_FORMATTED","PUB_PUB_QUALIFICATION","PUB_PUB_TYPE","PUBLICATION_GUID","PUBLICATION_LAST_UPDATE","PARENT_PUBLICATION_GUID"
"","","MUNNOPSIDAE","MUNNOPSIDAE Lilljeborg, 1864","MUNNOPSIDAE","","","","","Valid Name","","Family","","Lilljeborg","1864","Y","f88d5dd0-7dab-4331-bd0e-ddefc2ead181","20220517T07:26:19.100+0000","73ca3bc3-74e5-40e3-8e86-ea20f848641d","20220805T05:46:39.537+0000","34811735-8010-4ded-aa8f-145feaeaadaa","73ca3bc3-74e5-40e3-8e86-ea20f848641d","","","","","","","","","","","","","","",""
"","","Munnopsidae","Munnopsidae Lilljeborg, 1864","","","","","","Synonym","synonym","Family","","Lilljeborg","1864","Y","9a92e101-6b11-4bb2-8e5d-fc0e5ad8aa21","20220517T07:26:19.100+0000","73ca3bc3-74e5-40e3-8e86-ea20f848641d","20220805T05:46:39.537+0000","","269f63df-ebc2-4ef5-8f44-2ec0935db3e9","Lilljeborg, W.","1864","<i>Bidrag till kaennedomen om de inom Sverige och Norrige forekommande Crustaceer af Isopodernas underordning och Tanaidernas familj</i>","32","","","","","Uppsala University","<!--MARK--><a href='null9b58c109-3936-4588-98b5-4bb902252f6f' class='mouseoverHref'>Lilljeborg, W. 1864. <em><i>Bidrag till kaennedomen om de inom Sverige och Norrige forekommande Crustaceer af Isopodernas underordning och Tanaidernas familj</i></em>. Uppsala : Uppsala University 32 pp.</a><!--MARK-->","","Book","9b58c109-3936-4588-98b5-4bb902252f6f","20081009T05:11:37.000+0000",""
"","","Nyctobadistes","Nyctobadistes Merrin, 2011","MUNNOPSIDAE","Nyctobadistes","","","","Valid Name","","Genus","","Merrin","2011","Y","81d1a6fb-5573-46e3-9986-e103624e8837","20220517T07:26:19.100+0000","d0ec41dd-a37b-49d2-bd64-f18d42770cc1","20220805T05:46:39.537+0000","73ca3bc3-74e5-40e3-8e86-ea20f848641d","d0ec41dd-a37b-49d2-bd64-f18d42770cc1","","","","","","","","","","","","","","",""
"","","Nyctobadistes","Nyctobadistes Merrin, 2011","","Nyctobadistes","","","","Synonym","synonym","Genus","","Merrin","2011","Y","0dd9d9da-5500-403f-a688-839e659aa831","20220517T07:26:19.100+0000","d0ec41dd-a37b-49d2-bd64-f18d42770cc1","20220805T05:46:39.537+0000","","63936a9b-929f-4724-a233-95d8918df91a","Merrin, K.L.","2011","<i>Nyctobadistes</i> gen. nov. (Isopoda: Asellota: Munnopsidae), a new genus from Tasmanian waters, Australia, with the description of a new species","59-65","","Zootaxa","","","","<!--MARK--><a href='null42e34b73-6e7f-4db8-8af8-0f82c1b6d4bd' class='mouseoverHref'>Merrin, K.L. 2011. <i>Nyctobadistes</i> gen. nov. (Isopoda: Asellota: Munnopsidae), a new genus from Tasmanian waters, Australia, with the description of a new species.</a> <!--MARK--><!--MARK--><a href='null96466227-221c-4922-ac97-1ac2dd946d0a' class='mouseoverHref'><em>Zootaxa</em></a> <strong>3025</strong>: 59-65<!--MARK-->","","Article in Journal","42e34b73-6e7f-4db8-8af8-0f82c1b6d4bd","20120206T04:00:57.414+0000","96466227-221c-4922-ac97-1ac2dd946d0a"
"","","hamatus","Nyctobadistes hamatus Merrin, 2011","MUNNOPSIDAE","Nyctobadistes","","hamatus","","Valid Name","","Species","","Merrin","2011","Y","025c7588-f1a3-4ba1-a4af-634579acd3f5","20220517T07:26:19.100+0000","ee5b4189-60b9-432b-b3f2-efc00a3741e9","20220805T05:46:39.537+0000","d0ec41dd-a37b-49d2-bd64-f18d42770cc1","ee5b4189-60b9-432b-b3f2-efc00a3741e9","","","","","","","","","","","","","","",""
"","","hamatus","Nyctobadistes hamatus Merrin, 2011","","Nyctobadistes","","hamatus","","Synonym","synonym","Species","","Merrin","2011","Y","514c0c54-4c0c-464a-b438-f847c692ea2c","20220517T07:26:19.100+0000","ee5b4189-60b9-432b-b3f2-efc00a3741e9","20220805T05:46:39.537+0000","","8f32a201-a91d-4441-ad0a-6d7224f991aa","Merrin, K.L.","2011","<i>Nyctobadistes</i> gen. nov. (Isopoda: Asellota: Munnopsidae), a new genus from Tasmanian waters, Australia, with the description of a new species","59-65","","Zootaxa","","","","<!--MARK--><a href='null42e34b73-6e7f-4db8-8af8-0f82c1b6d4bd' class='mouseoverHref'>Merrin, K.L. 2011. <i>Nyctobadistes</i> gen. nov. (Isopoda: Asellota: Munnopsidae), a new genus from Tasmanian waters, Australia, with the description of a new species.</a> <!--MARK--><!--MARK--><a href='null96466227-221c-4922-ac97-1ac2dd946d0a' class='mouseoverHref'><em>Zootaxa</em></a> <strong>3025</strong>: 59-65<!--MARK-->","","Article in Journal","42e34b73-6e7f-4db8-8af8-0f82c1b6d4bd","20120206T04:00:57.414+0000","96466227-221c-4922-ac97-1ac2dd946d0a"
"","","Epikopais","Epikopais Merrin, 2009","MUNNOPSIDAE","Epikopais","","","","Valid Name","","Genus","","Merrin","2009","Y","6f985b4f-30fa-4544-aa5f-aabfceef6211","20220517T07:26:19.100+0000","35ddc53c-3d0f-493e-8e22-2140da6c3118","20220805T05:46:39.537+0000","73ca3bc3-74e5-40e3-8e86-ea20f848641d","35ddc53c-3d0f-493e-8e22-2140da6c3118","","","","","","","","","","","","","","",""
"","","Epikopais","Epikopais Merrin, 2009","","Epikopais","","","","Synonym","synonym","Genus","","Merrin","2009","Y","b0195a6d-5021-4cb9-95c2-fb39c515a03c","20220517T07:26:19.100+0000","35ddc53c-3d0f-493e-8e22-2140da6c3118","20220805T05:46:39.537+0000","","7ba59fdc-4952-4126-af8e-9dab035be217","Merrin, K.L.","2009","<i>Epikopais</i> gen. nov. (Isopoda: Asellota: Munnopsidae), a new genus of munnopsid isopod with three new species from the south-western Pacific","129-145","","Memoirs of Museum Victoria","","","","<!--MARK--><a href='null810ee1c1-68f4-4f6a-97c9-bff751d15114' class='mouseoverHref'>Merrin, K.L. 2009. <i>Epikopais</i> gen. nov. (Isopoda: Asellota: Munnopsidae), a new genus of munnopsid isopod with three new species from the south-western Pacific.</a> <!--MARK--><!--MARK--><a href='null5c22a8d1-7456-4f8c-9384-1246ecbf15a6' class='mouseoverHref'><em>Memoirs of Museum Victoria</em></a> <strong>66</strong>: 129-145<!--MARK-->","","Article in Journal","810ee1c1-68f4-4f6a-97c9-bff751d15114","20100622T11:51:59.944+0000","5c22a8d1-7456-4f8c-9384-1246ecbf15a6"
"","","waringa","Epikopais waringa Merrin, 2009","MUNNOPSIDAE","Epikopais","","waringa","","Valid Name","","Species","","Merrin","2009","Y","86b945bf-0680-477a-94c3-4a8a34313fd5","20220517T07:26:19.100+0000","d0002848-aa0f-4e03-9f6f-8681f5169e1c","20220805T05:46:39.537+0000","35ddc53c-3d0f-493e-8e22-2140da6c3118","d0002848-aa0f-4e03-9f6f-8681f5169e1c","","","","","","","","","","","","","","",""
"","","waringa","Epikopais waringa Merrin, 2009","","Epikopais","","waringa","","Synonym","synonym","Species","","Merrin","2009","Y","2ba0922b-f7cb-485a-a608-75d7879c5f47","20220517T07:26:19.100+0000","d0002848-aa0f-4e03-9f6f-8681f5169e1c","20220805T05:46:39.537+0000","","9a49cac9-ed74-4473-a7b7-3a0b82606c7b","Merrin, K.L.","2009","<i>Epikopais</i> gen. nov. (Isopoda: Asellota: Munnopsidae), a new genus of munnopsid isopod with three new species from the south-western Pacific","129-145","","Memoirs of Museum Victoria","","","","<!--MARK--><a href='null810ee1c1-68f4-4f6a-97c9-bff751d15114' class='mouseoverHref'>Merrin, K.L. 2009. <i>Epikopais</i> gen. nov. (Isopoda: Asellota: Munnopsidae), a new genus of munnopsid isopod with three new species from the south-western Pacific.</a> <!--MARK--><!--MARK--><a href='null5c22a8d1-7456-4f8c-9384-1246ecbf15a6' class='mouseoverHref'><em>Memoirs of Museum Victoria</em></a> <strong>66</strong>: 129-145<!--MARK-->","","Article in Journal","810ee1c1-68f4-4f6a-97c9-bff751d15114","20100622T11:51:59.944+0000","5c22a8d1-7456-4f8c-9384-1246ecbf15a6"
