"CAVS_CODE","CAAB_CODE","NAMES_VARIOUS","SCIENTIFIC_NAME","FAMILY","GENUS","SUBGENUS","SPECIES","SUBSPECIES","NAME_TYPE","NAME_SUBTYPE","RANK","QUALIFICATION","AUTHOR","YEAR","ORIG_COMBINATION","NAME_GUID","NAME_LAST_UPDATE","TAXON_GUID","TAXON_LAST_UPDATE","PARENT_TAXON_GUID","CONCEPT_GUID","PUB_PUB_AUTHOR","PUB_PUB_YEAR","PUB_PUB_TITLE","PUB_PUB_PAGES","PUB_PUB_PARENT_BOOK_TITLE","PUB_PUB_PARENT_JOURNAL_TITLE","PUB_PUB_PARENT_ARTICLE_TITLE","PUB_PUB_PUBLICATION_DATE","PUB_PUB_PUBLISHER","PUB_PUB_FORMATTED","PUB_PUB_QUALIFICATION","PUB_PUB_TYPE","PUBLICATION_GUID","PUBLICATION_LAST_UPDATE","PARENT_PUBLICATION_GUID"
"","","MYXOZOA","MYXOZOA Grasse, 1970","","","","","","Valid Name","","Class","","Grasse","1970","Y","0e2968fc-bd1a-4bdd-b538-48e12a676efc","20220523T03:47:15.940+0000","ffdd869f-4332-4605-8ccd-07dc219b8bf5","20220805T03:32:01.848+0000","6c89d1f9-38d1-4327-8ef5-8d7a275486e2","ffdd869f-4332-4605-8ccd-07dc219b8bf5","","","","","","","","","","","","","","",""
"","","MYXOSPOREA","MYXOSPOREA","","","","","","Valid Name","","Subclass","","","","Y","1ef3773d-a366-4151-81c3-909379ef2c05","20220805T03:32:01.848+0000","79cb08a8-b08d-4a88-8066-dc85faabc8a3","20220805T03:32:01.848+0000","ffdd869f-4332-4605-8ccd-07dc219b8bf5","79cb08a8-b08d-4a88-8066-dc85faabc8a3","","","","","","","","","","","","","","",""
"","","ACTINOSPOREA","ACTINOSPOREA","","","","","","Synonym","invalid name","Subclass","","","","Y","f5dc821a-fcc9-406c-97a8-4dc063d7d06a","20220523T03:47:15.940+0000","79cb08a8-b08d-4a88-8066-dc85faabc8a3","20220805T03:32:01.848+0000","","394c0733-30b0-41e7-810d-009a36dfe85b","Lom, J. & Dykova, I.","2006","Myxozoan genera: definition and notes on taxonomy, life-cycle terminology and pathogenic species.","1-36","","Folia Parasitologica. Prague","","","","<!--MARK--><a href='null16ab2c8c-26f0-4406-bdf0-dfc59a2af2f1' class='mouseoverHref'>Lom, J. & Dykova, I. 2006. Myxozoan genera: definition and notes on taxonomy, life-cycle terminology and pathogenic species.</a> <!--MARK--><!--MARK--><a href='nullbe204155-0185-44a3-af5a-9126a2892d95' class='mouseoverHref'><em>Folia Parasitologica. Prague</em></a> <strong>53</strong>: 1-36<!--MARK-->","","Article in Journal","16ab2c8c-26f0-4406-bdf0-dfc59a2af2f1","20130122T23:42:26.060+0000","be204155-0185-44a3-af5a-9126a2892d95"
"","","BIVALVULIDA","BIVALVULIDA","","","","","","Valid Name","","Order","","","","Y","a4a3e8e0-3aa8-487c-b0bb-dcbcfc2977ee","20220523T03:47:15.940+0000","01f087c3-9bed-46b4-aaa6-efa0b4d8f93b","20220805T03:32:01.848+0000","79cb08a8-b08d-4a88-8066-dc85faabc8a3","01f087c3-9bed-46b4-aaa6-efa0b4d8f93b","","","","","","","","","","","","","","",""
"","","PLATYSPORINA","PLATYSPORINA","","","","","","Valid Name","","Suborder","","","","Y","b9398cad-796f-41bc-90eb-83a5111fb51f","20220523T03:47:15.940+0000","5513f2f1-4234-443e-8a15-a155750628ce","20220805T03:32:01.848+0000","01f087c3-9bed-46b4-aaa6-efa0b4d8f93b","5513f2f1-4234-443e-8a15-a155750628ce","","","","","","","","","","","","","","",""
"","","COCCOMYXIDAE","COCCOMYXIDAE","COCCOMYXIDAE","","","","","Valid Name","","Family","","","","Y","ba69a738-8dcb-4074-8d5e-d38193311fdf","20220523T03:47:15.940+0000","3aed5cd1-b0cf-4029-a716-82a0926c370f","20220805T03:32:01.848+0000","5513f2f1-4234-443e-8a15-a155750628ce","3aed5cd1-b0cf-4029-a716-82a0926c370f","","","","","","","","","","","","","","",""
"","","AUERBACHIIDAE","AUERBACHIIDAE","","","","","","Synonym","synonym","Family","","","","Y","f73f690a-d0cb-43a4-a39b-dabd248ac8f8","20220523T03:47:15.940+0000","3aed5cd1-b0cf-4029-a716-82a0926c370f","20220805T03:32:01.848+0000","","","","","","","","","","","","","","","","",""
"","","Auerbachia","Auerbachia Meglitsch, 1968","COCCOMYXIDAE","Auerbachia","","","","Valid Name","","Genus","","Meglitsch","1968","Y","fa11bcfa-05cd-4427-8d3a-afdd73066545","20220523T03:47:15.940+0000","212c714d-2d27-4899-8919-b4dc05d912d0","20220805T03:32:01.848+0000","3aed5cd1-b0cf-4029-a716-82a0926c370f","212c714d-2d27-4899-8919-b4dc05d912d0","","","","","","","","","","","","","","",""
"","","Auerbachia","Auerbachia Meglitsch, 1968","","Auerbachia","","","","Synonym","synonym","Genus","","Meglitsch","1968","Y","846e43a5-32ff-4142-8f95-280d23696abf","20220523T03:47:15.940+0000","212c714d-2d27-4899-8919-b4dc05d912d0","20220805T03:32:01.848+0000","","c8a18064-1973-41e8-bf26-72ea1b5700d1","Meglitsch, P.A.","1968","Some coelomic Myxosporida from New Zealand Fishes. 2. On a new genus <i>Auerbachia</i>","397-401, 8 figs","","Proceedings of the Iowa Academy of Science","","","","<!--MARK--><a href='nullc677c05f-02db-471a-87db-99a066232fce' class='mouseoverHref'>Meglitsch, P.A. 1968. Some coelomic Myxosporida from New Zealand Fishes. 2. On a new genus <i>Auerbachia</i>.</a> <!--MARK--><!--MARK--><a href='null347d1685-a22b-4b1b-a3c7-e66f527ba4af' class='mouseoverHref'><em>Proceedings of the Iowa Academy of Science</em></a> <strong>75</strong>: 397-401, 8 figs<!--MARK-->","","Article in Journal","c677c05f-02db-471a-87db-99a066232fce","20120110T04:07:08.583+0000","347d1685-a22b-4b1b-a3c7-e66f527ba4af"
"","","caranxi","Auerbachia caranxi Heiniger, Gunter & Adlard, 2011","COCCOMYXIDAE","Auerbachia","","caranxi","","Valid Name","","Species","","Heiniger, Gunter & Adlard","2011","Y","26d69989-6d83-496b-852d-cde936736a82","20220805T03:32:01.848+0000","97952f22-94c4-4029-ad6b-9bdf0dbdc298","20220805T03:32:01.848+0000","212c714d-2d27-4899-8919-b4dc05d912d0","97952f22-94c4-4029-ad6b-9bdf0dbdc298","","","","","","","","","","","","","","",""
