"CAVS_CODE","CAAB_CODE","NAMES_VARIOUS","SCIENTIFIC_NAME","FAMILY","GENUS","SUBGENUS","SPECIES","SUBSPECIES","NAME_TYPE","NAME_SUBTYPE","RANK","QUALIFICATION","AUTHOR","YEAR","ORIG_COMBINATION","NAME_GUID","NAME_LAST_UPDATE","TAXON_GUID","TAXON_LAST_UPDATE","PARENT_TAXON_GUID","CONCEPT_GUID","PUB_PUB_AUTHOR","PUB_PUB_YEAR","PUB_PUB_TITLE","PUB_PUB_PAGES","PUB_PUB_PARENT_BOOK_TITLE","PUB_PUB_PARENT_JOURNAL_TITLE","PUB_PUB_PARENT_ARTICLE_TITLE","PUB_PUB_PUBLICATION_DATE","PUB_PUB_PUBLISHER","PUB_PUB_FORMATTED","PUB_PUB_QUALIFICATION","PUB_PUB_TYPE","PUBLICATION_GUID","PUBLICATION_LAST_UPDATE","PARENT_PUBLICATION_GUID"
"","","Metallarcha","Metallarcha Meyrick, 1884","CRAMBIDAE","Metallarcha","","","","Valid Name","","Genus","","Meyrick","1884","Y","3c7d3563-0c2b-4c25-9103-7e2eac14d287","20180416T05:06:51.460+0000","efc5f326-aa6d-4133-8645-b6df9a185802","20200827T08:21:57.075+0000","d2fe37ce-04e1-4207-8e68-d687c20164a6","efc5f326-aa6d-4133-8645-b6df9a185802","","","","","","","","","","","","","","",""
"","","Metallarcha","Metallarcha Meyrick, 1884","","Metallarcha","","","","Synonym","synonym","Genus","","Meyrick","1884","Y","996f091a-d273-43b1-b65a-7265fbf70ccc","20180416T05:06:51.460+0000","efc5f326-aa6d-4133-8645-b6df9a185802","20200827T08:21:57.075+0000","","0654964d-49dc-4009-8326-cf149b9a7ccc","Meyrick, E.","1884","On the classification of Australian Pyralidina","277-350","","Transactions of the Entomological Society of London","","","","<!--MARK--><a href='../../../../publication/a9676f1f-e4b4-4809-8975-7b4303011521' class='mouseoverHref'>Meyrick, E. 1884. On the classification of Australian Pyralidina.</a> <!--MARK--><!--MARK--><a href='../../../../publication/5cf355b3-abc5-451e-9abc-ed3282d7811a' class='mouseoverHref'><em>Transactions of the Entomological Society of London</em></a> <strong>1884</strong>: 277-350<!--MARK-->","","Article in Journal","a9676f1f-e4b4-4809-8975-7b4303011521","20081009T05:11:37.000+0000","5cf355b3-abc5-451e-9abc-ed3282d7811a"
"","","Panopsia","Panopsia Turner, 1913","","Panopsia","","","","Synonym","synonym","Genus","","Turner","1913","Y","4e2950c3-ee4e-4cbc-a506-3816f5245869","20180416T05:06:51.460+0000","efc5f326-aa6d-4133-8645-b6df9a185802","20200827T08:21:57.075+0000","","20b1978c-fe77-4aaf-a7b8-e28cc327f955","Turner, A.J.","1913","Studies in Australian Lepidoptera, Pyralidae","111-163","","Proceedings of the Royal Society of Queensland","","","","<!--MARK--><a href='../../../../publication/57dc011e-589a-4421-81ee-a45891acafbc' class='mouseoverHref'>Turner, A.J. 1913. Studies in Australian Lepidoptera, Pyralidae.</a> <!--MARK--><!--MARK--><a href='../../../../publication/642ab613-813a-48d0-8bc0-42c78157f7b0' class='mouseoverHref'><em>Proceedings of the Royal Society of Queensland</em></a> <strong>24</strong>: 111-163<!--MARK-->","","Article in Journal","57dc011e-589a-4421-81ee-a45891acafbc","20081009T05:11:37.000+0000","642ab613-813a-48d0-8bc0-42c78157f7b0"
"","","achoeusalis","Metallarcha achoeusalis (Walker, 1859)","CRAMBIDAE","Metallarcha","","achoeusalis","","Valid Name","","Species","","Walker","1859","N","ad1d152d-866a-499a-bec9-56b501663bed","20180416T05:06:51.460+0000","197dd002-9f78-4561-a03d-cc866161658c","20200827T08:21:57.075+0000","efc5f326-aa6d-4133-8645-b6df9a185802","197dd002-9f78-4561-a03d-cc866161658c","","","","","","","","","","","","","","",""
"","","achoeusalis","Botys achoeusalis Walker, 1859","","Botys","","achoeusalis","","Synonym","synonym","Species","","Walker","1859","Y","c74a7f7c-1c93-426d-8d72-bb937fe3fb89","20180416T05:06:51.460+0000","197dd002-9f78-4561-a03d-cc866161658c","20200827T08:21:57.075+0000","","753fef8b-71ab-44db-9fe2-e1049fadf53f","Walker, F.","1859","Pyralides","799-1036 [incl. index to parts 16-19]","","List of the Specimens of Lepidopterous Insects in the Collection of the British Museum","","","","<!--MARK--><a href='../../../../publication/fbf8d143-cbca-4b84-8bdc-20e033266ea6' class='mouseoverHref'>Walker, F. 1859. Pyralides.</a> <!--MARK--><!--MARK--><a href='../../../../publication/642c8f2c-b31c-4c9f-9ca3-4c940f907155' class='mouseoverHref'><em>List of the Specimens of Lepidopterous Insects in the Collection of the British Museum</em></a> <strong>19</strong>: 799-1036 [incl. index to parts 16-19]<!--MARK-->","","Article in Journal","fbf8d143-cbca-4b84-8bdc-20e033266ea6","20150726T22:14:11.942+0000","642c8f2c-b31c-4c9f-9ca3-4c940f907155"
"","","aureodiscalis","Metallarcha aureodiscalis (Hampson, 1918)","CRAMBIDAE","Metallarcha","","aureodiscalis","","Valid Name","","Species","","Hampson","1918","N","27424ea9-327b-4142-9851-58732f3cc45d","20180416T05:06:51.460+0000","5d76e850-1ebe-4783-8ebb-2a8c13fd4c80","20200827T08:21:57.075+0000","efc5f326-aa6d-4133-8645-b6df9a185802","5d76e850-1ebe-4783-8ebb-2a8c13fd4c80","","","","","","","","","","","","","","",""
"","","aureodiscalis","Loxostege aureodiscalis Hampson, 1918","","Loxostege","","aureodiscalis","","Synonym","synonym","Species","","Hampson","1918","Y","50c3824f-a1e2-47c4-865a-b3ba866cd52d","20180416T05:06:51.460+0000","5d76e850-1ebe-4783-8ebb-2a8c13fd4c80","20200827T08:21:57.075+0000","","c2276aac-9598-4422-9179-7152a3e3223a","Hampson, G.F.","1918","Descriptions of new Pyralidae of the subfamily Pyraustinae (continuation)","181-196, 393-407","","Annals of Natural History","","","","<!--MARK--><a href='../../../../publication/079d2fd0-64b3-45b8-b1c5-20f7549a7995' class='mouseoverHref'>Hampson, G.F. 1918. Descriptions of new Pyralidae of the subfamily Pyraustinae (continuation).</a> <!--MARK--><!--MARK--><a href='../../../../publication/49064907-7f69-404b-b6d0-6e1a9be97dbb' class='mouseoverHref'><em>Annals of Natural History</em></a> <strong>2</strong>: 181-196, 393-407<!--MARK-->","","Article in Journal","079d2fd0-64b3-45b8-b1c5-20f7549a7995","20081009T05:11:37.000+0000","49064907-7f69-404b-b6d0-6e1a9be97dbb"
"","","umbrifera","Metallarcha umbrifera Turner, 1937","","Metallarcha","","umbrifera","","Synonym","synonym","Species","","Turner","1937","Y","eec38c56-cb7b-40c2-a207-d89633da6490","20180416T05:06:51.460+0000","5d76e850-1ebe-4783-8ebb-2a8c13fd4c80","20200827T08:21:57.075+0000","","","","","","","","","","","","","","","","",""
"","","beatalis","Metallarcha beatalis (R. Felder & Rogenhofer, 1875)","CRAMBIDAE","Metallarcha","","beatalis","","Valid Name","","Species","","R. Felder & Rogenhofer","1875","N","c57179c3-b64a-4a06-8d20-80ada6b167e7","20180416T05:06:51.460+0000","99f0853f-c991-42ad-9fae-5bbd69d3c38e","20200827T08:21:57.075+0000","efc5f326-aa6d-4133-8645-b6df9a185802","99f0853f-c991-42ad-9fae-5bbd69d3c38e","","","","","","","","","","","","","","",""
"","","beatalis","Botys beatalis R. Felder & Rogenhofer, 1875","","Botys","","beatalis","","Synonym","synonym","Species","","R. Felder & Rogenhofer","1875","Y","1f798600-9bd1-4b54-bab3-91a5ca9fb05f","20180416T05:06:51.460+0000","99f0853f-c991-42ad-9fae-5bbd69d3c38e","20200827T08:21:57.075+0000","","37a58cda-60b3-4050-8b7c-4e6a667a88d1","Felder, R. & Rogenhofer, A.F.","1875","<i>Reise der Österreichischen Fregatte Novara um die Erde in den Jahren 1857, 1858, 1859</i>","Plates 121-140","","","","","","<!--MARK--><a href='../../../../publication/d05380a3-659b-4a0b-a5d7-8e482a14c820' class='mouseoverHref'>Felder, R. & Rogenhofer, A.F. 1875. <i>Reise der Österreichischen Fregatte Novara um die Erde in den Jahren 1857, 1858, 1859</i>. (Zoologischer Theil, Band 2, Abteilung 2) Heft 4. Wien. Plates 121-140 pp.</a>","","Miscellaneous","d05380a3-659b-4a0b-a5d7-8e482a14c820","20120624T23:51:09.335+0000",""
