"CAVS_CODE","CAAB_CODE","NAMES_VARIOUS","SCIENTIFIC_NAME","FAMILY","GENUS","SUBGENUS","SPECIES","SUBSPECIES","NAME_TYPE","NAME_SUBTYPE","RANK","QUALIFICATION","AUTHOR","YEAR","ORIG_COMBINATION","NAME_GUID","NAME_LAST_UPDATE","TAXON_GUID","TAXON_LAST_UPDATE","PARENT_TAXON_GUID","CONCEPT_GUID","PUB_PUB_AUTHOR","PUB_PUB_YEAR","PUB_PUB_TITLE","PUB_PUB_PAGES","PUB_PUB_PARENT_BOOK_TITLE","PUB_PUB_PARENT_JOURNAL_TITLE","PUB_PUB_PARENT_ARTICLE_TITLE","PUB_PUB_PUBLICATION_DATE","PUB_PUB_PUBLISHER","PUB_PUB_FORMATTED","PUB_PUB_QUALIFICATION","PUB_PUB_TYPE","PUBLICATION_GUID","PUBLICATION_LAST_UPDATE","PARENT_PUBLICATION_GUID"
"","","NERIIDAE","NERIIDAE Westwood, 1840","","","","","","Valid Name","","Family","","Westwood","1840","Y","56700709-a3d5-4db1-9a3c-abf4c9cd1ffb","20200619T07:45:54.215+0000","4f986837-4cbf-40e9-a5ff-f40d01b20d23","20201110T05:07:15.305+0000","337e71e5-f1dd-4986-9604-f24df7ec7e3e","4f986837-4cbf-40e9-a5ff-f40d01b20d23","","","","","","","","","","","","","","",""
"","","Derocephalus","Derocephalus Enderlein, 1922","NERIIDAE","Derocephalus","","","","Valid Name","","Genus","","Enderlein","1922","Y","07acf88e-e495-4855-a2c6-68d7a7bf7f35","20200619T07:45:54.215+0000","0558f50f-1403-4f33-aa4c-0a9e64014e1c","20201110T05:07:15.305+0000","4f986837-4cbf-40e9-a5ff-f40d01b20d23","0558f50f-1403-4f33-aa4c-0a9e64014e1c","","","","","","","","","","","","","","",""
"","","Derocephalus","Derocephalus Enderlein, 1922","","Derocephalus","","","","Synonym","synonym","Genus","","Enderlein","1922","Y","633a905d-cd8f-4162-9ee2-cc42fa12a87c","20200619T07:45:54.215+0000","0558f50f-1403-4f33-aa4c-0a9e64014e1c","20201110T05:07:15.305+0000","","db573c55-bef2-4a9c-b2d3-81ce9368d373","Enderlein, G.","1922","Klassifikation der Mikropeziden","140-229","","Archiv für Naturgeschichte","","June","","<!--MARK--><a href='null0093eb44-eefd-498c-8a7c-e08cf481a15b' class='mouseoverHref'>Enderlein, G. 1922. Klassifikation der Mikropeziden.</a> <!--MARK--><!--MARK--><a href='nullf5b5f7c7-fc53-4502-951d-1c96b680d874' class='mouseoverHref'><em>Archiv für Naturgeschichte</em></a> (A) <strong>88</strong>: 140-229<!--MARK--> [Date published June]","","Article in Journal","0093eb44-eefd-498c-8a7c-e08cf481a15b","20101215T05:37:47.360+0000","f5b5f7c7-fc53-4502-951d-1c96b680d874"
"","","angusticollis","Derocephalus angusticollis Enderlein, 1922","NERIIDAE","Derocephalus","","angusticollis","","Valid Name","","Species","","Enderlein","1922","Y","d4afdd4e-5e0a-4df1-b172-e9b8ff318eb4","20200619T07:45:54.215+0000","1f993251-d2e9-4d16-9ff5-eacbe350f816","20201110T05:07:15.305+0000","0558f50f-1403-4f33-aa4c-0a9e64014e1c","1f993251-d2e9-4d16-9ff5-eacbe350f816","","","","","","","","","","","","","","",""
"","","angusticollis","Derocephalus angusticollis Enderlein, 1922","","Derocephalus","","angusticollis","","Synonym","synonym","Species","","Enderlein","1922","Y","97ec9387-65eb-470f-9d0e-0651d4f45aae","20200619T07:45:54.215+0000","1f993251-d2e9-4d16-9ff5-eacbe350f816","20201110T05:07:15.305+0000","","1ba97b04-8e65-4bf2-a063-8ba07d3bf5e5","Enderlein, G.","1922","Klassifikation der Mikropeziden","140-229","","Archiv für Naturgeschichte","","June","","<!--MARK--><a href='null0093eb44-eefd-498c-8a7c-e08cf481a15b' class='mouseoverHref'>Enderlein, G. 1922. Klassifikation der Mikropeziden.</a> <!--MARK--><!--MARK--><a href='nullf5b5f7c7-fc53-4502-951d-1c96b680d874' class='mouseoverHref'><em>Archiv für Naturgeschichte</em></a> (A) <strong>88</strong>: 140-229<!--MARK--> [Date published June]","","Article in Journal","0093eb44-eefd-498c-8a7c-e08cf481a15b","20101215T05:37:47.360+0000","f5b5f7c7-fc53-4502-951d-1c96b680d874"
"","","bivittatus","Telostylinus bivittatus Cresson, 1926","","Telostylinus","","bivittatus","","Synonym","synonym","Species","","Cresson","1926","Y","a23886a4-2c2d-4803-823b-23ed738803ef","20200619T07:45:54.215+0000","1f993251-d2e9-4d16-9ff5-eacbe350f816","20201110T05:07:15.305+0000","","ca9beb43-b42c-46ae-bd7a-e4a8a011a0f0","Cresson, E.T., Jr","1926","Descriptions of new genera and species of Diptera (Ephydridae and Micropezidae)","249-274","","Transactions of the American Entomological Society","","16 December","","<!--MARK--><a href='null445945b3-d25e-4c2b-87e4-afe04405ca3c' class='mouseoverHref'>Cresson, E.T., Jr 1926. Descriptions of new genera and species of Diptera (Ephydridae and Micropezidae).</a> <!--MARK--><!--MARK--><a href='nullab463570-432f-4c53-bc7c-2254ed8f75b1' class='mouseoverHref'><em>Transactions of the American Entomological Society</em></a> <strong>52</strong>: 249-274<!--MARK--> [Date published 16 December]","","Article in Journal","445945b3-d25e-4c2b-87e4-afe04405ca3c","20111101T00:32:20.660+0000","ab463570-432f-4c53-bc7c-2254ed8f75b1"
"","","Telostylinus","Telostylinus Enderlein, 1922","NERIIDAE","Telostylinus","","","","Valid Name","","Genus","","Enderlein","1922","Y","66919044-4ff5-4828-b63b-32ab75f8951c","20200619T07:45:54.215+0000","ec0343bc-9ad7-4011-911b-e3967e993667","20201110T05:07:15.305+0000","4f986837-4cbf-40e9-a5ff-f40d01b20d23","ec0343bc-9ad7-4011-911b-e3967e993667","","","","","","","","","","","","","","",""
"","","Telostylinus","Telostylinus Enderlein, 1922","","Telostylinus","","","","Synonym","synonym","Genus","","Enderlein","1922","Y","1ce68d14-2cc3-4913-9b06-911d92cdecdc","20200619T07:45:54.215+0000","ec0343bc-9ad7-4011-911b-e3967e993667","20201110T05:07:15.305+0000","","b05a4ed2-fcb5-4bb1-b2de-deeccb6b548d","Enderlein, G.","1922","Klassifikation der Mikropeziden","140-229","","Archiv für Naturgeschichte","","June","","<!--MARK--><a href='null0093eb44-eefd-498c-8a7c-e08cf481a15b' class='mouseoverHref'>Enderlein, G. 1922. Klassifikation der Mikropeziden.</a> <!--MARK--><!--MARK--><a href='nullf5b5f7c7-fc53-4502-951d-1c96b680d874' class='mouseoverHref'><em>Archiv für Naturgeschichte</em></a> (A) <strong>88</strong>: 140-229<!--MARK--> [Date published June]","","Article in Journal","0093eb44-eefd-498c-8a7c-e08cf481a15b","20101215T05:37:47.360+0000","f5b5f7c7-fc53-4502-951d-1c96b680d874"
"","","lineolatus","Telostylinus lineolatus (Wiedemann, 1830)","NERIIDAE","Telostylinus","","lineolatus","","Valid Name","","Species","","Wiedemann","1830","N","0df760a2-e06d-497a-93ac-b5f6c00288c1","20200619T07:45:54.215+0000","9138e63a-bf6b-4896-89b0-f0aacd7c49da","20201110T05:07:15.305+0000","ec0343bc-9ad7-4011-911b-e3967e993667","9138e63a-bf6b-4896-89b0-f0aacd7c49da","","","","","","","","","","","","","","",""
"","","lineolatus","Nerius lineolatus Wiedemann, 1830","","Nerius","","lineolatus","","Synonym","synonym","Species","","Wiedemann","1830","Y","7d0be297-540b-4a4a-8f4a-97497d54aaf6","20200619T07:45:54.215+0000","9138e63a-bf6b-4896-89b0-f0aacd7c49da","20201110T05:07:15.305+0000","","65b16d77-2786-49d5-bcdc-ab59761a6950","Wiedemann, C.R.W.","1830","Aussereuropäische zweiflügelige Insekten. Als Fortsetzung des Meigenschen Werkes. <i>Zweiter Theil</i>","xii 684 pls 7-10b","","","","","Schulz","<!--MARK--><a href='null8423e284-97dc-4f78-a07f-75dfb58f7f26' class='mouseoverHref'>Wiedemann, C.R.W. 1830. <em>Aussereuropäische zweiflügelige Insekten. Als Fortsetzung des Meigenschen Werkes. <i>Zweiter Theil</i></em>. Hamburg : Schulz xii 684 pls 7-10b.</a><!--MARK-->","","Book","8423e284-97dc-4f78-a07f-75dfb58f7f26","20120329T03:30:09.477+0000",""
"","","lineolatus","Telostylinus lineolatus (Wiedemann, 1830)","","Telostylinus","","lineolatus","","Generic Combination","","Species","","Wiedemann","1830","N","c4121bb4-49d6-4e26-b9d7-8de1a9ca916b","20200619T07:45:54.215+0000","9138e63a-bf6b-4896-89b0-f0aacd7c49da","20201110T05:07:15.305+0000","","f93807e5-a04d-42f9-b167-91d399bffb11","Enderlein, G.","1922","Klassifikation der Mikropeziden","140-229","","Archiv für Naturgeschichte","","June","","<!--MARK--><a href='null0093eb44-eefd-498c-8a7c-e08cf481a15b' class='mouseoverHref'>Enderlein, G. 1922. Klassifikation der Mikropeziden.</a> <!--MARK--><!--MARK--><a href='nullf5b5f7c7-fc53-4502-951d-1c96b680d874' class='mouseoverHref'><em>Archiv für Naturgeschichte</em></a> (A) <strong>88</strong>: 140-229<!--MARK--> [Date published June]","","Article in Journal","0093eb44-eefd-498c-8a7c-e08cf481a15b","20101215T05:37:47.360+0000","f5b5f7c7-fc53-4502-951d-1c96b680d874"
