"CAVS_CODE","CAAB_CODE","NAMES_VARIOUS","SCIENTIFIC_NAME","FAMILY","GENUS","SUBGENUS","SPECIES","SUBSPECIES","NAME_TYPE","NAME_SUBTYPE","RANK","QUALIFICATION","AUTHOR","YEAR","ORIG_COMBINATION","NAME_GUID","NAME_LAST_UPDATE","TAXON_GUID","TAXON_LAST_UPDATE","PARENT_TAXON_GUID","CONCEPT_GUID","PUB_PUB_AUTHOR","PUB_PUB_YEAR","PUB_PUB_TITLE","PUB_PUB_PAGES","PUB_PUB_PARENT_BOOK_TITLE","PUB_PUB_PARENT_JOURNAL_TITLE","PUB_PUB_PARENT_ARTICLE_TITLE","PUB_PUB_PUBLICATION_DATE","PUB_PUB_PUBLISHER","PUB_PUB_FORMATTED","PUB_PUB_QUALIFICATION","PUB_PUB_TYPE","PUBLICATION_GUID","PUBLICATION_LAST_UPDATE","PARENT_PUBLICATION_GUID"
"","","NEUROSCELIONIDAE","NEUROSCELIONIDAE Johnson & Austin, 2021","","","","","","Valid Name","","Family","","Johnson & Austin","2021","Y","b088b7ef-9253-41a1-9db2-0ab4cc4a5be4","20220112T04:16:26.494+0000","68057e0b-aae9-4c78-afce-8a3bec7da781","20220303T02:25:03.835+0000","82765d15-3ca0-4e3d-826f-db0e667b1459","68057e0b-aae9-4c78-afce-8a3bec7da781","","","","","","","","","","","","","","",""
"","","NEUROSCELIONIDAE","NEUROSCELIONIDAE Johnson & Austin, 2021","","","","","","Synonym","synonym","Family","","Johnson & Austin","2021","Y","9b63c50f-c449-4ead-9747-84ce920cb5d8","20220112T04:01:07.989+0000","68057e0b-aae9-4c78-afce-8a3bec7da781","20220303T02:25:03.835+0000","","582302b7-5292-43fb-94eb-f3f6c3f8a9d7","Chen, H., Lahey, Z., Talamas, E., Valerio, A., Popovici, O., Musetti, L., Klompen, H., Polaszek, A., & Masner, L.","2021","An integrated phylogenetic reassessment of the parasitoid superfamily Platygastroidea (Hymenoptera: Proctotrupomorpha) results in a revised familial classification","1088-1113","","Systematic Entomology","","","","<!--MARK--><a href='../../../../publication/3b28f588-918a-4083-a805-90725526a41d' class='mouseoverHref'>Chen, H., Lahey, Z., Talamas, E., Valerio, A., Popovici, O., Musetti, L., Klompen, H., Polaszek, A., & Masner, L. 2021. An integrated phylogenetic reassessment of the parasitoid superfamily Platygastroidea (Hymenoptera: Proctotrupomorpha) results in a revised familial classification.</a> <!--MARK--><!--MARK--><a href='../../../../publication/129a4a7d-1c4c-4650-87ea-27d58ad726d5' class='mouseoverHref'><em>Systematic Entomology</em></a> <strong>46</strong>: 1088-1113<!--MARK-->","","Article in Journal","3b28f588-918a-4083-a805-90725526a41d","20220112T04:00:09.949+0000","129a4a7d-1c4c-4650-87ea-27d58ad726d5"
"","","Neuroscelio","Neuroscelio Dodd, 1913","NEUROSCELIONIDAE","Neuroscelio","","","","Valid Name","","Genus","","Dodd","1913","Y","99197689-2f4e-4748-9f4b-b2d89a08745b","20220112T04:06:17.108+0000","b56ee021-dda4-4a3e-9903-bc4f8119b6c0","20220303T02:25:03.835+0000","68057e0b-aae9-4c78-afce-8a3bec7da781","b56ee021-dda4-4a3e-9903-bc4f8119b6c0","","","","","","","","","","","","","","",""
"","","Neuroscelio","Neuroscelio Dodd, 1913","","Neuroscelio","","","","Synonym","synonym","Genus","","Dodd","1913","Y","cb250c36-beb8-46d1-9178-e24c89f07173","20220112T04:03:04.270+0000","b56ee021-dda4-4a3e-9903-bc4f8119b6c0","20220303T02:25:03.835+0000","","e024cc0c-3f93-476a-85ba-0025c5d9a654","Dodd, A.P.","1913","Some new parasitic Hymenoptera from Australia","164-182","","Archiv für Naturgeschichte","","","","<!--MARK--><a href='../../../../publication/8d8b3013-a445-45a4-a483-a98e99e55d29' class='mouseoverHref'>Dodd, A.P. 1913. Some new parasitic Hymenoptera from Australia.</a> <!--MARK--><!--MARK--><a href='../../../../publication/f5b5f7c7-fc53-4502-951d-1c96b680d874' class='mouseoverHref'><em>Archiv für Naturgeschichte</em></a> <strong>79</strong>(6): 164-182<!--MARK-->","","Article in Journal","8d8b3013-a445-45a4-a483-a98e99e55d29","20081009T05:11:37.000+0000","f5b5f7c7-fc53-4502-951d-1c96b680d874"
"","","lagunai","Neuroscelio lagunai Valerio & Austin, 2009","NEUROSCELIONIDAE","Neuroscelio","","lagunai","","Valid Name","","Species","","Valerio & Austin","2009","Y","ebd12091-c6c6-4572-ab50-723585f3f7d6","20220112T04:03:04.270+0000","4abfbb40-2ece-428a-9aa5-8ca0847fc27c","20220303T02:25:03.835+0000","b56ee021-dda4-4a3e-9903-bc4f8119b6c0","4abfbb40-2ece-428a-9aa5-8ca0847fc27c","","","","","","","","","","","","","","",""
"","","lagunai","Neuroscelio lagunai Valerio & Austin, 2009","SCELIONIDAE","Neuroscelio","","lagunai","","Synonym","synonym","Species","","Valerio & Austin","2009","Y","cb131205-9e30-404c-a912-661a0419b6b9","20220112T04:03:04.270+0000","4abfbb40-2ece-428a-9aa5-8ca0847fc27c","20220303T02:25:03.835+0000","","f942c245-507b-4f40-8663-7621a8db0441","Valerio, A.A. & Austin, A.D. in Valerio, A.A., Masner, L., Austin, A.D. & Johnson, N.F.","2009","The genus <i>Neuroscelio</i> Dodd (Hymenoptera:Platygastridae s.l.) reviewed: new species, distributional update, anddiscussion of relationships","29-43","","Zootaxa","","","","<!--MARK--><a href='../../../../publication/c6a5bb70-b9f3-4ccb-a2b8-c34e8011218d' class='mouseoverHref'>Valerio, A.A. & Austin, A.D. <i>in</i> Valerio, A.A., Masner, L., Austin, A.D. & Johnson, N.F. 2009. The genus <i>Neuroscelio</i> Dodd (Hymenoptera:Platygastridae s.l.) reviewed: new species, distributional update, anddiscussion of relationships.</a> <!--MARK--><!--MARK--><a href='../../../../publication/96466227-221c-4922-ac97-1ac2dd946d0a' class='mouseoverHref'><em>Zootaxa</em></a> <strong>2306</strong>: 29-43<!--MARK-->","","Article in Journal","c6a5bb70-b9f3-4ccb-a2b8-c34e8011218d","20100930T21:37:31.327+0000","96466227-221c-4922-ac97-1ac2dd946d0a"
"","","doddi","Neuroscelio doddi Galloway, Austin & Masner, 1992","NEUROSCELIONIDAE","Neuroscelio","","doddi","","Valid Name","","Species","","Galloway, Austin & Masner","1992","Y","fb7efdca-5d06-4bf2-9cba-f77510b55e04","20220112T04:03:04.270+0000","8f00f4d1-bfdd-4040-b537-17a9912c5103","20220303T02:25:03.835+0000","b56ee021-dda4-4a3e-9903-bc4f8119b6c0","8f00f4d1-bfdd-4040-b537-17a9912c5103","","","","","","","","","","","","","","",""
"","","doddi","Neurosceliio doddi Galloway, Austin & Masner, 1992","","Neurosceliio","","doddi","","Synonym","synonym","Species","","Galloway, Austin & Masner","1992","Y","c10dcb73-bae4-4cda-9cda-a1b6f49af2f2","20220112T04:03:04.270+0000","8f00f4d1-bfdd-4040-b537-17a9912c5103","20220303T02:25:03.835+0000","","3fd5a674-669f-4412-948b-d51b2274e926","Galloway, I.D., Austin, A.D. & Masner, L.","1992","Revision of the genus <i>Neuroscelio</i> Dodd, primitive scelionids (Hymenoptera: Scelionidae) from Australia, with a discussion of the ovipositor system of the tribe Gryonini","523-545","","Invertebrate Taxonomy","","","","<!--MARK--><a href='../../../../publication/1d80fd61-b5c3-47ad-90eb-955261900608' class='mouseoverHref'>Galloway, I.D., Austin, A.D. & Masner, L. 1992. Revision of the genus <i>Neuroscelio</i> Dodd, primitive scelionids (Hymenoptera: Scelionidae) from Australia, with a discussion of the ovipositor system of the tribe Gryonini.</a> <!--MARK--><!--MARK--><a href='../../../../publication/9846f41b-d755-4682-9049-5e59d363951b' class='mouseoverHref'><em>Invertebrate Taxonomy</em></a> <strong>6</strong>: 523-545<!--MARK-->","","Article in Journal","1d80fd61-b5c3-47ad-90eb-955261900608","20081009T05:11:37.000+0000","9846f41b-d755-4682-9049-5e59d363951b"
"","","nervalis","Neuroscelio nervalis Dodd, 1913","NEUROSCELIONIDAE","Neuroscelio","","nervalis","","Valid Name","","Species","","Dodd","1913","Y","83d71ad5-ab97-41e2-aa83-d2a151e9fb86","20220112T04:03:04.270+0000","84c87c62-3d85-4091-886f-f87e007f42f6","20220303T02:25:03.835+0000","b56ee021-dda4-4a3e-9903-bc4f8119b6c0","84c87c62-3d85-4091-886f-f87e007f42f6","","","","","","","","","","","","","","",""
"","","nervalis","Neuroscelio nervalis Dodd, 1913","","Neuroscelio","","nervalis","","Synonym","synonym","Species","","Dodd","1913","Y","64d2a601-6ed4-4682-8718-87f98dbeee79","20220112T04:03:04.270+0000","84c87c62-3d85-4091-886f-f87e007f42f6","20220303T02:25:03.835+0000","","c7d0ad84-2cd8-4821-bc34-1e000d7df772","Dodd, A.P.","1913","Some new parasitic Hymenoptera from Australia","164-182","","Archiv für Naturgeschichte","","","","<!--MARK--><a href='../../../../publication/8d8b3013-a445-45a4-a483-a98e99e55d29' class='mouseoverHref'>Dodd, A.P. 1913. Some new parasitic Hymenoptera from Australia.</a> <!--MARK--><!--MARK--><a href='../../../../publication/f5b5f7c7-fc53-4502-951d-1c96b680d874' class='mouseoverHref'><em>Archiv für Naturgeschichte</em></a> <strong>79</strong>(6): 164-182<!--MARK-->","","Article in Journal","8d8b3013-a445-45a4-a483-a98e99e55d29","20081009T05:11:37.000+0000","f5b5f7c7-fc53-4502-951d-1c96b680d874"
