"CAVS_CODE","CAAB_CODE","NAMES_VARIOUS","SCIENTIFIC_NAME","FAMILY","GENUS","SUBGENUS","SPECIES","SUBSPECIES","NAME_TYPE","NAME_SUBTYPE","RANK","QUALIFICATION","AUTHOR","YEAR","ORIG_COMBINATION","NAME_GUID","NAME_LAST_UPDATE","TAXON_GUID","TAXON_LAST_UPDATE","PARENT_TAXON_GUID","CONCEPT_GUID","PUB_PUB_AUTHOR","PUB_PUB_YEAR","PUB_PUB_TITLE","PUB_PUB_PAGES","PUB_PUB_PARENT_BOOK_TITLE","PUB_PUB_PARENT_JOURNAL_TITLE","PUB_PUB_PARENT_ARTICLE_TITLE","PUB_PUB_PUBLICATION_DATE","PUB_PUB_PUBLISHER","PUB_PUB_FORMATTED","PUB_PUB_QUALIFICATION","PUB_PUB_TYPE","PUBLICATION_GUID","PUBLICATION_LAST_UPDATE","PARENT_PUBLICATION_GUID"
"","","Onthophagini","Onthophagini","SCARABAEIDAE","","","","","Valid Name","","Tribe","","","","Y","724d7d02-aba6-43d5-91a6-8fd7253b85e3","20220527T01:34:35.409+0000","5e9ca519-ffd1-406f-9c91-16202da4eb0b","20220616T09:07:41.182+0000","53147f22-641d-4411-8c90-b580cd699eb1","5e9ca519-ffd1-406f-9c91-16202da4eb0b","","","","","","","","","","","","","","",""
"","","Hamonthophagus","Hamonthophagus Roggero, Dierkens, Barbero & Palestrini, 2016","","Hamonthophagus","","","","Valid Name","","Genus","","Roggero, Dierkens, Barbero & Palestrini","2016","Y","fdaec6d8-ceeb-4751-9c77-2b577e00815c","20220527T01:34:35.409+0000","0ec1c4b3-5c94-40b4-a430-0775aaf9b88a","20220616T09:07:41.182+0000","5e9ca519-ffd1-406f-9c91-16202da4eb0b","0ec1c4b3-5c94-40b4-a430-0775aaf9b88a","","","","","","","","","","","","","","",""
"","","Hamonthophagus","Hamonthophagus Roggero, Dierkens, Barbero & Palestrini, 2016","","Hamonthophagus","","","","Synonym","synonym","Genus","","Roggero, Dierkens, Barbero & Palestrini","2016","Y","9b3f3566-9549-4e53-b521-f36d33cb66c8","20220527T01:34:35.409+0000","0ec1c4b3-5c94-40b4-a430-0775aaf9b88a","20220616T09:07:41.182+0000","","ae1fa354-7602-4771-9817-5aa49041742e","Roggero, A., Dierkens, M., Barbero, E. & Palestrini, C.","2016","Combined phylogenetic analysis of two new Afrotropical genera of Onthophagini (Coleoptera, Scarabaeidae)","298-320","","Zoological Journal of the Linnean Society","","","","<!--MARK--><a href='null405c47ba-5486-4a0d-aba1-fffb1946daa3' class='mouseoverHref'>Roggero, A., Dierkens, M., Barbero, E. & Palestrini, C. 2016. Combined phylogenetic analysis of two new Afrotropical genera of Onthophagini (Coleoptera, Scarabaeidae).</a> <!--MARK--><!--MARK--><a href='nulle67d43a6-f920-4532-a90d-d3a5ee2662ea' class='mouseoverHref'><em>Zoological Journal of the Linnean Society</em></a> <strong>180</strong>: 298-320<!--MARK-->","","Article in Journal","405c47ba-5486-4a0d-aba1-fffb1946daa3","20190724T07:53:54.494+0000","e67d43a6-f920-4532-a90d-d3a5ee2662ea"
"","","depressus","Hamonthophagus depressus (Harold, 1871)","","Hamonthophagus","","depressus","","Valid Name","","Species","","Harold","1871","N","e9147db7-8202-4f88-b159-84ad67be9061","20220527T01:34:35.409+0000","473f7bbc-da5e-4ba4-b958-a961eb824f4c","20220616T09:07:41.182+0000","0ec1c4b3-5c94-40b4-a430-0775aaf9b88a","473f7bbc-da5e-4ba4-b958-a961eb824f4c","","","","","","","","","","","","","","",""
"","","depressus","Onthophagus depressus Harold, 1871","","Onthophagus","","depressus","","Synonym","synonym","Species","","Harold","1871","Y","dfcec113-aa69-4717-a7a1-ff65822398fd","20220527T01:34:35.409+0000","473f7bbc-da5e-4ba4-b958-a961eb824f4c","20220616T09:07:41.182+0000","","68102a8a-00cf-4012-b24b-4eb28156b2fb","Harold, E. von","1871","Diagnosen neuer Coprophagen","114-116","","Coleopterologische Hefte","","","","<!--MARK--><a href='nullc3f7e290-d5b6-4c74-b086-a1fc64021ade' class='mouseoverHref'>Harold, E. von 1871. Diagnosen neuer Coprophagen.</a> <!--MARK--><!--MARK--><a href='null4fb89356-2059-40de-b6cc-f72f3fc806d7' class='mouseoverHref'><em>Coleopterologische Hefte</em></a> <strong>8</strong>: 114-116<!--MARK-->","","Article in Journal","c3f7e290-d5b6-4c74-b086-a1fc64021ade","20081009T05:11:37.000+0000","4fb89356-2059-40de-b6cc-f72f3fc806d7"
"","","carteri","Onthophagus carteri Blackburn, 1904","","Onthophagus","","carteri","","Synonym","synonym","Species","","Blackburn","1904","Y","5b833183-f42b-4069-a9e7-af779435421a","20220527T01:34:35.409+0000","473f7bbc-da5e-4ba4-b958-a961eb824f4c","20220616T09:07:41.182+0000","","867a72c5-a097-4684-bbff-09e831df742e","Blackburn, T.","1904","Revision of the Australian Aphodiides, and descriptions of three new species allied to them","145-181","","Proceedings of the Royal Society of Victoria","","","","<!--MARK--><a href='null62841416-55b5-4df6-8256-f66855c44dfe' class='mouseoverHref'>Blackburn, T. 1904. Revision of the Australian Aphodiides, and descriptions of three new species allied to them.</a> <!--MARK--><!--MARK--><a href='nullce333794-3a02-427f-ba27-346079f1efa0' class='mouseoverHref'><em>Proceedings of the Royal Society of Victoria</em></a> <strong>17</strong>: 145-181<!--MARK-->","","Article in Journal","62841416-55b5-4df6-8256-f66855c44dfe","20081009T05:11:37.000+0000","ce333794-3a02-427f-ba27-346079f1efa0"
"","","depressus","Hamonthophagus depressus (Harold, 1871)","","Hamonthophagus","","depressus","","Generic Combination","","Species","","Harold","1871","N","018a63b0-9ffe-4794-8144-85ebe57773eb","20220527T01:34:35.409+0000","473f7bbc-da5e-4ba4-b958-a961eb824f4c","20220616T09:07:41.182+0000","","98b33fea-375a-4d32-97e9-631798803cee","Roggero, A., Dierkens, M., Barbero, E. & Palestrini, C.","2016","Combined phylogenetic analysis of two new Afrotropical genera of Onthophagini (Coleoptera, Scarabaeidae)","298-320","","Zoological Journal of the Linnean Society","","","","<!--MARK--><a href='null405c47ba-5486-4a0d-aba1-fffb1946daa3' class='mouseoverHref'>Roggero, A., Dierkens, M., Barbero, E. & Palestrini, C. 2016. Combined phylogenetic analysis of two new Afrotropical genera of Onthophagini (Coleoptera, Scarabaeidae).</a> <!--MARK--><!--MARK--><a href='nulle67d43a6-f920-4532-a90d-d3a5ee2662ea' class='mouseoverHref'><em>Zoological Journal of the Linnean Society</em></a> <strong>180</strong>: 298-320<!--MARK-->","","Article in Journal","405c47ba-5486-4a0d-aba1-fffb1946daa3","20190724T07:53:54.494+0000","e67d43a6-f920-4532-a90d-d3a5ee2662ea"
"","","Digitonthophagus","Digitonthophagus Balthasar, 1959","SCARABAEIDAE","Digitonthophagus","","","","Valid Name","","Genus","","Balthasar","1959","Y","f1ef6759-ec4e-40cd-ade5-bd0ee0c816d6","20220527T01:34:35.409+0000","545c26d2-db86-4f8e-8a86-b1057262c3a5","20220616T09:07:41.182+0000","5e9ca519-ffd1-406f-9c91-16202da4eb0b","545c26d2-db86-4f8e-8a86-b1057262c3a5","","","","","","","","","","","","","","",""
"","","Digitonthophagus","Digitonthophagus Balthasar, 1959","","Digitonthophagus","","","","Synonym","synonym","Genus","as subgenus of <I>Onthophagus</I>","Balthasar","1959","Y","f231a511-29d7-4b66-9222-896169a80113","20220527T01:34:35.409+0000","545c26d2-db86-4f8e-8a86-b1057262c3a5","20220616T09:07:41.182+0000","","1de145a4-f346-498f-bc63-a4a3e387af5f","Balthazar, V.","1959","Beitrag zur Kenntniss der Gattung <i>Onthophagus</i>","461-471","","Acta Entomologica Musei Nationalis Pragae","","","","<!--MARK--><a href='nullf37ad3e7-864b-4f86-a1ce-d167cabb6036' class='mouseoverHref'>Balthazar, V. 1959. Beitrag zur Kenntniss der Gattung <i>Onthophagus</i>.</a> <!--MARK--><!--MARK--><a href='null800acc84-1853-4834-bb99-26053db41072' class='mouseoverHref'><em>Acta Entomologica Musei Nationalis Pragae</em></a> <strong>33</strong>: 461-471<!--MARK-->","","Article in Journal","f37ad3e7-864b-4f86-a1ce-d167cabb6036","20081009T05:11:37.000+0000","800acc84-1853-4834-bb99-26053db41072"
"","","gazella","Digitonthophagus gazella (Fabricius, 1787)","SCARABAEIDAE","Digitonthophagus","","gazella","","Valid Name","","Species","","Fabricius","1787","N","9a069604-5d4d-46d8-a8a0-1017b8b691ef","20220527T01:34:35.409+0000","fe18b841-fb31-4546-a1a4-2641b6166d4a","20220616T09:07:41.182+0000","545c26d2-db86-4f8e-8a86-b1057262c3a5","fe18b841-fb31-4546-a1a4-2641b6166d4a","","","","","","","","","","","","","","",""
"","","Gazella Dung Beetle","","","","","","","Common Name","General","Species","","","","","fcfc98df-d754-4882-af59-fceeade872a3","20220527T01:34:35.409+0000","fe18b841-fb31-4546-a1a4-2641b6166d4a","20220616T09:07:41.182+0000","","","","","","","","","","","","","","","","",""
"","","gazella","Scarabaeus gazella Fabricius, 1787","","Scarabaeus","","gazella","","Synonym","synonym","Species","","Fabricius","1787","Y","1509a06c-8092-4482-8a69-8c9c36204a86","20220527T01:34:35.409+0000","fe18b841-fb31-4546-a1a4-2641b6166d4a","20220616T09:07:41.182+0000","","f282cdd5-2f8c-4a50-9f04-e6cbf226e253","Fabricius, J.C.","1787","Mantissa Insectorum sistens eorum species nuper detectas adiectis characteribus genericus, differentiis specificis, emendationibus, observationibus","xx 348 pp.","","","","","Christ. Gottl. Proft.","<!--MARK--><a href='null58de4cc4-c4b8-4707-b1d8-d343d252e14e' class='mouseoverHref'>Fabricius, J.C. 1787. <em>Mantissa Insectorum sistens eorum species nuper detectas adiectis characteribus genericus, differentiis specificis, emendationibus, observationibus</em>. Hafniae : Christ. Gottl. Proft. Vol. 1 xx 348 pp.</a><!--MARK-->","","Book","58de4cc4-c4b8-4707-b1d8-d343d252e14e","20081009T05:11:37.000+0000",""
"","","gazella","Onthophagus gazella (Fabricius, 1787)","","Onthophagus","","gazella","","Generic Combination","","Species","","Fabricius","1787","N","a32c121b-c12e-4e09-a872-62aac55fd252","20220527T01:34:35.409+0000","fe18b841-fb31-4546-a1a4-2641b6166d4a","20220616T09:07:41.182+0000","","","","","","","","","","","","","","","","",""
"","","Onthophagus","Onthophagus Latreille, 1802","SCARABAEIDAE","Onthophagus","","","","Valid Name","","Genus","","Latreille","1802","Y","b56af8ff-8711-4500-965a-66e6a4ba9630","20220527T01:34:35.409+0000","e9425b9d-19a1-49c0-a548-9b68a49917c5","20220616T09:07:41.182+0000","5e9ca519-ffd1-406f-9c91-16202da4eb0b","e9425b9d-19a1-49c0-a548-9b68a49917c5","","","","","","","","","","","","","","",""
