"CAVS_CODE","CAAB_CODE","NAMES_VARIOUS","SCIENTIFIC_NAME","FAMILY","GENUS","SUBGENUS","SPECIES","SUBSPECIES","NAME_TYPE","NAME_SUBTYPE","RANK","QUALIFICATION","AUTHOR","YEAR","ORIG_COMBINATION","NAME_GUID","NAME_LAST_UPDATE","TAXON_GUID","TAXON_LAST_UPDATE","PARENT_TAXON_GUID","CONCEPT_GUID","PUB_PUB_AUTHOR","PUB_PUB_YEAR","PUB_PUB_TITLE","PUB_PUB_PAGES","PUB_PUB_PARENT_BOOK_TITLE","PUB_PUB_PARENT_JOURNAL_TITLE","PUB_PUB_PARENT_ARTICLE_TITLE","PUB_PUB_PUBLICATION_DATE","PUB_PUB_PUBLISHER","PUB_PUB_FORMATTED","PUB_PUB_QUALIFICATION","PUB_PUB_TYPE","PUBLICATION_GUID","PUBLICATION_LAST_UPDATE","PARENT_PUBLICATION_GUID"
"","","Paratracheini","Paratracheini Cobos, 1980","BUPRESTIDAE","","","","","Valid Name","","Tribe","","Cobos","1980","Y","41f35d56-49e6-490c-a4df-b088ef25c631","20220527T01:26:35.499+0000","13e6e5d4-c6ba-4287-a730-cf5a53a13cdb","20220616T09:01:47.481+0000","84f023df-9204-4ef2-99a1-def805319793","13e6e5d4-c6ba-4287-a730-cf5a53a13cdb","","","","","","","","","","","","","","",""
"","","Paratrachysae","Paratrachysae Cobos, 1980","","","","","","Synonym","synonym","Tribe","","Cobos","1980","Y","c47e31f3-cf25-46a8-9e13-c381f60a4f7e","20220527T01:26:35.499+0000","13e6e5d4-c6ba-4287-a730-cf5a53a13cdb","20220616T09:01:47.481+0000","","deb9032a-9fda-468c-8601-8fa19f5b539d","Cobos, A.","1980","Ensayo sobre los géneros de la subfamilia Polycestinae (Coleoptera, Buprestidae) (Parte I)","15-94","","EOS. Revista Española de Entomología","","","","<!--MARK--><a href='null08b2b641-ac00-4f0c-b291-774ab02397a4' class='mouseoverHref'>Cobos, A. 1980. Ensayo sobre los géneros de la subfamilia Polycestinae (Coleoptera, Buprestidae) (Parte I).</a> <!--MARK--><!--MARK--><a href='null29444728-bf0b-46dd-a676-2bea13ff9af8' class='mouseoverHref'><em>EOS. Revista Española de Entomología</em></a> <strong>54</strong>: 15-94<!--MARK-->","","Article in Journal","08b2b641-ac00-4f0c-b291-774ab02397a4","20081009T05:11:37.000+0000","29444728-bf0b-46dd-a676-2bea13ff9af8"
"","","Paratrachys","Paratrachys Saunders, 1873","BUPRESTIDAE","Paratrachys","","","","Valid Name","","Genus","","Saunders","1873","Y","15d02309-32d8-445b-8419-981347336e34","20220527T01:26:35.499+0000","539fddd6-221d-46d0-8778-e0b6e70cdfa7","20220616T09:01:47.481+0000","13e6e5d4-c6ba-4287-a730-cf5a53a13cdb","539fddd6-221d-46d0-8778-e0b6e70cdfa7","","","","","","","","","","","","","","",""
"","","Paratrachys","Paratrachys Saunders, 1873","","Paratrachys","","","","Synonym","synonym","Genus","","Saunders","1873","Y","0d691d6b-6c3c-4fb4-af6f-fb5a5560560b","20220527T01:26:35.499+0000","539fddd6-221d-46d0-8778-e0b6e70cdfa7","20220616T09:01:47.481+0000","","b0423686-86f4-4961-a4c0-920699b9ea94","Saunders, E.","1873","Descriptions of Buprestidae collected in Japan by George Lewis, Esq","509-523","","Journal of the Proceedings of the Linnean Society of London","","","","<!--MARK--><a href='nullf8f2117e-57a7-42f2-8c39-4181ef8778d6' class='mouseoverHref'>Saunders, E. 1873. Descriptions of Buprestidae collected in Japan by George Lewis, Esq.</a> <!--MARK--><!--MARK--><a href='null92d15ae7-ced4-436f-88ca-230e81a9a2cb' class='mouseoverHref'><em>Journal of the Proceedings of the Linnean Society of London</em></a> <strong>11</strong>: 509-523<!--MARK-->","","Article in Journal","f8f2117e-57a7-42f2-8c39-4181ef8778d6","20081009T05:11:37.000+0000","92d15ae7-ced4-436f-88ca-230e81a9a2cb"
"","","Friendiella","Paratrachys (Friendiella) Holynski, 1992","BUPRESTIDAE","Paratrachys","Friendiella","","","Valid Name","","Subgenus","","Holynski","1992","Y","c7aa7884-4229-4b0d-ad69-412fdac7bbbc","20220527T01:26:35.499+0000","36a8aff7-07c0-4be1-bfea-851e692b83a4","20220616T09:01:47.481+0000","539fddd6-221d-46d0-8778-e0b6e70cdfa7","36a8aff7-07c0-4be1-bfea-851e692b83a4","","","","","","","","","","","","","","",""
"","","Friendiella","Friendiella Holynski, 1992","","Friendiella","","","","Synonym","synonym","Subgenus","","Holynski","1992","Y","eca191f0-cd93-4f50-a271-65ab76c67032","20220527T01:26:35.499+0000","36a8aff7-07c0-4be1-bfea-851e692b83a4","20220616T09:01:47.481+0000","","baf1384c-ab68-4a15-b8ac-010fba0623bd","Holynski, R.","1992","A review of the genus <i>Paratrachys</i> Snd. (Coleoptera: Buprestidae)","115-136","","Annals of the Upper Silesian Museum, Entomology","","","","<!--MARK--><a href='null8188cfd1-f78a-4812-a4dd-4fa43af1a8d6' class='mouseoverHref'>Holynski, R. 1992. A review of the genus <i>Paratrachys</i> Snd. (Coleoptera: Buprestidae).</a> <!--MARK--><!--MARK--><a href='null6ce334d9-83ed-42ae-9be6-916c0d7bbfb6' class='mouseoverHref'><em>Annals of the Upper Silesian Museum, Entomology</em></a> <strong>3</strong>: 115-136<!--MARK-->","","Article in Journal","8188cfd1-f78a-4812-a4dd-4fa43af1a8d6","20081009T05:11:37.000+0000","6ce334d9-83ed-42ae-9be6-916c0d7bbfb6"
"","","queenslandica","Paratrachys (Friendiella) queenslandica Bellamy & Williams, 1995","BUPRESTIDAE","Paratrachys","Friendiella","queenslandica","","Valid Name","","Species","","Bellamy & Williams","1995","Y","65763979-5ca9-420d-abb7-f00fabebf958","20220527T01:26:35.499+0000","bcf845ea-2fe7-41e5-a5c1-d88b6ad631a9","20220616T09:01:47.481+0000","36a8aff7-07c0-4be1-bfea-851e692b83a4","bcf845ea-2fe7-41e5-a5c1-d88b6ad631a9","","","","","","","","","","","","","","",""
"","","queenslandica","Paratrachys (Friendiella) queenslandica Bellamy & Williams, 1995","","Paratrachys","Friendiella","queenslandica","","Synonym","synonym","Species","","Bellamy & Williams","1995","Y","31dfadc1-ad90-422f-9f49-bb47a726a27a","20220527T01:26:35.499+0000","bcf845ea-2fe7-41e5-a5c1-d88b6ad631a9","20220616T09:01:47.481+0000","","748bfdc3-e526-4fdf-9329-f5de636cc5a6","Bellamy, C.L. & Williams, G.A.","1995","The first Australian <i>Paratrachys</i> (Coleoptera: Buprestidae), with comments on the higher classification of the genus","1265-1276","","Invertebrate Taxonomy","","","","<!--MARK--><a href='nulld97aa5dd-d8db-4450-96c4-8b6025f700b1' class='mouseoverHref'>Bellamy, C.L. & Williams, G.A. 1995. The first Australian <i>Paratrachys</i> (Coleoptera: Buprestidae), with comments on the higher classification of the genus.</a> <!--MARK--><!--MARK--><a href='null9846f41b-d755-4682-9049-5e59d363951b' class='mouseoverHref'><em>Invertebrate Taxonomy</em></a> <strong>9</strong>: 1265-1276<!--MARK-->","","Article in Journal","d97aa5dd-d8db-4450-96c4-8b6025f700b1","20081009T05:11:37.000+0000","9846f41b-d755-4682-9049-5e59d363951b"
"","","Paratrachys","Paratrachys (Paratrachys) Saunders, 1873","BUPRESTIDAE","Paratrachys","Paratrachys","","","Valid Name","","Subgenus","","Saunders","1873","Y","3fd024bb-3c8f-4aa2-8a7d-1fe596de2f45","20220527T01:26:35.499+0000","5a0cd1da-0857-4ef9-ac9b-ec4bf8eba8b2","20220616T09:01:47.481+0000","539fddd6-221d-46d0-8778-e0b6e70cdfa7","5a0cd1da-0857-4ef9-ac9b-ec4bf8eba8b2","","","","","","","","","","","","","","",""
"","","Paratrachys","Paratrachys Saunders, 1873","","Paratrachys","","","","Synonym","synonym","Subgenus","","Saunders","1873","Y","02748b0d-1894-4e22-bfd5-03472d26f0ac","20220527T01:26:35.499+0000","5a0cd1da-0857-4ef9-ac9b-ec4bf8eba8b2","20220616T09:01:47.481+0000","","aa8eb4fe-232a-4052-9957-961aede475d2","Saunders, E.","1873","Descriptions of Buprestidae collected in Japan by George Lewis, Esq","509-523","","Journal of the Proceedings of the Linnean Society of London","","","","<!--MARK--><a href='nullf8f2117e-57a7-42f2-8c39-4181ef8778d6' class='mouseoverHref'>Saunders, E. 1873. Descriptions of Buprestidae collected in Japan by George Lewis, Esq.</a> <!--MARK--><!--MARK--><a href='null92d15ae7-ced4-436f-88ca-230e81a9a2cb' class='mouseoverHref'><em>Journal of the Proceedings of the Linnean Society of London</em></a> <strong>11</strong>: 509-523<!--MARK-->","","Article in Journal","f8f2117e-57a7-42f2-8c39-4181ef8778d6","20081009T05:11:37.000+0000","92d15ae7-ced4-436f-88ca-230e81a9a2cb"
