"CAVS_CODE","CAAB_CODE","NAMES_VARIOUS","SCIENTIFIC_NAME","FAMILY","GENUS","SUBGENUS","SPECIES","SUBSPECIES","NAME_TYPE","NAME_SUBTYPE","RANK","QUALIFICATION","AUTHOR","YEAR","ORIG_COMBINATION","NAME_GUID","NAME_LAST_UPDATE","TAXON_GUID","TAXON_LAST_UPDATE","PARENT_TAXON_GUID","CONCEPT_GUID","PUB_PUB_AUTHOR","PUB_PUB_YEAR","PUB_PUB_TITLE","PUB_PUB_PAGES","PUB_PUB_PARENT_BOOK_TITLE","PUB_PUB_PARENT_JOURNAL_TITLE","PUB_PUB_PARENT_ARTICLE_TITLE","PUB_PUB_PUBLICATION_DATE","PUB_PUB_PUBLISHER","PUB_PUB_FORMATTED","PUB_PUB_QUALIFICATION","PUB_PUB_TYPE","PUBLICATION_GUID","PUBLICATION_LAST_UPDATE","PARENT_PUBLICATION_GUID"
"","","RHAPHIDOPHORIDAE","RHAPHIDOPHORIDAE Walker, 1869","","","","","","Valid Name","","Family","","Walker","1869","Y","2ae79820-175f-4c95-84d9-15a2b9498081","20210408T03:05:27.966+0000","0a4246e7-0b55-45d2-9440-eb709398eead","20210601T09:46:01.021+0000","c7518cd5-7d94-4608-97d6-38792279f8d3","0a4246e7-0b55-45d2-9440-eb709398eead","","","","","","","","","","","","","","",""
"","","Macropathinae","Macropathinae Karny, 1930","RHAPHIDOPHORIDAE","","","","","Valid Name","","Subfamily","","Karny","1930","Y","a0ac6173-87bf-4c45-9d07-b36f044cd231","20210408T03:05:27.966+0000","1eb0e9c4-830b-4aff-9250-78b794fb496d","20210601T09:46:01.021+0000","0a4246e7-0b55-45d2-9440-eb709398eead","1eb0e9c4-830b-4aff-9250-78b794fb496d","","","","","","","","","","","","","","",""
"","","Macropathini","Macropathini Karny, 1930","RHAPHIDOPHORIDAE","","","","","Valid Name","","Tribe","","Karny","1930","Y","bc25647c-ec53-47dd-ad52-8351a888c4b5","20210408T03:05:27.966+0000","22a34989-275e-4eb6-ad92-8e59c0304046","20210601T09:46:01.021+0000","1eb0e9c4-830b-4aff-9250-78b794fb496d","22a34989-275e-4eb6-ad92-8e59c0304046","","","","","","","","","","","","","","",""
"","","Australotettix","Australotettix Richards, 1965","RHAPHIDOPHORIDAE","Australotettix","","","","Valid Name","","Genus","","Richards","1965","Y","66695a85-2bdb-46a5-a898-95273b82289f","20210408T03:05:27.966+0000","c9fcfa74-c322-44e8-adfb-a606a7764c3d","20210601T09:46:01.021+0000","22a34989-275e-4eb6-ad92-8e59c0304046","c9fcfa74-c322-44e8-adfb-a606a7764c3d","","","","","","","","","","","","","","",""
"","","Australotettix","Australotettix Richards, 1965","","Australotettix","","","","Synonym","synonym","Genus","","Richards","1965","Y","e448c6b7-dee3-43aa-83ff-6969221eaf32","20210408T03:05:27.966+0000","c9fcfa74-c322-44e8-adfb-a606a7764c3d","20210601T09:46:01.021+0000","","9271f127-d342-446b-b910-d36b3529056a","Richards, A.M.","1965","The Rhaphidophoridae (Orthoptera) of Australia. Part 2. A new genus","373-379","","Proceedings of the Linnean Society of New South Wales","","","","<!--MARK--><a href='null1d5bcce9-7aa9-435e-ab9f-65ffef1c5240' class='mouseoverHref'>Richards, A.M. 1965. The Rhaphidophoridae (Orthoptera) of Australia. Part 2. A new genus.</a> <!--MARK--><!--MARK--><a href='nullc12cd779-adb5-41ea-bd2c-75f6864cf22e' class='mouseoverHref'><em>Proceedings of the Linnean Society of New South Wales</em></a> <strong>89</strong>: 373-379<!--MARK--> [dated 1964]","dated 1964","Article in Journal","1d5bcce9-7aa9-435e-ab9f-65ffef1c5240","20081009T05:11:37.000+0000","c12cd779-adb5-41ea-bd2c-75f6864cf22e"
"","","carraiensis","Australotettix carraiensis Richards, 1965","RHAPHIDOPHORIDAE","Australotettix","","carraiensis","","Valid Name","","Species","","Richards","1965","Y","2066b8bf-2699-4e4c-8511-205f9cf9df15","20210408T03:05:27.966+0000","45d093d8-9e21-42ec-bf70-086dbf62356a","20210601T09:46:01.021+0000","c9fcfa74-c322-44e8-adfb-a606a7764c3d","45d093d8-9e21-42ec-bf70-086dbf62356a","","","","","","","","","","","","","","",""
"","","carraiensis","Australotettix carraiensis Richards, 1965","","Australotettix","","carraiensis","","Synonym","synonym","Species","","Richards","1965","Y","27b008b0-0759-4364-a75b-bf53e06d31b2","20210408T03:05:27.966+0000","45d093d8-9e21-42ec-bf70-086dbf62356a","20210601T09:46:01.021+0000","","e08c4f6a-4d87-4466-b93a-594ee222b367","Richards, A.M.","1965","The Rhaphidophoridae (Orthoptera) of Australia. Part 2. A new genus","373-379","","Proceedings of the Linnean Society of New South Wales","","","","<!--MARK--><a href='null1d5bcce9-7aa9-435e-ab9f-65ffef1c5240' class='mouseoverHref'>Richards, A.M. 1965. The Rhaphidophoridae (Orthoptera) of Australia. Part 2. A new genus.</a> <!--MARK--><!--MARK--><a href='nullc12cd779-adb5-41ea-bd2c-75f6864cf22e' class='mouseoverHref'><em>Proceedings of the Linnean Society of New South Wales</em></a> <strong>89</strong>: 373-379<!--MARK--> [dated 1964]","dated 1964","Article in Journal","1d5bcce9-7aa9-435e-ab9f-65ffef1c5240","20081009T05:11:37.000+0000","c12cd779-adb5-41ea-bd2c-75f6864cf22e"
"","","montanus","Australotettix montanus Richards, 1965","RHAPHIDOPHORIDAE","Australotettix","","montanus","","Valid Name","","Species","","Richards","1965","Y","83fc3b2c-4402-43d0-b08b-33b0a5305461","20210408T03:05:27.966+0000","3f7b03ab-571e-4790-ac0e-a229f237397e","20210601T09:46:01.021+0000","c9fcfa74-c322-44e8-adfb-a606a7764c3d","3f7b03ab-571e-4790-ac0e-a229f237397e","","","","","","","","","","","","","","",""
"","","montanus","Australotettix montanus Richards, 1965","","Australotettix","","montanus","","Synonym","synonym","Species","","Richards","1965","Y","7397c83f-f2b7-4d90-b0aa-2170169f3846","20210408T03:05:27.966+0000","3f7b03ab-571e-4790-ac0e-a229f237397e","20210601T09:46:01.021+0000","","1f0b1c9f-d209-48fd-9257-92093a373676","Richards, A.M.","1965","The Rhaphidophoridae (Orthoptera) of Australia. Part 2. A new genus","373-379","","Proceedings of the Linnean Society of New South Wales","","","","<!--MARK--><a href='null1d5bcce9-7aa9-435e-ab9f-65ffef1c5240' class='mouseoverHref'>Richards, A.M. 1965. The Rhaphidophoridae (Orthoptera) of Australia. Part 2. A new genus.</a> <!--MARK--><!--MARK--><a href='nullc12cd779-adb5-41ea-bd2c-75f6864cf22e' class='mouseoverHref'><em>Proceedings of the Linnean Society of New South Wales</em></a> <strong>89</strong>: 373-379<!--MARK--> [dated 1964]","dated 1964","Article in Journal","1d5bcce9-7aa9-435e-ab9f-65ffef1c5240","20081009T05:11:37.000+0000","c12cd779-adb5-41ea-bd2c-75f6864cf22e"
"","","Cavernotettix","Cavernotettix Richards, 1966","RHAPHIDOPHORIDAE","Cavernotettix","","","","Valid Name","","Genus","","Richards","1966","Y","ce33732c-59cd-45d4-8336-9bb61c2e7c48","20210408T03:05:27.966+0000","7cba13be-0810-4817-a925-33745ca7ca99","20210601T09:46:01.021+0000","22a34989-275e-4eb6-ad92-8e59c0304046","7cba13be-0810-4817-a925-33745ca7ca99","","","","","","","","","","","","","","",""
"","","Cavernotettix","Cavernotettix Richards, 1966","","Cavernotettix","","","","Synonym","synonym","Genus","","Richards","1966","Y","783610ba-4030-4b2b-9653-e485db708344","20210408T03:05:27.966+0000","7cba13be-0810-4817-a925-33745ca7ca99","20210601T09:46:01.021+0000","","79c1517d-64c5-453b-a1dd-85b967f57b07","Richards, A.M.","1966","The Rhaphidophoridae (Orthoptera) of Australia part 3. A new genus from south-eastern Australia","617-628","","Pacific Science","","","","<!--MARK--><a href='nulled276fb6-7d7f-4825-a96d-f7ce6c90d90e' class='mouseoverHref'>Richards, A.M. 1966. The Rhaphidophoridae (Orthoptera) of Australia part 3. A new genus from south-eastern Australia.</a> <!--MARK--><!--MARK--><a href='nullcc032c8b-89bc-474b-8046-90fbdaad884c' class='mouseoverHref'><em>Pacific Science</em></a> <strong>8</strong>(3): 617-628<!--MARK-->","","Article in Journal","ed276fb6-7d7f-4825-a96d-f7ce6c90d90e","20081009T05:11:37.000+0000","cc032c8b-89bc-474b-8046-90fbdaad884c"
"","","buchanensis","Cavernotettix buchanensis Richards, 1966","RHAPHIDOPHORIDAE","Cavernotettix","","buchanensis","","Valid Name","","Species","","Richards","1966","Y","99577ba0-3f24-443e-b30e-580b5f01f6ea","20210408T03:05:27.966+0000","5f5b7a2d-bf1b-4044-a3fe-b0e0fbae7dc5","20210601T09:46:01.021+0000","7cba13be-0810-4817-a925-33745ca7ca99","5f5b7a2d-bf1b-4044-a3fe-b0e0fbae7dc5","","","","","","","","","","","","","","",""
"","","buchanensis","Cavernotettix buchanensis Richards, 1966","","Cavernotettix","","buchanensis","","Synonym","synonym","Species","","Richards","1966","Y","01176014-68ff-452e-81e2-af50a3546758","20210408T03:05:27.966+0000","5f5b7a2d-bf1b-4044-a3fe-b0e0fbae7dc5","20210601T09:46:01.021+0000","","fa06b0ec-7349-40e1-a735-a0d6c95b6275","Richards, A.M.","1966","The Rhaphidophoridae (Orthoptera) of Australia part 3. A new genus from south-eastern Australia","617-628","","Pacific Science","","","","<!--MARK--><a href='nulled276fb6-7d7f-4825-a96d-f7ce6c90d90e' class='mouseoverHref'>Richards, A.M. 1966. The Rhaphidophoridae (Orthoptera) of Australia part 3. A new genus from south-eastern Australia.</a> <!--MARK--><!--MARK--><a href='nullcc032c8b-89bc-474b-8046-90fbdaad884c' class='mouseoverHref'><em>Pacific Science</em></a> <strong>8</strong>(3): 617-628<!--MARK-->","","Article in Journal","ed276fb6-7d7f-4825-a96d-f7ce6c90d90e","20081009T05:11:37.000+0000","cc032c8b-89bc-474b-8046-90fbdaad884c"
"","","craggiensis","Cavernotettix craggiensis Richards, 1974","RHAPHIDOPHORIDAE","Cavernotettix","","craggiensis","","Valid Name","","Species","","Richards","1974","Y","834500c7-07c6-41a4-b5f7-fad31aa46969","20210408T03:05:27.966+0000","8de75e25-aaa2-49fa-867d-bad2459f83f3","20210601T09:46:01.021+0000","7cba13be-0810-4817-a925-33745ca7ca99","8de75e25-aaa2-49fa-867d-bad2459f83f3","","","","","","","","","","","","","","",""
"","","craggiensis","Cavernotettix craggiensis Richards, 1974","","Cavernotettix","","craggiensis","","Synonym","synonym","Species","","Richards","1974","Y","ebaf8e5e-2214-44ea-a6eb-10d6cab7218e","20210408T03:05:27.966+0000","8de75e25-aaa2-49fa-867d-bad2459f83f3","20210601T09:46:01.021+0000","","da83bcbb-5d71-4a83-9487-338a9460d6eb","Richards, A.M.","1974","The Rhaphidophoridae (Orthoptera) of Australia. Part II. New species from the Bass Strait islands and Tasmania","245-260","","Pacific Science","","","","<!--MARK--><a href='null13cd0708-d91a-4a1b-9cb1-3da1c72be5eb' class='mouseoverHref'>Richards, A.M. 1974. The Rhaphidophoridae (Orthoptera) of Australia. Part II. New species from the Bass Strait islands and Tasmania.</a> <!--MARK--><!--MARK--><a href='nullcc032c8b-89bc-474b-8046-90fbdaad884c' class='mouseoverHref'><em>Pacific Science</em></a> <strong>16</strong>(2-3): 245-260<!--MARK-->","","Article in Journal","13cd0708-d91a-4a1b-9cb1-3da1c72be5eb","20081009T05:11:37.000+0000","cc032c8b-89bc-474b-8046-90fbdaad884c"
