"CAVS_CODE","CAAB_CODE","NAMES_VARIOUS","SCIENTIFIC_NAME","FAMILY","GENUS","SUBGENUS","SPECIES","SUBSPECIES","NAME_TYPE","NAME_SUBTYPE","RANK","QUALIFICATION","AUTHOR","YEAR","ORIG_COMBINATION","NAME_GUID","NAME_LAST_UPDATE","TAXON_GUID","TAXON_LAST_UPDATE","PARENT_TAXON_GUID","CONCEPT_GUID","PUB_PUB_AUTHOR","PUB_PUB_YEAR","PUB_PUB_TITLE","PUB_PUB_PAGES","PUB_PUB_PARENT_BOOK_TITLE","PUB_PUB_PARENT_JOURNAL_TITLE","PUB_PUB_PARENT_ARTICLE_TITLE","PUB_PUB_PUBLICATION_DATE","PUB_PUB_PUBLISHER","PUB_PUB_FORMATTED","PUB_PUB_QUALIFICATION","PUB_PUB_TYPE","PUBLICATION_GUID","PUBLICATION_LAST_UPDATE","PARENT_PUBLICATION_GUID"
"","","SESARMIDAE","SESARMIDAE Dana, 1851","","","","","","Valid Name","","Family","","Dana","1851","Y","5810d591-bb41-4c9e-9df2-9dd019f8fb25","20220510T08:28:17.473+0000","effc8fbe-eeb3-4d29-a2e4-cad508ac093b","20220510T08:28:17.473+0000","2c5630c1-6176-451e-82c0-5d6dbf1c266f","effc8fbe-eeb3-4d29-a2e4-cad508ac093b","","","","","","","","","","","","","","",""
"","","Sesarminae","Sesarminae Dana, 1851","Sesarminae","","","","","Synonym","synonym","Family","","Dana","1851","Y","bc35248a-5e0b-443c-b568-034a345726f4","20220504T01:21:58.041+0000","effc8fbe-eeb3-4d29-a2e4-cad508ac093b","20220510T08:28:17.473+0000","","cc916922-ec51-45f3-a1ed-373524cd2237","Dana, J.D.","1851","On the classification of the Crustacea Grapsoidea","283-290","","American Journal of Science and Arts","","","","<!--MARK--><a href='../../../../publication/035c7e20-8ca9-4b3d-a771-f9b60be724e6' class='mouseoverHref'>Dana, J.D. 1851. On the classification of the Crustacea Grapsoidea.</a> <!--MARK--><!--MARK--><a href='../../../../publication/a4b57759-bfef-4187-bf77-d4db5e70c9cc' class='mouseoverHref'><em>American Journal of Science and Arts</em></a> <strong>12</strong>: 283-290<!--MARK-->","","Article in Journal","035c7e20-8ca9-4b3d-a771-f9b60be724e6","20081009T05:11:37.000+0000","a4b57759-bfef-4187-bf77-d4db5e70c9cc"
"","","Leptarma","Leptarma Shahdadi, Fratini & Schubart, 2020","SESARMIDAE","Leptarma","","","","Valid Name","","Genus","","Shahdadi, Fratini & Schubart","2020","Y","72124b37-e7f9-4f67-bad5-e4ff85770237","20220504T01:21:58.041+0000","31b37037-d6ef-4764-a216-1d64384059fb","20220510T08:28:17.473+0000","effc8fbe-eeb3-4d29-a2e4-cad508ac093b","31b37037-d6ef-4764-a216-1d64384059fb","","","","","","","","","","","","","","",""
"","","Leptarma","Leptarma Shahdadi, Fratini & Schubart, 2020","SESARMIDAE","Leptarma","","","","Synonym","synonym","Genus","","Shahdadi, Fratini & Schubart","2020","Y","abc1d4b5-e827-457e-adf4-ec8619f5b7ae","20220504T01:21:58.041+0000","31b37037-d6ef-4764-a216-1d64384059fb","20220510T08:28:17.473+0000","","9521479a-d8d8-44a3-9877-b7aee816eb90","Shahdadi, A., Fratini, S. & Schubart, C.D.","2020","Taxonomic reassessment of <i>Parasesarma</i> (Crustacea: Brachyura: Decapoda: Sesarmidae) based on genetic and morphological comparisons, with the description of a new genus","1-36","","Zoological Journal of the Linnean Society","","","","<!--MARK--><a href='../../../../publication/d68504cc-dd01-438a-a595-5df1730fb388' class='mouseoverHref'>Shahdadi, A., Fratini, S. & Schubart, C.D. 2020. Taxonomic reassessment of <i>Parasesarma</i> (Crustacea: Brachyura: Decapoda: Sesarmidae) based on genetic and morphological comparisons, with the description of a new genus.</a> <!--MARK--><!--MARK--><a href='../../../../publication/e67d43a6-f920-4532-a90d-d3a5ee2662ea' class='mouseoverHref'><em>Zoological Journal of the Linnean Society</em></a> <strong>XX</strong>: 1-36<!--MARK-->","","Article in Journal","d68504cc-dd01-438a-a595-5df1730fb388","20200714T01:07:52.393+0000","e67d43a6-f920-4532-a90d-d3a5ee2662ea"
"","","moluccensis","Leptarma moluccensis (De Man, 1892)","SESARMIDAE","Leptarma","","moluccensis","","Valid Name","","Species","","De Man","1892","N","8fb4e883-cd45-4b98-b9e2-941b3ab4b763","20220504T01:21:58.041+0000","4df3293e-8e46-4949-a769-deaff224e937","20220510T08:28:17.473+0000","31b37037-d6ef-4764-a216-1d64384059fb","4df3293e-8e46-4949-a769-deaff224e937","","","","","","","","","","","","","","",""
"","","moluccensis","Sesarma (Parasesarma) melissa moluccensis de Man, 1892","","Sesarma","Parasesarma","melissa","moluccensis","Synonym","synonym","Species","","de Man","1892","Y","0430b4bf-5b02-47ae-b4f1-43ad8b486e4a","20220504T01:21:58.041+0000","4df3293e-8e46-4949-a769-deaff224e937","20220510T08:28:17.473+0000","","474c8816-675f-4ef1-9634-5a200da5f5fa","de Man, J.G.","1892","Decapoden des Indischen Archipels","265-527 pls 15-29","Zoologische Ergebnisse einer Reise nach Niederländisch Ost-Indien","","","","","<!--MARK--><a href='../../../../publication/d66c38ab-614f-440a-8b87-659bbbf44ae4' class='mouseoverHref'>de Man, J.G. 1892. Decapoden des Indischen Archipels. 265-527 pls 15-29</a> <!--MARK--><em>in</em> <!--MARK--><a href='../../../../publication/36498310-b2a7-4a62-8000-496f52985b5d' class='mouseoverHref'>Weber, M. (ed.). <em>Zoologische Ergebnisse einer Reise nach Niederländisch Ost-Indien</em>. Leiden : E.J. Brill Vol. 2.</a><!--MARK-->","","Chapter in Book","d66c38ab-614f-440a-8b87-659bbbf44ae4","20081009T05:11:37.000+0000","36498310-b2a7-4a62-8000-496f52985b5d"
"","","moluccensis","Leptarma moluccensis (De Man, 1892)","","Leptarma","","moluccensis","","Generic Combination","","Species","","De Man","1892","N","c01dde52-2d15-494b-8160-9541b398347f","20220504T01:21:58.041+0000","4df3293e-8e46-4949-a769-deaff224e937","20220510T08:28:17.473+0000","","e248edfb-9726-4e48-8b1f-4e68eb3ef953","Shahdadi, A., Fratini, S. & Schubart, C.D.","2020","Taxonomic reassessment of <i>Parasesarma</i> (Crustacea: Brachyura: Decapoda: Sesarmidae) based on genetic and morphological comparisons, with the description of a new genus","1-36","","Zoological Journal of the Linnean Society","","","","<!--MARK--><a href='../../../../publication/d68504cc-dd01-438a-a595-5df1730fb388' class='mouseoverHref'>Shahdadi, A., Fratini, S. & Schubart, C.D. 2020. Taxonomic reassessment of <i>Parasesarma</i> (Crustacea: Brachyura: Decapoda: Sesarmidae) based on genetic and morphological comparisons, with the description of a new genus.</a> <!--MARK--><!--MARK--><a href='../../../../publication/e67d43a6-f920-4532-a90d-d3a5ee2662ea' class='mouseoverHref'><em>Zoological Journal of the Linnean Society</em></a> <strong>XX</strong>: 1-36<!--MARK-->","","Article in Journal","d68504cc-dd01-438a-a595-5df1730fb388","20200714T01:07:52.393+0000","e67d43a6-f920-4532-a90d-d3a5ee2662ea"
"","","lenzii","Leptarma lenzii (de Man, 1895)","SESARMIDAE","Leptarma","","lenzii","","Valid Name","","Species","","de Man","1895","N","97500370-c012-48f3-a123-ea4264ac4de2","20220504T01:21:58.041+0000","d3c9147d-0f46-4103-8df4-4efd86030d76","20220510T08:28:17.473+0000","31b37037-d6ef-4764-a216-1d64384059fb","d3c9147d-0f46-4103-8df4-4efd86030d76","","","","","","","","","","","","","","",""
"","","lenzii","Sesarma (Parasesarma) lenzii de Man, 1895","","Sesarma","Parasesarma","lenzii","","Synonym","synonym","Species","","de Man","1895","Y","6df8b591-e003-40bb-b63d-2210ca3cee46","20220504T01:21:58.041+0000","d3c9147d-0f46-4103-8df4-4efd86030d76","20220510T08:28:17.473+0000","","65f69293-4353-4387-9a11-5b14bfd8c8db","de Man, J.G.","1895","Bericht über die von herrn Schiffscapitän Storm zu Atjeh, an den westlichen Küsten von Malakka, Borneo und Celebes sowie in der Java-See gesammelten Decapoden und Stomatopoden (Part 2)","75-218 figs 16-39","","Zoologische Jahrbücher. Abteilung für Systematik, Ökologie und Geographie der Tiere","","","","<!--MARK--><a href='../../../../publication/6653a074-e224-4711-a1b0-6f8ddb9e2d16' class='mouseoverHref'>de Man, J.G. 1895. Bericht über die von herrn Schiffscapitän Storm zu Atjeh, an den westlichen Küsten von Malakka, Borneo und Celebes sowie in der Java-See gesammelten Decapoden und Stomatopoden (Part 2).</a> <!--MARK--><!--MARK--><a href='../../../../publication/8239b0aa-2466-48ea-b8da-666254d12409' class='mouseoverHref'><em>Zoologische Jahrbücher. Abteilung für Systematik, Ökologie und Geographie der Tiere</em></a> <strong>9</strong>: 75-218 figs 16-39<!--MARK-->","","Article in Journal","6653a074-e224-4711-a1b0-6f8ddb9e2d16","20081009T05:11:37.000+0000","8239b0aa-2466-48ea-b8da-666254d12409"
"","","lenzii","Leptarma lenzii (de Man, 1895)","","Leptarma","","lenzii","","Generic Combination","","Species","","de Man","1895","N","015b6974-033e-477a-861f-0f21f6efbc7b","20220504T01:21:58.041+0000","d3c9147d-0f46-4103-8df4-4efd86030d76","20220510T08:28:17.473+0000","","2598768b-1c7f-430e-8a07-0acf1b2cc3b2","Shahdadi, A., Fratini, S. & Schubart, C.D.","2020","Taxonomic reassessment of <i>Parasesarma</i> (Crustacea: Brachyura: Decapoda: Sesarmidae) based on genetic and morphological comparisons, with the description of a new genus","1-36","","Zoological Journal of the Linnean Society","","","","<!--MARK--><a href='../../../../publication/d68504cc-dd01-438a-a595-5df1730fb388' class='mouseoverHref'>Shahdadi, A., Fratini, S. & Schubart, C.D. 2020. Taxonomic reassessment of <i>Parasesarma</i> (Crustacea: Brachyura: Decapoda: Sesarmidae) based on genetic and morphological comparisons, with the description of a new genus.</a> <!--MARK--><!--MARK--><a href='../../../../publication/e67d43a6-f920-4532-a90d-d3a5ee2662ea' class='mouseoverHref'><em>Zoological Journal of the Linnean Society</em></a> <strong>XX</strong>: 1-36<!--MARK-->","","Article in Journal","d68504cc-dd01-438a-a595-5df1730fb388","20200714T01:07:52.393+0000","e67d43a6-f920-4532-a90d-d3a5ee2662ea"
