"CAVS_CODE","CAAB_CODE","NAMES_VARIOUS","SCIENTIFIC_NAME","FAMILY","GENUS","SUBGENUS","SPECIES","SUBSPECIES","NAME_TYPE","NAME_SUBTYPE","RANK","QUALIFICATION","AUTHOR","YEAR","ORIG_COMBINATION","NAME_GUID","NAME_LAST_UPDATE","TAXON_GUID","TAXON_LAST_UPDATE","PARENT_TAXON_GUID","CONCEPT_GUID","PUB_PUB_AUTHOR","PUB_PUB_YEAR","PUB_PUB_TITLE","PUB_PUB_PAGES","PUB_PUB_PARENT_BOOK_TITLE","PUB_PUB_PARENT_JOURNAL_TITLE","PUB_PUB_PARENT_ARTICLE_TITLE","PUB_PUB_PUBLICATION_DATE","PUB_PUB_PUBLISHER","PUB_PUB_FORMATTED","PUB_PUB_QUALIFICATION","PUB_PUB_TYPE","PUBLICATION_GUID","PUBLICATION_LAST_UPDATE","PARENT_PUBLICATION_GUID"
"","","SMITTINOIDEA","SMITTINOIDEA Levinsen, 1909","","","","","","Valid Name","","Superfamily","","Levinsen","1909","Y","5fb57799-9cdc-40c8-b076-998658e25803","20190711T01:49:44.310+0000","4179dae9-343a-4831-b7e1-e72b93219692","20190711T04:05:54.657+0000","5ad0644f-8f42-4607-a0f0-77a799106972","4179dae9-343a-4831-b7e1-e72b93219692","","","","","","","","","","","","","","",""
"","","BITECTIPORIDAE","BITECTIPORIDAE MacGillivray, 1895","","","","","","Valid Name","","Family","","MacGillivray","1895","Y","d4605473-2196-43ba-9c1f-a8eb8068ba0e","20190711T01:49:44.310+0000","b20c9052-616c-4645-b508-007986cfb00f","20190711T04:05:54.657+0000","4179dae9-343a-4831-b7e1-e72b93219692","b20c9052-616c-4645-b508-007986cfb00f","","","","","","","","","","","","","","",""
"","","Bitectiporidae","Bitectiporidae MacGillivray, 1895","Bitectiporidae","","","","","Synonym","synonym","Family","","MacGillivray","1895","Y","f07fb074-59dc-4749-ac07-19a8b30b4628","20190711T01:49:44.310+0000","b20c9052-616c-4645-b508-007986cfb00f","20190711T04:05:54.657+0000","","8943ef8a-8ac5-409d-a6cc-62e15121d165","Macgillivray, P.H.","1895","A monograph of the Tertiary Polyzoa of Victoria","1-166","","Transactions of the Royal Society of Victoria","","","","<!--MARK--><a href='../../../../publication/f26b5134-6a2e-402e-87dc-19ddd9dd4b27' class='mouseoverHref'>Macgillivray, P.H. 1895. A monograph of the Tertiary Polyzoa of Victoria.</a> <!--MARK--><!--MARK--><a href='../../../../publication/ab4e677f-c151-45fb-ad9a-363a77743023' class='mouseoverHref'><em>Transactions of the Royal Society of Victoria</em></a> ns <strong>4</strong>: 1-166<!--MARK-->","","Article in Journal","f26b5134-6a2e-402e-87dc-19ddd9dd4b27","","ab4e677f-c151-45fb-ad9a-363a77743023"
"","","Hippoporinidae","Hippoporinidae Brown, 1952","Hippoporinidae","","","","","Synonym","synonym","Family","","Brown","1952","Y","5d9239f6-3047-4f32-8528-06e57038ae7f","20190711T01:49:44.310+0000","b20c9052-616c-4645-b508-007986cfb00f","20190711T04:05:54.657+0000","","b012b365-508a-463c-b15e-ea81b4a4b4be","Brown, D.A.","1952","The Tertiary cheilostomatous Polyzoa of New Zealand","405 pp.","","","","","Trustees of the British Museum (Natural History)","<!--MARK--><a href='../../../../publication/de3a62f9-e8a2-4961-9378-b6d8057f448d' class='mouseoverHref'>Brown, D.A. 1952. <em>The Tertiary cheilostomatous Polyzoa of New Zealand</em>. London : Trustees of the British Museum (Natural History) 405 pp.</a><!--MARK-->","","Book","de3a62f9-e8a2-4961-9378-b6d8057f448d","",""
"","","Bitectipora","Bitectipora MacGillivray, 1895","BITECTIPORIDAE","Bitectipora","","","","Valid Name","","Genus","","MacGillivray","1895","Y","0f589fca-6adf-4349-875c-bf31ead2c13f","20190711T01:49:44.310+0000","8126eb42-8f97-4277-b757-57f4182bb4ca","20190711T04:05:54.657+0000","b20c9052-616c-4645-b508-007986cfb00f","8126eb42-8f97-4277-b757-57f4182bb4ca","","","","","","","","","","","","","","",""
"","","Bitectipora","Bitectipora MacGillivray, 1895","","Bitectipora","","","","Synonym","synonym","Genus","","MacGillivray","1895","Y","f7ff3cde-0f1c-4745-a57b-c419ee99227d","20190711T01:49:44.310+0000","8126eb42-8f97-4277-b757-57f4182bb4ca","20190711T04:05:54.657+0000","","6fb031d9-ccfc-4a9e-a0c5-cea4c5615ce6","Macgillivray, P.H.","1895","A monograph of the Tertiary Polyzoa of Victoria","1-166","","Transactions of the Royal Society of Victoria","","","","<!--MARK--><a href='../../../../publication/f26b5134-6a2e-402e-87dc-19ddd9dd4b27' class='mouseoverHref'>Macgillivray, P.H. 1895. A monograph of the Tertiary Polyzoa of Victoria.</a> <!--MARK--><!--MARK--><a href='../../../../publication/ab4e677f-c151-45fb-ad9a-363a77743023' class='mouseoverHref'><em>Transactions of the Royal Society of Victoria</em></a> ns <strong>4</strong>: 1-166<!--MARK-->","","Article in Journal","f26b5134-6a2e-402e-87dc-19ddd9dd4b27","","ab4e677f-c151-45fb-ad9a-363a77743023"
"","","rostrata","Bitectipora rostrata (MacGillivray, 1887)","BITECTIPORIDAE","Bitectipora","","rostrata","","Valid Name","","Species","","MacGillivray","1887","N","53cbe578-4dc3-421e-bb95-26ed0d29d114","20190711T01:49:44.310+0000","7e5e9c9c-7280-4b42-82aa-c7399a0a2b2e","20190711T04:05:54.657+0000","8126eb42-8f97-4277-b757-57f4182bb4ca","7e5e9c9c-7280-4b42-82aa-c7399a0a2b2e","","","","","","","","","","","","","","",""
"","","rostrata","Schizoporella rostrata MacGillivray, 1887","","Schizoporella","","rostrata","","Synonym","synonym","Species","","MacGillivray","1887","Y","3b2f55e0-1d54-4e52-bf0b-1e12a1403fe0","20190711T01:49:44.310+0000","7e5e9c9c-7280-4b42-82aa-c7399a0a2b2e","20190711T04:05:54.657+0000","","d45936a6-e04e-47b2-b445-87cfc1191496","Macgillivray, P.H.","1887","Descriptions of new or little-known Polyzoa. Part 12","179-186","","Transactions and Proceedings of the Royal Society of Victoria","","","","<!--MARK--><a href='../../../../publication/6ec92e53-81fa-413f-94db-7f001b8c2c96' class='mouseoverHref'>Macgillivray, P.H. 1887. Descriptions of new or little-known Polyzoa. Part 12.</a> <!--MARK--><!--MARK--><a href='../../../../publication/e82a2ac5-2fe4-497f-a85c-8c3cf8a636ad' class='mouseoverHref'><em>Transactions and Proceedings of the Royal Society of Victoria</em></a> <strong>23</strong>: 179-186<!--MARK-->","","Article in Journal","6ec92e53-81fa-413f-94db-7f001b8c2c96","","e82a2ac5-2fe4-497f-a85c-8c3cf8a636ad"
"","","Hippomonavella","Hippomonavella Canu & Bassler, 1934","BITECTIPORIDAE","Hippomonavella","","","","Valid Name","","Genus","","Canu & Bassler","1934","Y","c50a23ae-a23f-44fe-8cb8-f39e8d84db48","20190711T01:49:44.310+0000","72188e95-a836-4e4e-9465-cdaa7c14ce7a","20190711T04:05:54.657+0000","b20c9052-616c-4645-b508-007986cfb00f","72188e95-a836-4e4e-9465-cdaa7c14ce7a","","","","","","","","","","","","","","",""
"","","Hippomonavella","Hippomonavella Canu & Bassler, 1934","","Hippomonavella","","","","Synonym","synonym","Genus","","Canu & Bassler","1934","Y","0613803d-e298-44b4-9a2d-c231fddcd139","20190711T01:49:44.310+0000","72188e95-a836-4e4e-9465-cdaa7c14ce7a","20190711T04:05:54.657+0000","","f97d65a9-1ac4-4072-a398-d47f18f65862","Bassler, R.S.","1934","Notes on Fossil and Recent Bryozoa","404-408","","Journal of the Washington Academy of Sciences","","","","<!--MARK--><a href='../../../../publication/9d8bc3a4-79b6-4adb-94f8-58f3931c74bf' class='mouseoverHref'>Bassler, R.S. 1934. Notes on Fossil and Recent Bryozoa.</a> <!--MARK--><!--MARK--><a href='../../../../publication/ba6795b3-056d-49fe-8d9a-6b51e798e280' class='mouseoverHref'><em>Journal of the Washington Academy of Sciences</em></a> <strong>24</strong>: 404-408<!--MARK-->","","Article in Journal","9d8bc3a4-79b6-4adb-94f8-58f3931c74bf","","ba6795b3-056d-49fe-8d9a-6b51e798e280"
