"CAVS_CODE","CAAB_CODE","NAMES_VARIOUS","SCIENTIFIC_NAME","FAMILY","GENUS","SUBGENUS","SPECIES","SUBSPECIES","NAME_TYPE","NAME_SUBTYPE","RANK","QUALIFICATION","AUTHOR","YEAR","ORIG_COMBINATION","NAME_GUID","NAME_LAST_UPDATE","TAXON_GUID","TAXON_LAST_UPDATE","PARENT_TAXON_GUID","CONCEPT_GUID","PUB_PUB_AUTHOR","PUB_PUB_YEAR","PUB_PUB_TITLE","PUB_PUB_PAGES","PUB_PUB_PARENT_BOOK_TITLE","PUB_PUB_PARENT_JOURNAL_TITLE","PUB_PUB_PARENT_ARTICLE_TITLE","PUB_PUB_PUBLICATION_DATE","PUB_PUB_PUBLISHER","PUB_PUB_FORMATTED","PUB_PUB_QUALIFICATION","PUB_PUB_TYPE","PUBLICATION_GUID","PUBLICATION_LAST_UPDATE","PARENT_PUBLICATION_GUID"
"","","STAUROZOA","STAUROZOA Haeckel, 1880","","","","","","Valid Name","","Class","","Haeckel","1880","Y","2f63e386-b6f6-4032-bf71-1eabc08793c9","20220523T05:33:59.668+0000","3013cf45-dc18-4d6f-8fde-b8608590679f","20220805T03:32:01.848+0000","6c89d1f9-38d1-4327-8ef5-8d7a275486e2","3013cf45-dc18-4d6f-8fde-b8608590679f","","","","","","","","","","","","","","",""
"","","STAUROMEDUSAE","STAUROMEDUSAE Haeckel, 1880","","","","","","Valid Name","","Order","","Haeckel","1880","Y","bc1fc692-7598-461c-ba44-8b7cc9bc6981","20220523T05:33:59.668+0000","8f5f1a5c-8f2a-4d68-b0b9-e6dec4c3533f","20220805T03:32:01.848+0000","3013cf45-dc18-4d6f-8fde-b8608590679f","8f5f1a5c-8f2a-4d68-b0b9-e6dec4c3533f","","","","","","","","","","","","","","",""
"","","CLEISTOCARPIDA","CLEISTOCARPIDA Clark, 1863","","","","","","Valid Name","","Suborder","","Clark","1863","Y","363377e6-0adf-4b86-9d49-a87eb2842cce","20220523T05:33:59.668+0000","d032626d-c8d8-4182-94e5-79d1b433abd3","20220805T03:32:01.848+0000","8f5f1a5c-8f2a-4d68-b0b9-e6dec4c3533f","d032626d-c8d8-4182-94e5-79d1b433abd3","","","","","","","","","","","","","","",""
"","","DEPASTRIDAE","DEPASTRIDAE Haeckel, 1880","DEPASTRIDAE","","","","","Valid Name","","Family","","Haeckel","1880","Y","1613a22c-71f8-48f6-9b5a-7842bd76e11c","20220523T05:33:59.668+0000","1dc42c2f-7fdf-4c73-8139-46061e20297a","20220805T03:32:01.848+0000","d032626d-c8d8-4182-94e5-79d1b433abd3","1dc42c2f-7fdf-4c73-8139-46061e20297a","","","","","","","","","","","","","","",""
"","","Depastromorpha","Depastromorpha Carlgren, 1935","DEPASTRIDAE","Depastromorpha","","","","Valid Name","","Genus","","Carlgren","1935","Y","551c3158-8fe9-456a-afd6-aa68f06f8413","20220523T05:33:59.668+0000","d2792c71-1f02-4822-96f1-a0765c48efb8","20220805T03:32:01.848+0000","1dc42c2f-7fdf-4c73-8139-46061e20297a","d2792c71-1f02-4822-96f1-a0765c48efb8","","","","","","","","","","","","","","",""
"","","Depastromorpha","Depastromorpha Carlgren, 1935","","Depastromorpha","","","","Synonym","synonym","Genus","","Carlgren","1935","Y","c9059c86-c72c-44de-86f4-0a76ec4c40af","20220523T05:33:59.668+0000","d2792c71-1f02-4822-96f1-a0765c48efb8","20220805T03:32:01.848+0000","","585877a8-9064-4b30-974d-63b368fd3bda","Carlgren, O.","1935","Über eine neue südafrikanische Lucernariide, <I>Depastromorpha africana</I> n. gen. n. sp","1-24","","Kongliga Svenska Vetenskaps-Academiens Nya Handlingar, Stockholm","","","","<!--MARK--><a href='nulled2b5a18-e7c0-4b7c-bab6-90b9d3aacfb7' class='mouseoverHref'>Carlgren, O. 1935. Über eine neue südafrikanische Lucernariide, <I>Depastromorpha africana</I> n. gen. n. sp.</a> <!--MARK--><!--MARK--><a href='nullf145f16a-592b-484d-8689-ce403bec0970' class='mouseoverHref'><em>Kongliga Svenska Vetenskaps-Academiens Nya Handlingar, Stockholm</em></a> 3 <strong>15</strong>(1): 1-24<!--MARK-->","","Article in Journal","ed2b5a18-e7c0-4b7c-bab6-90b9d3aacfb7","20130123T06:37:53.988+0000","f145f16a-592b-484d-8689-ce403bec0970"
"","","africana","Depastromorpha africana Carlgren, 1935","DEPASTRIDAE","Depastromorpha","","africana","","Valid Name","","Species","","Carlgren","1935","Y","0d34b100-3c80-4327-832e-4c471d05ecf3","20220523T05:33:59.668+0000","4bbbeef9-83e9-4213-a4a3-97d1c2b3a48f","20220805T03:32:01.848+0000","d2792c71-1f02-4822-96f1-a0765c48efb8","4bbbeef9-83e9-4213-a4a3-97d1c2b3a48f","","","","","","","","","","","","","","",""
"","","africana","Depastromorpha africana Carlgren, 1935","","Depastromorpha","","africana","","Synonym","synonym","Species","","Carlgren","1935","Y","c8c13666-1c14-4c00-a659-9e710e7f883f","20220523T05:33:59.668+0000","4bbbeef9-83e9-4213-a4a3-97d1c2b3a48f","20220805T03:32:01.848+0000","","e15e4363-ca52-40fe-99a4-54cff33ff8d6","Carlgren, O.","1935","Über eine neue südafrikanische Lucernariide, <I>Depastromorpha africana</I> n. gen. n. sp","1-24","","Kongliga Svenska Vetenskaps-Academiens Nya Handlingar, Stockholm","","","","<!--MARK--><a href='nulled2b5a18-e7c0-4b7c-bab6-90b9d3aacfb7' class='mouseoverHref'>Carlgren, O. 1935. Über eine neue südafrikanische Lucernariide, <I>Depastromorpha africana</I> n. gen. n. sp.</a> <!--MARK--><!--MARK--><a href='nullf145f16a-592b-484d-8689-ce403bec0970' class='mouseoverHref'><em>Kongliga Svenska Vetenskaps-Academiens Nya Handlingar, Stockholm</em></a> 3 <strong>15</strong>(1): 1-24<!--MARK-->","","Article in Journal","ed2b5a18-e7c0-4b7c-bab6-90b9d3aacfb7","20130123T06:37:53.988+0000","f145f16a-592b-484d-8689-ce403bec0970"
"","","ELEUTHEROCARPIDA","ELEUTHEROCARPIDA Clark, 1863","","","","","","Valid Name","","Suborder","","Clark","1863","Y","7977a4f6-0677-49b2-8060-cb6d2a59296b","20220523T05:33:59.668+0000","90f863fb-7e0d-49c7-bb93-dbc76f07a713","20220805T03:32:01.848+0000","8f5f1a5c-8f2a-4d68-b0b9-e6dec4c3533f","90f863fb-7e0d-49c7-bb93-dbc76f07a713","","","","","","","","","","","","","","",""
"","","LUCERNARIIDAE","LUCERNARIIDAE Johnston, 1847","LUCERNARIIDAE","","","","","Valid Name","","Family","","Johnston","1847","Y","606e71d4-f0b2-4fde-abe0-571e4feffb72","20220523T05:33:59.668+0000","2668333c-8ec3-4781-bcd7-d193e9d795c3","20220805T03:32:01.848+0000","90f863fb-7e0d-49c7-bb93-dbc76f07a713","2668333c-8ec3-4781-bcd7-d193e9d795c3","","","","","","","","","","","","","","",""
"","","Stenoscyphus","Stenoscyphus Kishinouye, 1902","LUCERNARIIDAE","Stenoscyphus","","","","Valid Name","","Genus","","Kishinouye","1902","Y","633af586-815a-4f83-b6f1-598fb6af9fb3","20220523T05:33:59.668+0000","0e900c66-aa79-452a-af5c-6f3fad7b82b5","20220805T03:32:01.848+0000","2668333c-8ec3-4781-bcd7-d193e9d795c3","0e900c66-aa79-452a-af5c-6f3fad7b82b5","","","","","","","","","","","","","","",""
"","","Stenoscyphus","Stenoscyphus Kishinouye, 1902","","Stenoscyphus","","","","Synonym","synonym","Genus","","Kishinouye","1902","Y","5f54ead4-11ef-40b8-b3aa-d06b950702c4","20220523T05:33:59.668+0000","0e900c66-aa79-452a-af5c-6f3fad7b82b5","20220805T03:32:01.848+0000","","585ec231-5e8d-44e5-82d4-4caeea772fc8","Kishinouye, K.","1902","Some new scyphomedusae of Japan","1-17, 2 pls","","Journal of the College of Science, Imperial University of Tokyo","","","","<!--MARK--><a href='null8a2e56a5-25d9-4353-94ee-93ef47105e0b' class='mouseoverHref'>Kishinouye, K. 1902. Some new scyphomedusae of Japan.</a> <!--MARK--><!--MARK--><a href='nulled1cea9f-af08-4685-9ce9-3935e61798dc' class='mouseoverHref'><em>Journal of the College of Science, Imperial University of Tokyo</em></a> <strong>17</strong>(7): 1-17, 2 pls<!--MARK-->","","Article in Journal","8a2e56a5-25d9-4353-94ee-93ef47105e0b","","ed1cea9f-af08-4685-9ce9-3935e61798dc"
"","","inabai","Stenoscyphus inabai (Kishinouye, 1893)","LUCERNARIIDAE","Stenoscyphus","","inabai","","Valid Name","","Species","","Kishinouye","1893","N","ce8d11b0-a11b-4dce-b135-b0c53811b2dd","20220523T05:33:59.668+0000","9b167acf-d89b-4d77-a009-075eeef7f985","20220805T03:32:01.848+0000","0e900c66-aa79-452a-af5c-6f3fad7b82b5","9b167acf-d89b-4d77-a009-075eeef7f985","","","","","","","","","","","","","","",""
"","","inabai","Depastrum inabai Kishinouye, 1893","","Depastrum","","inabai","","Synonym","synonym","Species","","Kishinouye","1893","Y","b416b5fa-c8c7-403b-968f-e6d8acac3ed0","20220523T05:33:59.668+0000","9b167acf-d89b-4d77-a009-075eeef7f985","20220805T03:32:01.848+0000","","d204eabf-c834-46fd-8788-b6383f7c6e7f","Kishinouye, K.","1893","Mushi-kurage, <I>Depastrum inabai </I>n. sp","416-419","","Zoological Magazine, Tokyo","","","","<!--MARK--><a href='nullfd5243db-5966-4ac8-9fcb-5f6c1080c00a' class='mouseoverHref'>Kishinouye, K. 1893. Mushi-kurage, <I>Depastrum inabai </I>n. sp.</a> <!--MARK--><!--MARK--><a href='null7a10014f-effc-4520-84c5-2c241b188311' class='mouseoverHref'><em>Zoological Magazine, Tokyo</em></a> <strong>5</strong>: 416-419<!--MARK-->","","Article in Journal","fd5243db-5966-4ac8-9fcb-5f6c1080c00a","","7a10014f-effc-4520-84c5-2c241b188311"
"","","inabai","Stenoscyphus inabai (Kishinouye, 1893)","","Stenoscyphus","","inabai","","Generic Combination","","Species","","Kishinouye","1893","N","3f3acf29-5113-49cf-a973-10d5e4e999f1","20220523T05:33:59.668+0000","9b167acf-d89b-4d77-a009-075eeef7f985","20220805T03:32:01.848+0000","","","","","","","","","","","","","","","","",""
