"CAVS_CODE","CAAB_CODE","NAMES_VARIOUS","SCIENTIFIC_NAME","FAMILY","GENUS","SUBGENUS","SPECIES","SUBSPECIES","NAME_TYPE","NAME_SUBTYPE","RANK","QUALIFICATION","AUTHOR","YEAR","ORIG_COMBINATION","NAME_GUID","NAME_LAST_UPDATE","TAXON_GUID","TAXON_LAST_UPDATE","PARENT_TAXON_GUID","CONCEPT_GUID","PUB_PUB_AUTHOR","PUB_PUB_YEAR","PUB_PUB_TITLE","PUB_PUB_PAGES","PUB_PUB_PARENT_BOOK_TITLE","PUB_PUB_PARENT_JOURNAL_TITLE","PUB_PUB_PARENT_ARTICLE_TITLE","PUB_PUB_PUBLICATION_DATE","PUB_PUB_PUBLISHER","PUB_PUB_FORMATTED","PUB_PUB_QUALIFICATION","PUB_PUB_TYPE","PUBLICATION_GUID","PUBLICATION_LAST_UPDATE","PARENT_PUBLICATION_GUID"
"","","Scopariini","Scopariini","CRAMBIDAE","","","","","Valid Name","","Tribe","","","","Y","8f56c25c-d30e-416b-8c65-f469bab91c79","20180416T05:06:51.460+0000","2b362e6c-2eb1-4834-9d07-ce4e9957fdfd","20200827T08:21:57.075+0000","c08d626e-b1b6-4e61-b602-892117ae56dc","2b362e6c-2eb1-4834-9d07-ce4e9957fdfd","","","","","","","","","","","","","","",""
"","","Micraglossa","Micraglossa Warren, 1891","CRAMBIDAE","Micraglossa","","","","Valid Name","","Genus","","Warren","1891","Y","ce1ef476-04e2-4577-815a-2008abdfb382","20180416T05:06:51.460+0000","bdb1c988-2238-45cd-b749-95612e9a4d6f","20200827T08:21:57.075+0000","2b362e6c-2eb1-4834-9d07-ce4e9957fdfd","bdb1c988-2238-45cd-b749-95612e9a4d6f","","","","","","","","","","","","","","",""
"","","Micraglossa","Micraglossa Warren, 1891","","Micraglossa","","","","Synonym","synonym","Genus","","Warren","1891","Y","7a0e64d9-b934-4e0b-88e2-bf30234f7833","20180416T05:06:51.460+0000","bdb1c988-2238-45cd-b749-95612e9a4d6f","20200827T08:21:57.075+0000","","6515168f-76b7-44b3-ac2a-5da3888b1ef5","Warren,W.","1891","Descriptions of new Genera and Species of Pyralidae contained in the British-Museum Collection.","61-69","","Annals and Magazine of Natural History","","","","<!--MARK--><a href='../../../../publication/eb4d90dd-7015-4f03-8987-b6daa49e7a6e' class='mouseoverHref'>Warren,W. 1891. Descriptions of new Genera and Species of Pyralidae contained in the British-Museum Collection.</a> <!--MARK--><!--MARK--><a href='../../../../publication/efa8de69-3a29-4a43-8ef2-cbefda205976' class='mouseoverHref'><em>Annals and Magazine of Natural History</em></a> 6 <strong>8</strong>: 61-69<!--MARK-->","","Article in Journal","eb4d90dd-7015-4f03-8987-b6daa49e7a6e","20120124T23:14:15.056+0000","efa8de69-3a29-4a43-8ef2-cbefda205976"
"","","citrochroa","Micraglossa citrochroa (Turner, 1908)","CRAMBIDAE","Micraglossa","","citrochroa","","Valid Name","","Species","","Turner","1908","N","77b7f96c-1748-45b0-99b5-c629fa04897d","20180416T05:06:51.460+0000","7f1226c4-9973-4717-a9d5-391b98242ccd","20200827T08:21:57.075+0000","bdb1c988-2238-45cd-b749-95612e9a4d6f","7f1226c4-9973-4717-a9d5-391b98242ccd","","","","","","","","","","","","","","",""
"","","citrochroa","Myriostephes citrochroa Turner, 1908","","Myriostephes","","citrochroa","","Synonym","synonym","Species","","Turner","1908","Y","656ac30b-3858-424b-ba34-364d5b206a02","20180416T05:06:51.460+0000","7f1226c4-9973-4717-a9d5-391b98242ccd","20200827T08:21:57.075+0000","","f6623b94-f9fa-4185-b33c-e8be72b2d1c7","Turner, A.J.","1908","New Australian Lepidoptera of the families Noctuidae and Pyralidae","55-109","","Transactions of the Royal Society of South Australia","","","","<!--MARK--><a href='../../../../publication/039b93f9-44fe-44af-9952-a7f6205701f9' class='mouseoverHref'>Turner, A.J. 1908. New Australian Lepidoptera of the families Noctuidae and Pyralidae.</a> <!--MARK--><!--MARK--><a href='../../../../publication/8b48b0a3-dd7a-4aea-be0d-10a223710ebc' class='mouseoverHref'><em>Transactions of the Royal Society of South Australia</em></a> <strong>32</strong>: 55-109<!--MARK-->","","Article in Journal","039b93f9-44fe-44af-9952-a7f6205701f9","20081009T05:11:37.000+0000","8b48b0a3-dd7a-4aea-be0d-10a223710ebc"
"","","Eclipsiodes","Eclipsiodes Meyrick, 1884","PYRALIDAE","Eclipsiodes","","","","Valid Name","","Genus","","Meyrick","1884","Y","aff61cfd-48cd-4e8c-a0d1-07dca95956f2","20180416T05:06:51.460+0000","1c2e1e9b-3213-4c62-b764-ecfda4ebf55e","20200827T08:21:57.075+0000","2b362e6c-2eb1-4834-9d07-ce4e9957fdfd","1c2e1e9b-3213-4c62-b764-ecfda4ebf55e","","","","","","","","","","","","","","",""
"","","Eclipsiodes","Eclipsiodes Meyrick, 1884","","Eclipsiodes","","","","Synonym","synonym","Genus","","Meyrick","1884","Y","cc5761a7-cdbe-47f0-9370-134e583faf28","20180416T05:06:51.460+0000","1c2e1e9b-3213-4c62-b764-ecfda4ebf55e","20200827T08:21:57.075+0000","","a2d0d4d9-c0fa-4803-8783-090ae75e1efa","Meyrick, E.","1884","On the classification of Australian Pyralidina","277-350","","Transactions of the Entomological Society of London","","","","<!--MARK--><a href='../../../../publication/a9676f1f-e4b4-4809-8975-7b4303011521' class='mouseoverHref'>Meyrick, E. 1884. On the classification of Australian Pyralidina.</a> <!--MARK--><!--MARK--><a href='../../../../publication/5cf355b3-abc5-451e-9abc-ed3282d7811a' class='mouseoverHref'><em>Transactions of the Entomological Society of London</em></a> <strong>1884</strong>: 277-350<!--MARK-->","","Article in Journal","a9676f1f-e4b4-4809-8975-7b4303011521","20081009T05:11:37.000+0000","5cf355b3-abc5-451e-9abc-ed3282d7811a"
"","","anthomera","Eclipsiodes anthomera (Lower, 1896)","PYRALIDAE","Eclipsiodes","","anthomera","","Valid Name","","Species","","Lower","1896","N","51326650-26bf-44b6-88a9-ff679f5cd308","20180416T05:06:51.460+0000","57791f72-8ea4-43e7-a00c-fba02081295f","20200827T08:21:57.075+0000","1c2e1e9b-3213-4c62-b764-ecfda4ebf55e","57791f72-8ea4-43e7-a00c-fba02081295f","","","","","","","","","","","","","","",""
"","","anthomera","Scoparia anthomera Lower, 1896","","Scoparia","","anthomera","","Synonym","synonym","Species","","Lower","1896","Y","2248a878-7549-40f3-8d4d-7fd5c55bd7e0","20180416T05:06:51.460+0000","57791f72-8ea4-43e7-a00c-fba02081295f","20200827T08:21:57.075+0000","","863060ef-9c96-49e4-8797-486957b09d8a","Lower, O.B.","1896","New Australian Lepidoptera","152-170","","Transactions of the Royal Society of South Australia","","","","<!--MARK--><a href='../../../../publication/9a0ffa78-57cd-4242-97c0-2ad2517b4bf7' class='mouseoverHref'>Lower, O.B. 1896. New Australian Lepidoptera.</a> <!--MARK--><!--MARK--><a href='../../../../publication/8b48b0a3-dd7a-4aea-be0d-10a223710ebc' class='mouseoverHref'><em>Transactions of the Royal Society of South Australia</em></a> <strong>20</strong>: 152-170<!--MARK-->","","Article in Journal","9a0ffa78-57cd-4242-97c0-2ad2517b4bf7","20081009T05:11:37.000+0000","8b48b0a3-dd7a-4aea-be0d-10a223710ebc"
"","","crypsixantha","Eclipsiodes crypsixantha Meyrick, 1884","PYRALIDAE","Eclipsiodes","","crypsixantha","","Valid Name","","Species","","Meyrick","1884","Y","62f7d24c-1865-4e8a-9c3f-c543ab537ad4","20180416T05:06:51.460+0000","22b438d6-eb60-4cd3-874f-17294b80427f","20200827T08:21:57.075+0000","1c2e1e9b-3213-4c62-b764-ecfda4ebf55e","22b438d6-eb60-4cd3-874f-17294b80427f","","","","","","","","","","","","","","",""
