"CAVS_CODE","CAAB_CODE","NAMES_VARIOUS","SCIENTIFIC_NAME","FAMILY","GENUS","SUBGENUS","SPECIES","SUBSPECIES","NAME_TYPE","NAME_SUBTYPE","RANK","QUALIFICATION","AUTHOR","YEAR","ORIG_COMBINATION","NAME_GUID","NAME_LAST_UPDATE","TAXON_GUID","TAXON_LAST_UPDATE","PARENT_TAXON_GUID","CONCEPT_GUID","PUB_PUB_AUTHOR","PUB_PUB_YEAR","PUB_PUB_TITLE","PUB_PUB_PAGES","PUB_PUB_PARENT_BOOK_TITLE","PUB_PUB_PARENT_JOURNAL_TITLE","PUB_PUB_PARENT_ARTICLE_TITLE","PUB_PUB_PUBLICATION_DATE","PUB_PUB_PUBLISHER","PUB_PUB_FORMATTED","PUB_PUB_QUALIFICATION","PUB_PUB_TYPE","PUBLICATION_GUID","PUBLICATION_LAST_UPDATE","PARENT_PUBLICATION_GUID"
"","","Stereocheta","Stereocheta Common, 1997","OECOPHORIDAE","Stereocheta","","","","Valid Name","","Genus","","Common","1997","Y","f22e8143-dc46-448e-9f10-99367f3fc1be","20170203T04:06:28.517+0000","e405cd0a-15e6-4e1c-bd1f-9ae607fb66c7","20220524T02:08:13.443+0000","6dc963c3-c0ab-48f5-a9a5-d057b6f26b2f","e405cd0a-15e6-4e1c-bd1f-9ae607fb66c7","","","","","","","","","","","","","","",""
"","","Stereocheta","Stereocheta Common, 1997","","Stereocheta","","","","Synonym","synonym","Genus","","Common","1997","Y","48621b37-1129-4725-ac8a-ccf3c5336601","20170203T04:06:28.517+0000","e405cd0a-15e6-4e1c-bd1f-9ae607fb66c7","20220524T02:08:13.443+0000","","adec8276-f737-4035-bb44-5aebd70489c5","Common, I.F.B.","1997","Oecophorine genera of Australia. II. The <i>Chezala, Philobota</i> and <i>Eulechria</i> groups (Lepidoptera: Oecophoridae)","i-xvi, 1-407","","Monographs on Australian Lepidoptera","","","","<!--MARK--><a href='../../../../publication/09020d1e-f6aa-4c39-a11a-cb313ac5ba68' class='mouseoverHref'>Common, I.F.B. 1997. Oecophorine genera of Australia. II. The <i>Chezala, Philobota</i> and <i>Eulechria</i> groups (Lepidoptera: Oecophoridae).</a> <!--MARK--><!--MARK--><a href='../../../../publication/3820f42d-af14-449e-a37e-97e94dd8d1ce' class='mouseoverHref'><em>Monographs on Australian Lepidoptera</em></a> <strong>5</strong>: i-xvi, 1-407<!--MARK-->","","Article in Journal","09020d1e-f6aa-4c39-a11a-cb313ac5ba68","20081009T05:11:37.000+0000","3820f42d-af14-449e-a37e-97e94dd8d1ce"
"","","gummosa","Stereocheta gummosa (Meyrick, 1913)","OECOPHORIDAE","Stereocheta","","gummosa","","Valid Name","","Species","","Meyrick","1913","N","fd903a15-6b35-4502-affd-348f52c398a1","20170203T04:06:28.517+0000","a240b047-2d47-4f97-893e-f326138ad51e","20220524T02:08:13.443+0000","e405cd0a-15e6-4e1c-bd1f-9ae607fb66c7","a240b047-2d47-4f97-893e-f326138ad51e","","","","","","","","","","","","","","",""
"","","gummosa","Philobota gummosa Meyrick, 1913","","Philobota","","gummosa","","Synonym","synonym","Species","","Meyrick","1913","Y","d640fb21-38a0-4dba-8880-4398b76e79b5","20170203T04:06:28.517+0000","a240b047-2d47-4f97-893e-f326138ad51e","20220524T02:08:13.443+0000","","f4efd3c2-8427-46ff-a0d9-85e288d859ab","Meyrick, E.","1913","<i>Exotic Microlepidoptera</i>","","","","","","","<!--MARK--><a href='../../../../publication/20afeedc-f697-4154-968a-7a132af53b09' class='mouseoverHref'>Meyrick, E. 1913. <i>Exotic Microlepidoptera</i>. Vol. <B>1</B>(3-5): 65-96, 97-128, 129-160.</a>","","Miscellaneous","20afeedc-f697-4154-968a-7a132af53b09","20130729T03:22:22.333+0000",""
"","","ocularis","Stereocheta ocularis (Turner, 1896)","OECOPHORIDAE","Stereocheta","","ocularis","","Valid Name","","Species","","Turner","1896","N","d83cdc2e-34ae-4581-92c5-1ffe680bfe7d","20170203T04:06:28.517+0000","ee2dc820-e140-4b9a-847b-9c2e6ffc2da4","20220524T02:08:13.443+0000","e405cd0a-15e6-4e1c-bd1f-9ae607fb66c7","ee2dc820-e140-4b9a-847b-9c2e6ffc2da4","","","","","","","","","","","","","","",""
"","","ocularis","Philobota ocularis Turner, 1896","","Philobota","","ocularis","","Synonym","synonym","Species","","Turner","1896","Y","96d62240-f2dd-4684-9bb7-d2cba1d52441","20170203T04:06:28.517+0000","ee2dc820-e140-4b9a-847b-9c2e6ffc2da4","20220524T02:08:13.443+0000","","34c8527c-cc82-4711-852f-f30f5f56e7aa","Turner, A.J.","1896","Descriptions of Micro-lepidoptera from Queensland","1-34","","Transactions of the Royal Society of South Australia","","","","<!--MARK--><a href='../../../../publication/bcbb86a3-b887-441f-9b02-bc4b7802caf1' class='mouseoverHref'>Turner, A.J. 1896. Descriptions of Micro-lepidoptera from Queensland.</a> <!--MARK--><!--MARK--><a href='../../../../publication/8b48b0a3-dd7a-4aea-be0d-10a223710ebc' class='mouseoverHref'><em>Transactions of the Royal Society of South Australia</em></a> <strong>20</strong>: 1-34<!--MARK-->","","Article in Journal","bcbb86a3-b887-441f-9b02-bc4b7802caf1","20081009T05:11:37.000+0000","8b48b0a3-dd7a-4aea-be0d-10a223710ebc"
"","","poliocrossa","Stereocheta poliocrossa (Turner, 1944)","OECOPHORIDAE","Stereocheta","","poliocrossa","","Valid Name","","Species","","Turner","1944","N","f6bd5f0f-b202-41d3-b32a-93c0c27a574d","20170203T04:06:28.517+0000","e1d94ac5-fab8-40ea-b334-3a54450eca3a","20220524T02:08:13.443+0000","e405cd0a-15e6-4e1c-bd1f-9ae607fb66c7","e1d94ac5-fab8-40ea-b334-3a54450eca3a","","","","","","","","","","","","","","",""
"","","poliocrossa","Philobota poliocrossa Turner, 1944","","Philobota","","poliocrossa","","Synonym","synonym","Species","","Turner","1944","Y","0bdd8085-65f7-4e6a-bad2-86b3cb7da2e3","20170203T04:06:28.517+0000","e1d94ac5-fab8-40ea-b334-3a54450eca3a","20220524T02:08:13.443+0000","","61876ed5-d2f9-4ee4-a9da-aace48f557a1","Turner, A.J.","1944","Revision of the Australian Lepidoptera. Oecophoridae. XII","253-273","","Proceedings of the Linnean Society of New South Wales","","","","<!--MARK--><a href='../../../../publication/c8ee731b-91bc-4144-82f6-9f2a0917661a' class='mouseoverHref'>Turner, A.J. 1944. Revision of the Australian Lepidoptera. Oecophoridae. XII.</a> <!--MARK--><!--MARK--><a href='../../../../publication/c12cd779-adb5-41ea-bd2c-75f6864cf22e' class='mouseoverHref'><em>Proceedings of the Linnean Society of New South Wales</em></a> <strong>69</strong>: 253-273<!--MARK-->","","Article in Journal","c8ee731b-91bc-4144-82f6-9f2a0917661a","20081009T05:11:37.000+0000","c12cd779-adb5-41ea-bd2c-75f6864cf22e"
"","","sciocrossa","Stereocheta sciocrossa (Meyrick, 1913)","OECOPHORIDAE","Stereocheta","","sciocrossa","","Valid Name","","Species","","Meyrick","1913","N","9982a74d-058b-4e13-b24e-283fe98bef37","20170203T04:06:28.517+0000","fefecf5f-a31a-4b52-9998-988454a4ddba","20220524T02:08:13.443+0000","e405cd0a-15e6-4e1c-bd1f-9ae607fb66c7","fefecf5f-a31a-4b52-9998-988454a4ddba","","","","","","","","","","","","","","",""
"","","sciocrossa","Coesyra sciocrossa Meyrick, 1913","","Coesyra","","sciocrossa","","Synonym","synonym","Species","","Meyrick","1913","Y","423413dc-aaa6-469f-a98e-a854e0611568","20170203T04:06:28.517+0000","fefecf5f-a31a-4b52-9998-988454a4ddba","20220524T02:08:13.443+0000","","6939d77a-5c88-41f3-8f97-9766e0b6f6f8","Meyrick, E.","1913","<i>Exotic Microlepidoptera</i>","","","","","","","<!--MARK--><a href='../../../../publication/20afeedc-f697-4154-968a-7a132af53b09' class='mouseoverHref'>Meyrick, E. 1913. <i>Exotic Microlepidoptera</i>. Vol. <B>1</B>(3-5): 65-96, 97-128, 129-160.</a>","","Miscellaneous","20afeedc-f697-4154-968a-7a132af53b09","20130729T03:22:22.333+0000",""
