"CAVS_CODE","CAAB_CODE","NAMES_VARIOUS","SCIENTIFIC_NAME","FAMILY","GENUS","SUBGENUS","SPECIES","SUBSPECIES","NAME_TYPE","NAME_SUBTYPE","RANK","QUALIFICATION","AUTHOR","YEAR","ORIG_COMBINATION","NAME_GUID","NAME_LAST_UPDATE","TAXON_GUID","TAXON_LAST_UPDATE","PARENT_TAXON_GUID","CONCEPT_GUID","PUB_PUB_AUTHOR","PUB_PUB_YEAR","PUB_PUB_TITLE","PUB_PUB_PAGES","PUB_PUB_PARENT_BOOK_TITLE","PUB_PUB_PARENT_JOURNAL_TITLE","PUB_PUB_PARENT_ARTICLE_TITLE","PUB_PUB_PUBLICATION_DATE","PUB_PUB_PUBLISHER","PUB_PUB_FORMATTED","PUB_PUB_QUALIFICATION","PUB_PUB_TYPE","PUBLICATION_GUID","PUBLICATION_LAST_UPDATE","PARENT_PUBLICATION_GUID"
"","","Toropsis","Toropsis Hamilton, 1980","CICADELLIDAE","Toropsis","","","","Valid Name","","Genus","","Hamilton","1980","Y","c70da1d4-9f38-4d5c-920a-0d82077d1263","20210902T08:44:21.615+0000","4b06737c-618e-4cad-9c34-c8ce05ee1334","20220510T10:33:38.232+0000","37d2cb65-1ef8-4698-8a90-84aab1030011","4b06737c-618e-4cad-9c34-c8ce05ee1334","","","","","","","","","","","","","","",""
"","","Toropsis","Toropsis Hamilton, 1980","","Toropsis","","","","Synonym","synonym","Genus","","Hamilton","1980","Y","ded0ebe6-4f01-4869-8525-3ef1d4aa6651","20210902T08:44:21.615+0000","4b06737c-618e-4cad-9c34-c8ce05ee1334","20220510T10:33:38.232+0000","","dd27611d-9a50-4ba3-a220-9738b52bac7e","Hamilton, K.G.A.","1980","Contributions to the study of the world Macropsini (Rhynchota: Homoptera: Cicadellidae)","875-932","","The Canadian Entomologist","","","","<!--MARK--><a href='null394ea6b8-31ab-4f8d-b803-2ab4521f381e' class='mouseoverHref'>Hamilton, K.G.A. 1980. Contributions to the study of the world Macropsini (Rhynchota: Homoptera: Cicadellidae).</a> <!--MARK--><!--MARK--><a href='nullafc223f8-7d5d-4661-8292-b6784e1d5f5c' class='mouseoverHref'><em>The Canadian Entomologist</em></a> <strong>112</strong>: 875-932<!--MARK-->","","Article in Journal","394ea6b8-31ab-4f8d-b803-2ab4521f381e","20190111T01:51:16.447+0000","afc223f8-7d5d-4661-8292-b6784e1d5f5c"
"","","minuspina","Toropsis minuspina Yang, Dietrich and Zhang, 2017","CICADELLIDAE","Toropsis","","minuspina","","Valid Name","","Species","","Yang, Dietrich and Zhang","2017","Y","89c6785b-49e2-4931-8e96-472ca551f1b2","20210902T08:44:21.615+0000","e4cebed4-c904-48ba-8ff7-b7c3cd152e0e","20220510T10:33:38.232+0000","4b06737c-618e-4cad-9c34-c8ce05ee1334","e4cebed4-c904-48ba-8ff7-b7c3cd152e0e","","","","","","","","","","","","","","",""
"","","minuspina","Toropsis minuspina Yang, Dietrich and Zhang, 2017","CICADELLIDAE","Toropsis","","minuspina","","Synonym","synonym","Species","","Yang, Dietrich and Zhang","2017","Y","4063e5c9-9db4-43e2-aebd-95082d0dc4a8","20210902T08:44:21.615+0000","e4cebed4-c904-48ba-8ff7-b7c3cd152e0e","20220510T10:33:38.232+0000","","2e23d160-3e43-46a4-8000-76e95e28550e","Yang, L.Y., Dietrich, C.H. & Zhang, Y.L.","2017","Three new Macropsini (Hemiptera: Cicadellidae) leafhopper species from Australia","271-278","","Zootaxa","","","","<!--MARK--><a href='null0d1edb4f-e91b-446d-af79-b102cd662581' class='mouseoverHref'>Yang, L.Y., Dietrich, C.H. & Zhang, Y.L. 2017. Three new Macropsini (Hemiptera: Cicadellidae) leafhopper species from Australia.</a> <!--MARK--><!--MARK--><a href='null96466227-221c-4922-ac97-1ac2dd946d0a' class='mouseoverHref'><em>Zootaxa</em></a> <strong>4273</strong>(2): 271-278<!--MARK-->","","Article in Journal","0d1edb4f-e91b-446d-af79-b102cd662581","20170726T23:40:24.196+0000","96466227-221c-4922-ac97-1ac2dd946d0a"
"","","aenea","Toropsis aenea (Evans, 1942)","CICADELLIDAE","Toropsis","","aenea","","Valid Name","","Species","","Evans","1942","N","43622f0c-4998-420c-8a5a-8cdfea6f07aa","20210902T08:44:21.615+0000","98b5eb4c-afba-41f1-a14e-5e168e5ad312","20220510T10:33:38.232+0000","4b06737c-618e-4cad-9c34-c8ce05ee1334","98b5eb4c-afba-41f1-a14e-5e168e5ad312","","","","","","","","","","","","","","",""
"","","aeneus","Oncopsis aeneus Evans, 1942","","Oncopsis","","aeneus","","Synonym","synonym","Species","","Evans","1942","Y","87c2f581-35a2-48bb-9b5f-91f2042a3b0b","20210902T08:44:21.615+0000","98b5eb4c-afba-41f1-a14e-5e168e5ad312","20220510T10:33:38.232+0000","","d09d830d-e1fe-4c4e-8060-654c88b77b59","Evans, J.W.","1942","New leafhoppers (Homoptera: Jassoidea) from Western Australia","143-163","","Journal of the Royal Society of Western Australia","","","","<!--MARK--><a href='null70bc661b-5aa6-4acf-b937-155bbfda0cdd' class='mouseoverHref'>Evans, J.W. 1942. New leafhoppers (Homoptera: Jassoidea) from Western Australia.</a> <!--MARK--><!--MARK--><a href='null666efb8f-4a3f-4a3d-ae40-e9ab98f3cdf5' class='mouseoverHref'><em>Journal of the Royal Society of Western Australia</em></a> <strong>27</strong>: 143-163<!--MARK-->","","Article in Journal","70bc661b-5aa6-4acf-b937-155bbfda0cdd","20081009T05:11:37.000+0000","666efb8f-4a3f-4a3d-ae40-e9ab98f3cdf5"
"","","aenea","Toropsis aenea (Evans, 1942)","","Toropsis","","aenea","","Generic Combination","","Species","","Evans","1942","N","5f0ac4c3-0889-4199-ae3b-64401cf83f72","20210902T08:44:21.615+0000","98b5eb4c-afba-41f1-a14e-5e168e5ad312","20220510T10:33:38.232+0000","","8668d3e8-6a10-4484-b894-de385f5b3a72","Hamilton, K.G.A.","1980","Contributions to the study of the world Macropsini (Rhynchota: Homoptera: Cicadellidae)","875-932","","The Canadian Entomologist","","","","<!--MARK--><a href='null394ea6b8-31ab-4f8d-b803-2ab4521f381e' class='mouseoverHref'>Hamilton, K.G.A. 1980. Contributions to the study of the world Macropsini (Rhynchota: Homoptera: Cicadellidae).</a> <!--MARK--><!--MARK--><a href='nullafc223f8-7d5d-4661-8292-b6784e1d5f5c' class='mouseoverHref'><em>The Canadian Entomologist</em></a> <strong>112</strong>: 875-932<!--MARK-->","","Article in Journal","394ea6b8-31ab-4f8d-b803-2ab4521f381e","20190111T01:51:16.447+0000","afc223f8-7d5d-4661-8292-b6784e1d5f5c"
"","","aeneus","Macropsis aeneus (Evans, 1942)","","Macropsis","","aeneus","","Generic Combination","","Species","","Evans","1942","N","7bdac50f-7b6f-4382-82d0-83590979754f","20210902T08:44:21.615+0000","98b5eb4c-afba-41f1-a14e-5e168e5ad312","20220510T10:33:38.232+0000","","4ee87dc5-1398-4951-ae06-4be2bc162816","Evans, J.W.","1966","The leafhoppers and froghoppers of Australia and New Zealand","1-347","","Memoirs of the Australian Museum","","","","<!--MARK--><a href='nullcf31631c-c286-4cf5-abd5-ec22b69d45f8' class='mouseoverHref'>Evans, J.W. 1966. The leafhoppers and froghoppers of Australia and New Zealand.</a> <!--MARK--><!--MARK--><a href='null272826c2-c2bf-425b-bd6f-11ddaf2aaeaa' class='mouseoverHref'><em>Memoirs of the Australian Museum</em></a> <strong>12</strong>: 1-347<!--MARK-->","","Article in Journal","cf31631c-c286-4cf5-abd5-ec22b69d45f8","20100816T04:29:34.739+0000","272826c2-c2bf-425b-bd6f-11ddaf2aaeaa"
"","","balli","Toropsis balli (Kirkaldy, 1907)","CICADELLIDAE","Toropsis","","balli","","Valid Name","","Species","","Kirkaldy","1907","N","cb97a058-329b-4c59-b230-da15eb2f716a","20210902T08:44:21.615+0000","dfec171f-45a9-48d2-b450-85071b9a7897","20220510T10:33:38.232+0000","4b06737c-618e-4cad-9c34-c8ce05ee1334","dfec171f-45a9-48d2-b450-85071b9a7897","","","","","","","","","","","","","","",""
"","","balli","Oncopsis balli Kirkaldy, 1907","","Oncopsis","","balli","","Synonym","synonym","Species","","Kirkaldy","1907","Y","79790f4b-464d-4fe4-8221-a67012fc1c9b","20210902T08:44:21.615+0000","dfec171f-45a9-48d2-b450-85071b9a7897","20220510T10:33:38.232+0000","","4906fa72-020d-42a7-80a1-931232f1a88d","Kirkaldy, G.W.","1907","Leafhoppers -- Supplement (Hemiptera)","1-186","","Bulletin of the Hawaiian Sugar Planters' Association Experimental Station Entomological Series","","","","<!--MARK--><a href='null9c606d89-aa48-4eb6-8dac-9e4ba42a128d' class='mouseoverHref'>Kirkaldy, G.W. 1907. Leafhoppers -- Supplement (Hemiptera).</a> <!--MARK--><!--MARK--><a href='null434303ef-012d-4278-bb03-dfca5d1e6fec' class='mouseoverHref'><em>Bulletin of the Hawaiian Sugar Planters' Association Experimental Station Entomological Series</em></a> <strong>3</strong>: 1-186<!--MARK-->","","Article in Journal","9c606d89-aa48-4eb6-8dac-9e4ba42a128d","20081009T05:11:37.000+0000","434303ef-012d-4278-bb03-dfca5d1e6fec"
