"CAVS_CODE","CAAB_CODE","NAMES_VARIOUS","SCIENTIFIC_NAME","FAMILY","GENUS","SUBGENUS","SPECIES","SUBSPECIES","NAME_TYPE","NAME_SUBTYPE","RANK","QUALIFICATION","AUTHOR","YEAR","ORIG_COMBINATION","NAME_GUID","NAME_LAST_UPDATE","TAXON_GUID","TAXON_LAST_UPDATE","PARENT_TAXON_GUID","CONCEPT_GUID","PUB_PUB_AUTHOR","PUB_PUB_YEAR","PUB_PUB_TITLE","PUB_PUB_PAGES","PUB_PUB_PARENT_BOOK_TITLE","PUB_PUB_PARENT_JOURNAL_TITLE","PUB_PUB_PARENT_ARTICLE_TITLE","PUB_PUB_PUBLICATION_DATE","PUB_PUB_PUBLISHER","PUB_PUB_FORMATTED","PUB_PUB_QUALIFICATION","PUB_PUB_TYPE","PUBLICATION_GUID","PUBLICATION_LAST_UPDATE","PARENT_PUBLICATION_GUID"
"","","Trichopterygini","Trichopterygini Warren, 1894","GEOMETRIDAE","","","","","Valid Name","","Tribe","","Warren","1894","Y","7d8ab873-b2b1-4801-b76c-0290e894ab91","20200707T07:03:55.864+0000","58672b6a-0789-4361-a135-d50815f9a9f5","20220221T01:48:55.858+0000","f669967c-14fa-4284-9cca-d9067813be4c","58672b6a-0789-4361-a135-d50815f9a9f5","","","","","","","","","","","","","","",""
"","","Trichopterygini","Trichopterygini Warren, 1894","","","","","","Synonym","synonym","Tribe","Trichopteryginae","Warren","1894","Y","911dbed2-b15e-45e8-9c45-465dcaf0b321","20200707T07:03:55.864+0000","58672b6a-0789-4361-a135-d50815f9a9f5","20220221T01:48:55.858+0000","","006d90d5-c85c-4137-9122-36a4700ae94a","Warren, W.","1894","New genera and species of Geometridae","366-466","","Novitates Zoologicae","","","","<!--MARK--><a href='null861fb1cc-a64d-42f8-97c4-95fe4123d649' class='mouseoverHref'>Warren, W. 1894. New genera and species of Geometridae.</a> <!--MARK--><!--MARK--><a href='null25791c0c-6650-411b-b9d3-6433789fce38' class='mouseoverHref'><em>Novitates Zoologicae</em></a> <strong>1</strong>: 366-466<!--MARK-->","","Article in Journal","861fb1cc-a64d-42f8-97c4-95fe4123d649","","25791c0c-6650-411b-b9d3-6433789fce38"
"","","Lobophorini","Lobophorini Tutt, 1896","","","","","","Synonym","synonym","Tribe","","Tutt","1896","Y","595aa70b-9ab2-4178-9111-4d5e18b7d308","20200707T07:03:55.864+0000","58672b6a-0789-4361-a135-d50815f9a9f5","20220221T01:48:55.858+0000","","27377202-259b-4e7e-bd94-9925b91323c0","Tutt, J.W.","1896","British Moths","","","","","","Routledge","<!--MARK--><a href='null7560437a-3134-4762-a9b4-cbb81edd2272' class='mouseoverHref'>Tutt, J.W. 1896. <em>British Moths</em>. London : Routledge.</a><!--MARK-->","","Book","7560437a-3134-4762-a9b4-cbb81edd2272","20120606T03:27:46.124+0000",""
"","","Dyspteridini","Dyspteridini Hulst, 1896","","","","","","Synonym","synonym","Tribe","Dyspteridinae","Hulst","1896","Y","0c2fd7d6-4878-4a80-82b4-05de2af1e34d","20200707T07:03:55.864+0000","58672b6a-0789-4361-a135-d50815f9a9f5","20220221T01:48:55.858+0000","","87e2de30-b28e-48ec-95a0-6efd38ea1809","Hulst, G.D.","1896","A classification of the Geometrina of North America, with descriptions of new genera and species","245-386","","Transactions of the American Entomological Society","","","","<!--MARK--><a href='null67744c9c-94df-4a76-9cc4-53a5643ebbda' class='mouseoverHref'>Hulst, G.D. 1896. A classification of the Geometrina of North America, with descriptions of new genera and species.</a> <!--MARK--><!--MARK--><a href='nullab463570-432f-4c53-bc7c-2254ed8f75b1' class='mouseoverHref'><em>Transactions of the American Entomological Society</em></a> <strong>23</strong>: 245-386<!--MARK-->","","Article in Journal","67744c9c-94df-4a76-9cc4-53a5643ebbda","20120619T23:10:52.889+0000","ab463570-432f-4c53-bc7c-2254ed8f75b1"
"","","Episteira","Episteira Warren, 1899","GEOMETRIDAE","Episteira","","","","Valid Name","","Genus","","Warren","1899","Y","a6da5490-d474-486c-b4c2-1d39a672077a","20200707T07:03:55.864+0000","a8e5adc5-5ad6-44aa-b5e5-a850072d49b5","20220221T01:48:55.858+0000","58672b6a-0789-4361-a135-d50815f9a9f5","a8e5adc5-5ad6-44aa-b5e5-a850072d49b5","","","","","","","","","","","","","","",""
"","","Episteira","Episteira Warren, 1899","","Episteira","","","","Synonym","synonym","Genus","","Warren","1899","Y","732850d2-368d-49da-976a-230dca38af8c","20200707T07:03:55.864+0000","a8e5adc5-5ad6-44aa-b5e5-a850072d49b5","20220221T01:48:55.858+0000","","a712a4bd-a8ae-42ea-8e99-747aac3a0cd9","Warren, W.","1899","New  species and genera of the families Drepanulidae, Thyrididae, Uraniidae, Epiplemidae and Geometridae from the Old-World Regions","1-66","","Novitates Zoologicae","","","","<!--MARK--><a href='null9989ad9a-3caf-4b68-8fa8-33b30c6da242' class='mouseoverHref'>Warren, W. 1899. New  species and genera of the families Drepanulidae, Thyrididae, Uraniidae, Epiplemidae and Geometridae from the Old-World Regions.</a> <!--MARK--><!--MARK--><a href='null25791c0c-6650-411b-b9d3-6433789fce38' class='mouseoverHref'><em>Novitates Zoologicae</em></a> <strong>6</strong>: 1-66<!--MARK-->","","Article in Journal","9989ad9a-3caf-4b68-8fa8-33b30c6da242","","25791c0c-6650-411b-b9d3-6433789fce38"
"","","protima","Episteira protima (Turner, 1907)","GEOMETRIDAE","Episteira","","protima","","Valid Name","","Species","","Turner","1907","N","b0145965-3fad-4f8b-9e13-342b962a3c49","20200707T07:03:55.864+0000","2bbddbb4-fe13-4d70-a3ab-26de895d10b3","20220221T01:48:55.858+0000","a8e5adc5-5ad6-44aa-b5e5-a850072d49b5","2bbddbb4-fe13-4d70-a3ab-26de895d10b3","","","","","","","","","","","","","","",""
"","","protima","Sauris protima Turner, 1907","","Sauris","","protima","","Synonym","synonym","Species","","Turner","1907","Y","77c029ca-5806-40fd-a240-611187f96506","20200707T07:03:55.864+0000","2bbddbb4-fe13-4d70-a3ab-26de895d10b3","20220221T01:48:55.858+0000","","6ca9578a-881d-47be-8d55-80da4c4566ac","Turner, A.J.","1907","Revision of Australian Lepidoptera    .","678-710","","Proceedings of the Linnean Society of New South Wales","","","","<!--MARK--><a href='nullda6e6e76-6d73-4766-91eb-2894aa70ad02' class='mouseoverHref'>Turner, A.J. 1907. Revision of Australian Lepidoptera    .</a> <!--MARK--><!--MARK--><a href='nullc12cd779-adb5-41ea-bd2c-75f6864cf22e' class='mouseoverHref'><em>Proceedings of the Linnean Society of New South Wales</em></a> <strong>31</strong>(4): 678-710<!--MARK-->","","Article in Journal","da6e6e76-6d73-4766-91eb-2894aa70ad02","20120620T22:24:44.815+0000","c12cd779-adb5-41ea-bd2c-75f6864cf22e"
"","","Sauris","Sauris Guenée, 1857","GEOMETRIDAE","Sauris","","","","Valid Name","","Genus","","Guenée","1857","Y","49c67b1f-8fdd-40e1-9b2c-cda412c548f2","20200707T07:03:55.864+0000","2d6d9288-35bd-48d6-85c4-4f112b4381d2","20220221T01:48:55.858+0000","58672b6a-0789-4361-a135-d50815f9a9f5","2d6d9288-35bd-48d6-85c4-4f112b4381d2","","","","","","","","","","","","","","",""
"","","Sauris","Sauris Guenée, 1857 [1858]","","Sauris","","","","Synonym","synonym","Genus","","Guenée","1857 [1858]","Y","31e2eec8-3327-489d-9611-20638ae62b5d","20200707T07:03:55.864+0000","2d6d9288-35bd-48d6-85c4-4f112b4381d2","20220221T01:48:55.858+0000","","d46708eb-b393-4bd1-805e-e8c90ba294de","Guenée, A.","1857","Uranides et Phalénites II","","Histoire Naturelle des Insectes. Species général des Lépidoptères","","","","","<!--MARK--><a href='null4f99de91-a517-4eec-a7a6-157325b3a5e7' class='mouseoverHref'>Guenée, A. 1857. Uranides et Phalénites II.</a> <!--MARK--><em>In,</em> <!--MARK--><a href='null13310587-a518-4328-a098-7945cd640357' class='mouseoverHref'>Boisduval, J.-A. & Guenée, A. (eds). <em>Histoire Naturelle des Insectes. Species général des Lépidoptères</em>. Paris : Librarie Encyclopédique de Roret Vol. 10 584 pp., 24 pls.</a><!--MARK-->","","Chapter in Book","4f99de91-a517-4eec-a7a6-157325b3a5e7","20140618T22:50:50.622+0000","13310587-a518-4328-a098-7945cd640357"
