"CAVS_CODE","CAAB_CODE","NAMES_VARIOUS","SCIENTIFIC_NAME","FAMILY","GENUS","SUBGENUS","SPECIES","SUBSPECIES","NAME_TYPE","NAME_SUBTYPE","RANK","QUALIFICATION","AUTHOR","YEAR","ORIG_COMBINATION","NAME_GUID","NAME_LAST_UPDATE","TAXON_GUID","TAXON_LAST_UPDATE","PARENT_TAXON_GUID","CONCEPT_GUID","PUB_PUB_AUTHOR","PUB_PUB_YEAR","PUB_PUB_TITLE","PUB_PUB_PAGES","PUB_PUB_PARENT_BOOK_TITLE","PUB_PUB_PARENT_JOURNAL_TITLE","PUB_PUB_PARENT_ARTICLE_TITLE","PUB_PUB_PUBLICATION_DATE","PUB_PUB_PUBLISHER","PUB_PUB_FORMATTED","PUB_PUB_QUALIFICATION","PUB_PUB_TYPE","PUBLICATION_GUID","PUBLICATION_LAST_UPDATE","PARENT_PUBLICATION_GUID"
"","","ORDER","ORDER","","","","","","Valid Name","","Order","","","","Y","73f4a18a-a384-4489-bcff-084434b49186","20180321T01:56:44.148+0000","bb62072e-7e35-428f-9027-5826f9d57794","20180423T05:44:05.762+0000","c8cc2054-6eb9-4530-a1ea-1f3b28bb8415","bb62072e-7e35-428f-9027-5826f9d57794","","","","","","","","","","","","","","",""
"","","CYAMIOIDEA","CYAMIOIDEA G.O. Sars, 1878","","","","","","Valid Name","","Superfamily","","G.O. Sars","1878","Y","8c3bce9a-02e6-4571-8ff5-99b633c92f1f","20180321T01:55:05.732+0000","5c6d82d4-69b7-4d21-8541-7301f9c9f947","20180423T05:44:05.762+0000","bb62072e-7e35-428f-9027-5826f9d57794","5c6d82d4-69b7-4d21-8541-7301f9c9f947","","","","","","","","","","","","","","",""
"","","CYAMIIDAE","CYAMIIDAE G.O. Sars, 1878","","","","","","Valid Name","","Family","","G.O. Sars","1878","Y","7e1aeba5-1ca2-4848-b0ac-c94fe854eb37","20180321T01:55:05.732+0000","4078e100-e38d-437c-b0eb-28407be4a9a9","20180423T05:44:05.762+0000","5c6d82d4-69b7-4d21-8541-7301f9c9f947","4078e100-e38d-437c-b0eb-28407be4a9a9","","","","","","","","","","","","","","",""
"","","Kidderia","Kidderia Dall, 1876","CYAMIIDAE","Kidderia","","","","Valid Name","","Genus","","Dall","1876","Y","469fc322-4d6d-4438-924e-31577864da98","20180321T01:55:05.732+0000","079d41da-8f85-4d26-a003-5b7f3739396f","20180423T05:44:05.762+0000","4078e100-e38d-437c-b0eb-28407be4a9a9","079d41da-8f85-4d26-a003-5b7f3739396f","","","","","","","","","","","","","","",""
"","","Kidderia","Kidderia Dall, 1876","CYAMIIDAE","Kidderia","","","","Synonym","synonym","Genus","","Dall","1876","Y","844dd8d0-beaa-4bb0-a94a-dd0f43786af4","20180321T01:55:05.732+0000","079d41da-8f85-4d26-a003-5b7f3739396f","20180423T05:44:05.762+0000","","02904867-6add-4b67-abf6-9c40bfef7a92","Dall, W.H.","1876","Mollusks. <i>In</i> Kidder, J.H. Contributions to the natural history of Kerguelen Island, made in conjunction with the United States Transit-of-Venus Expedition, 1874-5, II","42-48","","Bulletin of the United States National Museum","","","","<!--MARK--><a href='../../../../publication/8e85d749-b633-4076-85d2-1e8b0eaa0b16' class='mouseoverHref'>Dall, W.H. 1876. Mollusks. <i>In</i> Kidder, J.H. Contributions to the natural history of Kerguelen Island, made in conjunction with the United States Transit-of-Venus Expedition, 1874-5, II.</a> <!--MARK--><!--MARK--><a href='../../../../publication/d62694e9-c583-45e9-aa41-f40b5d5fc778' class='mouseoverHref'><em>Bulletin of the United States National Museum</em></a> <strong>3</strong>: 42-48<!--MARK-->","","Article in Journal","8e85d749-b633-4076-85d2-1e8b0eaa0b16","20081009T05:11:37.000+0000","d62694e9-c583-45e9-aa41-f40b5d5fc778"
"","","bicolor","Kidderia bicolor (Martens, 1885)","CYAMIIDAE","Kidderia","","bicolor","","Valid Name","","Species","","Martens","1885","N","ddea604f-e8f2-4456-afa3-831db6fdd8ae","20180321T01:55:05.732+0000","48745313-4319-41fa-8df5-efeb96f914a3","20180423T05:44:05.762+0000","079d41da-8f85-4d26-a003-5b7f3739396f","48745313-4319-41fa-8df5-efeb96f914a3","","","","","","","","","","","","","","",""
"","","bicolor","Modiolarca bicolor Martens, 1885","","Modiolarca","","bicolor","","Synonym","synonym","Species","","Martens","1885","Y","23e4c7af-4083-472e-ab2f-a28b97556823","20180321T01:55:05.732+0000","48745313-4319-41fa-8df5-efeb96f914a3","20180423T05:44:05.762+0000","","0b0585f7-b0c9-48ab-b2e8-ef6c36cd09cf","Martens, E. von","1885","No title. Part of talks presented.","89-94","","Sitzungsberichte der Gesellschaft Naturforschender Freunde zu Berlin","","","","<!--MARK--><a href='../../../../publication/2dfd6365-3859-4589-b071-5558eb6d6e7c' class='mouseoverHref'>Martens, E. von 1885. No title. Part of talks presented.</a> <!--MARK--><!--MARK--><a href='../../../../publication/9f4f8fa8-8553-4807-a483-541b14e86c37' class='mouseoverHref'><em>Sitzungsberichte der Gesellschaft Naturforschender Freunde zu Berlin</em></a> <strong>1885</strong>: 89-94<!--MARK-->","","Article in Journal","2dfd6365-3859-4589-b071-5558eb6d6e7c","20110504T05:04:47.536+0000","9f4f8fa8-8553-4807-a483-541b14e86c37"
"","","bicolor","Kidderia bicolor (Martens, 1885)","","Kidderia","","bicolor","","Generic Combination","","Species","","Martens","1885","N","fd071e03-24d5-4205-901f-b28b77a952b6","20180321T01:55:05.732+0000","48745313-4319-41fa-8df5-efeb96f914a3","20180423T05:44:05.762+0000","","13a432f4-164b-47bc-9546-ee5a27234e87","Dell, R.K.","1964","Mollusca from Macquarie and Heard Islands","267-301","","Records of the Dominion Museum","","","","<!--MARK--><a href='../../../../publication/026c9126-583d-4d9b-9a0b-637ebcc84be0' class='mouseoverHref'>Dell, R.K. 1964. Mollusca from Macquarie and Heard Islands.</a> <!--MARK--><!--MARK--><a href='../../../../publication/ae78b80e-7837-4fa4-b0af-2f9c1737ffdb' class='mouseoverHref'><em>Records of the Dominion Museum</em></a> <strong>4</strong>: 267-301<!--MARK-->","","Article in Journal","026c9126-583d-4d9b-9a0b-637ebcc84be0","20101013T00:20:25.376+0000","ae78b80e-7837-4fa4-b0af-2f9c1737ffdb"
"","","oblonga","Kidderia oblonga (Smith, 1898)","CYAMIIDAE","Kidderia","","oblonga","","Valid Name","","Species","","Smith","1898","N","ba03a5bf-9e20-4896-8701-489973ba1357","20180321T01:55:05.732+0000","d5f5ddf3-5216-4d9c-b92e-c2b1e0c8716d","20180423T05:44:05.762+0000","079d41da-8f85-4d26-a003-5b7f3739396f","d5f5ddf3-5216-4d9c-b92e-c2b1e0c8716d","","","","","","","","","","","","","","",""
"","","oblongum","Cyamium oblongum Smith, 1898","","Cyamium","","oblongum","","Synonym","synonym","Species","","Smith","1898","Y","c79a02a3-3298-4764-8d0f-047a3df774b1","20180321T01:55:05.732+0000","d5f5ddf3-5216-4d9c-b92e-c2b1e0c8716d","20180423T05:44:05.762+0000","","0ea8a8e9-6360-4c28-9405-eaea568b0ec4","Smith, E.A.","1898","On a small collection of marine shells from New Zealand and Macquarie Island, with descriptions of new species","20-25","","Proceedings of the Malacological Society of London","","","","<!--MARK--><a href='../../../../publication/db39d964-cfe5-42bf-979a-664933a01609' class='mouseoverHref'>Smith, E.A. 1898. On a small collection of marine shells from New Zealand and Macquarie Island, with descriptions of new species.</a> <!--MARK--><!--MARK--><a href='../../../../publication/872b1d84-0b1e-4517-991d-83251d3517e5' class='mouseoverHref'><em>Proceedings of the Malacological Society of London</em></a> <strong>3</strong>: 20-25<!--MARK-->","","Article in Journal","db39d964-cfe5-42bf-979a-664933a01609","","872b1d84-0b1e-4517-991d-83251d3517e5"
